time_bin,rtt,time_bin_mid
"[0, 1)",0.07930399999999573,0.5
"[1, 2)",0.09815338582677063,1.5
"[3, 4)",0.0827323890785119,3.5
"[5, 6)",0.07716244999999151,5.5
"[6, 7)",0.0051988723404047775,6.5
"[8, 9)",0.03121632352942477,8.5
"[11, 12)",0.07446013761471217,11.5
"[12, 13)",0.06892898876407473,12.5
"[15, 16)",0.010174099378897758,15.5
"[16, 17)",0.07577999999995237,16.5
"[19, 20)",0.005697284768092828,19.5
"[20, 21)",0.06086442176866727,20.5
"[23, 24)",0.011322692307714167,23.5
"[26, 27)",0.011361753554524226,26.5
"[27, 28)",0.07446013761462761,27.5
"[29, 30)",0.0834921895424248,29.5
"[31, 32)",0.011188617511540187,31.5
"[33, 34)",0.00975650176679639,33.5
"[36, 37)",0.00673444444475803,36.5
"[38, 39)",0.08469452554757533,38.5
"[40, 41)",0.006173000000286452,40.5
"[42, 43)",0.08803443425090164,42.5
"[44, 45)",0.009508346456703383,44.5
"[46, 47)",0.005224662447500194,46.5
"[48, 49)",0.08291240802688872,48.5
"[50, 51)",0.010329451219525288,50.5
"[52, 53)",0.009864654545463158,52.5
"[54, 55)",0.006510434782913607,54.5
"[58, 59)",0.07437977477489409,58.5
"[61, 62)",0.0071355582926152725,61.5
"[63, 64)",0.010591440443434526,63.5
"[66, 67)",0.008777368421091506,66.5
"[67, 68)",0.006512350229840012,67.5
"[69, 70)",0.007087394366227824,69.5
"[71, 72)",0.030869571428340032,71.5
"[73, 74)",0.0771779999994114,73.5
"[75, 76)",0.021621821705196328,75.5
"[76, 77)",0.007277479078855084,76.5
"[78, 79)",0.006833890942094133,78.5
"[81, 82)",0.005723175181982204,81.5
"[84, 85)",0.02271583900231562,84.5
"[86, 87)",0.007174632352978098,86.5
"[88, 89)",0.07481978070118495,88.5
"[90, 91)",0.006799939023791442,90.5
"[92, 93)",0.006815945178981851,92.5
"[94, 95)",0.0064988761462158725,94.5
"[96, 97)",0.006554014083931914,96.5
"[97, 98)",0.0065404408596371946,97.5
"[99, 100)",0.06328319018357388,99.5
"[102, 103)",0.00717818257893274,102.5
"[104, 105)",0.03599131868104791,104.5
"[105, 106)",0.01070786982251959,105.5
"[107, 108)",0.007787093023275841,107.5
"[109, 110)",0.01044006042299102,109.5
"[111, 112)",0.02815189655151917,111.5
"[113, 114)",0.010777113702661491,113.5
"[115, 116)",0.00619531088028006,115.5
"[117, 118)",0.010002246835463302,117.5
"[120, 121)",0.020580204081482797,120.5
"[123, 124)",0.00801608414216628,123.5
"[124, 125)",0.015384790076307879,124.5
"[127, 128)",0.06311925925877897,127.5
"[130, 131)",0.006932388194462453,130.5
"[131, 132)",0.0071072535211065616,131.5
"[132, 133)",0.006834277779023892,132.5
"[134, 135)",0.061049366197246845,134.5
"[137, 138)",0.010890673316717475,137.5
"[140, 141)",0.008728423423428461,140.5
"[141, 142)",0.061777307692397865,141.5
"[142, 143)",0.010553876404496234,142.5
"[143, 144)",0.00641130221246801,143.5
"[144, 145)",0.006834277779023892,144.5
"[146, 147)",0.006059074606550716,146.5
"[148, 149)",0.00876248888889879,148.5
"[150, 151)",0.0801760800001116,150.5
"[151, 152)",0.01125551401869008,151.5
"[154, 155)",0.00984224755701917,154.5
"[157, 158)",0.08475914012751953,157.5
"[161, 162)",0.07433686363647315,161.5
"[162, 163)",0.006732925533141463,162.5
"[164, 165)",0.01205503802497648,164.5
"[167, 168)",0.006195310881956978,167.5
"[168, 169)",0.009011643613627164,168.5
"[171, 172)",0.07749050251263771,171.5
"[172, 173)",0.005706811595230353,172.5
"[174, 175)",0.006001250001082988,174.5
"[176, 177)",0.00616870370481714,176.5
"[178, 179)",0.07453976635524291,178.5
"[180, 181)",0.006200927836178875,180.5
"[181, 182)",0.01052210106384733,181.5
"[183, 184)",0.006598040381235796,183.5
"[186, 187)",0.07527427884624717,186.5
"[189, 190)",0.006126532259179736,189.5
"[190, 191)",0.0062115606947599445,190.5
"[193, 194)",0.0058519182400543985,193.5
"[196, 197)",0.008528709677393722,196.5
"[197, 198)",0.005777955391368857,197.5
"[199, 200)",0.006855504033495377,199.5
