time_bin,cwnd,time_bin_mid
"[0, 1)",53.896291390669205,0.5
"[1, 2)",64.3369837896791,1.5
"[3, 4)",57.47611602918632,3.5
"[5, 6)",54.30877002911068,5.5
"[6, 7)",55.78814734331842,6.5
"[8, 9)",35.27975642260473,8.5
"[11, 12)",55.12783035265162,11.5
"[12, 13)",53.08658554187383,12.5
"[15, 16)",58.10043131182074,15.5
"[16, 17)",53.787826355634024,16.5
"[19, 20)",57.68363614226615,19.5
"[20, 21)",50.7522065507552,20.5
"[23, 24)",59.618689348401205,23.5
"[26, 27)",59.693039199020156,26.5
"[27, 28)",55.12783035265162,27.5
"[29, 30)",57.774564605851126,29.5
"[31, 32)",59.84489097926567,31.5
"[33, 34)",57.233167909276034,33.5
"[36, 37)",60.469120805724785,36.5
"[38, 39)",56.99984472389555,38.5
"[40, 41)",58.62178815007214,40.5
"[42, 43)",58.206957921429044,42.5
"[44, 45)",56.42364509589736,44.5
"[46, 47)",55.859728591823625,46.5
"[48, 49)",57.61770988868571,48.5
"[50, 51)",58.2168997523505,50.5
"[52, 53)",57.02624647763361,52.5
"[54, 55)",60.15248052418646,54.5
"[58, 59)",55.29211494767782,58.5
"[61, 62)",61.81522009965169,61.5
"[63, 64)",53.2923782684324,63.5
"[66, 67)",53.787826355634024,66.5
"[67, 68)",59.85885901183065,67.5
"[69, 70)",50.281227960081345,69.5
"[71, 72)",36.10062496948596,71.5
"[73, 74)",55.9649121721841,73.5
"[75, 76)",34.87944672524984,75.5
"[76, 77)",64.4420889040156,76.5
"[78, 79)",61.11313916932498,78.5
"[81, 82)",56.999588978749635,81.5
"[84, 85)",58.63146489318914,84.5
"[86, 87)",49.670719433309245,86.5
"[88, 89)",55.52793843850703,88.5
"[90, 91)",60.54586272435191,90.5
"[92, 93)",60.96107767298237,92.5
"[94, 95)",59.92345327576221,94.5
"[96, 97)",59.788226270148876,96.5
"[97, 98)",60.272612885866415,97.5
"[99, 100)",52.066774719888414,99.5
"[102, 103)",61.71994103831876,102.5
"[104, 105)",42.545431161326135,104.5
"[105, 106)",58.41358103035531,105.5
"[107, 108)",52.69976145876973,107.5
"[109, 110)",58.2785995053774,109.5
"[111, 112)",30.5,111.5
"[113, 114)",58.496533348275705,113.5
"[115, 116)",59.19559680612132,115.5
"[117, 118)",57.981448610592466,117.5
"[120, 121)",26.0,120.5
"[123, 124)",57.83736518372233,123.5
"[124, 125)",56.838038583869945,124.5
"[127, 128)",51.99214949206362,127.5
"[130, 131)",61.273050026825295,130.5
"[131, 132)",50.281227960081345,131.5
"[132, 133)",61.06285920902418,132.5
"[134, 135)",50.281227960081345,134.5
"[137, 138)",59.421297422102356,137.5
"[140, 141)",55.29211494767782,140.5
"[141, 142)",51.52451655610774,141.5
"[142, 143)",58.73083818663159,142.5
"[143, 144)",59.73640444339544,143.5
"[144, 145)",61.12208792115261,144.5
"[146, 147)",58.62431314297089,146.5
"[148, 149)",55.41156772256714,148.5
"[150, 151)",56.297696769034964,150.5
"[151, 152)",59.78698579039138,151.5
"[154, 155)",57.79462481612311,154.5
"[157, 158)",57.95054759294612,157.5
"[161, 162)",55.210705247914206,161.5
"[162, 163)",60.73225412100937,162.5
"[164, 165)",60.26044620249888,164.5
"[167, 168)",59.19840698825897,167.5
"[168, 169)",59.858673299839715,168.5
"[171, 172)",54.25899646997107,171.5
"[172, 173)",57.05326758774113,172.5
"[174, 175)",58.232162398220616,174.5
"[176, 177)",58.6487520656228,176.5
"[178, 179)",54.95752066027893,178.5
"[180, 181)",59.230852763834065,180.5
"[181, 182)",59.053019359073595,181.5
"[183, 184)",59.79016115790273,183.5
"[186, 187)",54.68999871071541,186.5
"[189, 190)",58.97806782900942,189.5
"[190, 191)",58.549462815775726,190.5
"[193, 194)",58.02023527477779,193.5
"[196, 197)",53.5639990383286,196.5
"[197, 198)",56.863415214713555,197.5
"[199, 200)",60.59874370889301,199.5
