time_bin,goodput,time_bin_mid
"[1, 2)",241.5,1.5
"[2, 3)",0.0,2.5
"[3, 4)",0.0,3.5
"[4, 5)",146.33333333333334,4.5
"[5, 6)",0.0,5.5
"[6, 7)",99.66666666666667,6.5
"[7, 8)",88.0,7.5
"[8, 9)",0.0,8.5
"[9, 10)",34.0,9.5
"[10, 11)",0.0,10.5
"[11, 12)",0.0,11.5
"[12, 13)",81.75,12.5
"[13, 14)",53.2,13.5
"[14, 15)",0.0,14.5
"[15, 16)",0.0,15.5
"[16, 17)",96.6,16.5
"[17, 18)",47.5,17.5
"[18, 19)",0.0,18.5
"[19, 20)",0.0,19.5
"[20, 21)",64.57142857142857,20.5
"[21, 22)",27.5,21.5
"[22, 23)",0.0,22.5
"[23, 24)",0.0,23.5
"[24, 25)",89.14285714285714,24.5
"[25, 26)",0.0,25.5
"[26, 27)",0.0,26.5
"[27, 28)",79.125,27.5
"[28, 29)",36.333333333333336,28.5
"[29, 30)",0.0,29.5
"[30, 31)",45.8,30.5
"[31, 32)",0.0,31.5
"[32, 33)",65.1,32.5
"[33, 34)",0.0,33.5
"[34, 35)",38.54545454545455,34.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[37, 38)",66.27272727272727,37.5
"[38, 39)",0.0,38.5
"[39, 40)",34.166666666666664,39.5
"[40, 41)",0.0,40.5
"[41, 42)",43.666666666666664,41.5
"[42, 43)",0.0,42.5
"[43, 44)",40.833333333333336,43.5
"[44, 45)",0.0,44.5
"[45, 46)",31.666666666666668,45.5
"[46, 47)",0.0,46.5
"[47, 48)",29.583333333333332,47.5
"[48, 49)",0.0,48.5
"[49, 50)",37.333333333333336,49.5
"[50, 51)",0.0,50.5
"[51, 52)",40.916666666666664,51.5
"[52, 53)",0.0,52.5
"[53, 54)",34.333333333333336,53.5
"[54, 55)",0.0,54.5
"[55, 56)",57.416666666666664,55.5
"[56, 57)",0.0,56.5
"[57, 58)",0.0,57.5
"[58, 59)",0.0,58.5
"[59, 60)",27.666666666666668,59.5
"[60, 61)",0.0,60.5
"[61, 62)",0.0,61.5
"[62, 63)",76.08333333333333,62.5
"[63, 64)",0.0,63.5
"[64, 65)",41.61538461538461,64.5
"[65, 66)",0.0,65.5
"[66, 67)",0.0,66.5
"[67, 68)",21.923076923076923,67.5
"[68, 69)",46.5,68.5
"[69, 70)",0.0,69.5
"[70, 71)",14.133333333333333,70.5
"[71, 72)",0.0,71.5
"[72, 73)",7.0,72.5
"[73, 74)",0.0,73.5
"[74, 75)",22.5,74.5
"[75, 76)",0.0,75.5
"[76, 77)",47.89473684210526,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.0,78.5
"[79, 80)",45.05555555555556,79.5
"[80, 81)",0.0,80.5
"[81, 82)",0.0,81.5
"[82, 83)",22.77777777777778,82.5
"[83, 84)",0.0,83.5
"[84, 85)",0.0,84.5
"[85, 86)",60.04545454545455,85.5
"[86, 87)",0.0,86.5
"[87, 88)",10.736842105263158,87.5
"[88, 89)",0.0,88.5
"[89, 90)",17.05,89.5
"[90, 91)",0.0,90.5
"[91, 92)",36.85,91.5
"[92, 93)",0.0,92.5
"[93, 94)",39.65,93.5
"[94, 95)",0.0,94.5
"[95, 96)",32.65,95.5
"[96, 97)",0.0,96.5
"[97, 98)",31.9,97.5
"[98, 99)",33.19047619047619,98.5
"[99, 100)",0.0,99.5
"[100, 101)",12.2,100.5
"[101, 102)",0.0,101.5
"[102, 103)",0.0,102.5
"[103, 104)",44.75,103.5
"[104, 105)",0.0,104.5
"[105, 106)",6.8,105.5
"[106, 107)",24.142857142857142,106.5
"[107, 108)",0.0,107.5
"[108, 109)",12.285714285714286,108.5
"[109, 110)",0.0,109.5
"[110, 111)",22.545454545454547,110.5
"[111, 112)",0.0,111.5
"[112, 113)",3.9545454545454546,112.5
"[113, 114)",0.0,113.5
"[114, 115)",22.347826086956523,114.5
"[115, 116)",0.0,115.5
"[116, 117)",25.17391304347826,116.5
"[117, 118)",0.0,117.5
"[118, 119)",19.708333333333332,118.5
"[119, 120)",0.0,119.5
"[120, 121)",0.0,120.5
"[121, 122)",3.0416666666666665,121.5
"[122, 123)",0.0,122.5
"[123, 124)",0.0,123.5
"[124, 125)",35.61538461538461,124.5
"[125, 126)",28.071428571428573,125.5
"[126, 127)",0.0,126.5
"[127, 128)",0.0,127.5
"[128, 129)",9.0,128.5
"[129, 130)",0.0,129.5
"[130, 131)",0.0,130.5
"[131, 132)",29.928571428571427,131.5
"[132, 133)",7.344827586206897,132.5
"[133, 134)",27.93103448275862,133.5
"[134, 135)",0.0,134.5
"[135, 136)",7.066666666666666,135.5
"[136, 137)",0.0,136.5
"[137, 138)",0.0,137.5
"[138, 139)",20.033333333333335,138.5
"[139, 140)",0.0,139.5
"[140, 141)",0.0,140.5
"[141, 142)",11.066666666666666,141.5
"[142, 143)",7.548387096774194,142.5
"[143, 144)",17.193548387096776,143.5
"[144, 145)",35.911764705882355,144.5
"[145, 146)",24.545454545454547,145.5
"[146, 147)",0.0,146.5
"[147, 148)",29.02777777777778,147.5
"[148, 149)",0.0,148.5
"[149, 150)",9.628571428571428,149.5
"[150, 151)",0.0,150.5
"[151, 152)",10.714285714285714,151.5
"[152, 153)",17.805555555555557,152.5
"[153, 154)",0.0,153.5
"[154, 155)",0.0,154.5
"[155, 156)",12.777777777777779,155.5
"[156, 157)",0.0,156.5
"[157, 158)",0.0,157.5
"[158, 159)",13.055555555555555,158.5
"[159, 160)",0.0,159.5
"[160, 161)",0.0,160.5
"[161, 162)",0.0,161.5
"[162, 163)",9.13888888888889,162.5
"[163, 164)",36.15384615384615,163.5
"[164, 165)",0.0,164.5
"[165, 166)",30.333333333333332,165.5
"[166, 167)",0.0,166.5
"[167, 168)",0.0,167.5
"[168, 169)",14.846153846153847,168.5
"[169, 170)",41.86363636363637,169.5
"[170, 171)",0.0,170.5
"[171, 172)",0.0,171.5
"[172, 173)",7.095238095238095,172.5
"[173, 174)",10.073170731707316,173.5
"[174, 175)",0.0,174.5
"[175, 176)",11.975609756097562,175.5
"[176, 177)",0.0,176.5
"[177, 178)",13.15,177.5
"[178, 179)",0.0,178.5
"[179, 180)",7.804878048780488,179.5
"[180, 181)",0.0,180.5
"[181, 182)",14.170731707317072,181.5
"[182, 183)",13.428571428571429,182.5
"[183, 184)",0.0,183.5
"[184, 185)",15.023809523809524,184.5
"[185, 186)",0.0,185.5
"[186, 187)",0.0,186.5
"[187, 188)",7.404761904761905,187.5
