time_bin,cwnd,time_bin_mid
"[0, 1)",5.0,0.5
"[1, 2)",59.82761585574894,1.5
"[2, 3)",67.66114635162818,2.5
"[3, 4)",48.07943509885861,3.5
"[4, 5)",66.21534187791922,4.5
"[5, 6)",49.00268038300971,5.5
"[6, 7)",58.7527555511437,6.5
"[8, 9)",5.0,8.5
"[9, 10)",38.75793932404145,9.5
"[11, 12)",46.23696584882657,11.5
"[12, 13)",60.59473935418076,12.5
"[13, 14)",56.41233078062198,13.5
"[15, 16)",53.53954253575789,15.5
"[16, 17)",61.43150371299563,16.5
"[17, 18)",58.2727256054075,17.5
"[19, 20)",9.0,19.5
"[20, 21)",58.98941597069132,20.5
"[21, 22)",55.87431899444267,21.5
"[23, 24)",9.0,23.5
"[24, 25)",63.55601675737407,24.5
"[26, 27)",9.0,26.5
"[27, 28)",63.64139530256268,27.5
"[28, 29)",47.35573836665244,28.5
"[29, 30)",57.32996745353903,29.5
"[30, 31)",66.5778966972987,30.5
"[31, 32)",56.270660079026236,31.5
"[32, 33)",68.0461777236623,32.5
"[33, 34)",9.0,33.5
"[34, 35)",61.184075538396186,34.5
"[36, 37)",57.95829709507941,36.5
"[37, 38)",68.74038564134847,37.5
"[38, 39)",48.35331649889715,38.5
"[39, 40)",66.08779683223219,39.5
"[40, 41)",9.0,40.5
"[41, 42)",62.43004355354956,41.5
"[42, 43)",48.62395156497412,42.5
"[43, 44)",66.45465256205084,43.5
"[44, 45)",55.945188620308635,44.5
"[45, 46)",66.66346689683856,45.5
"[46, 47)",53.185258715671466,46.5
"[47, 48)",66.1812142708085,47.5
"[48, 49)",52.33670161861679,48.5
"[49, 50)",66.56336049287114,49.5
"[50, 51)",56.62263899520314,50.5
"[51, 52)",67.32672720741756,51.5
"[52, 53)",5.0,52.5
"[53, 54)",59.54830806958327,53.5
"[56, 57)",46.73273670479775,56.5
"[58, 59)",9.0,58.5
"[59, 60)",40.979910714285715,59.5
"[63, 64)",55.184532590920284,63.5
"[64, 65)",64.00808327670168,64.5
"[66, 67)",5.0,66.5
"[67, 68)",54.38277358392796,67.5
"[68, 69)",62.84724623976975,68.5
"[69, 70)",9.0,69.5
"[70, 71)",55.504456659680706,70.5
"[71, 72)",9.0,71.5
"[72, 73)",43.49885975680557,72.5
"[73, 74)",41.340753609947846,73.5
"[74, 75)",65.54817872862186,74.5
"[75, 76)",40.50935173890338,75.5
"[76, 77)",61.10709410301068,76.5
"[77, 78)",69.89840031636025,77.5
"[78, 79)",56.0867829127387,78.5
"[79, 80)",68.7915620510367,79.5
"[81, 82)",9.0,81.5
"[82, 83)",60.97187355610583,82.5
"[84, 85)",24.2375,84.5
"[85, 86)",62.42066532953061,85.5
"[86, 87)",58.36501672480902,86.5
"[87, 88)",55.024455037849044,87.5
"[89, 90)",50.48824932789582,89.5
"[90, 91)",65.87779252394452,90.5
"[91, 92)",56.536531489052464,91.5
"[92, 93)",65.2657057552572,92.5
"[93, 94)",64.99759830233486,93.5
"[94, 95)",9.0,94.5
"[95, 96)",63.835938088088234,95.5
"[96, 97)",9.0,96.5
"[97, 98)",61.77165796500049,97.5
"[98, 99)",64.2203036978919,98.5
"[99, 100)",9.0,99.5
"[100, 101)",56.90730959971768,100.5
"[102, 103)",9.0,102.5
"[103, 104)",65.7448873300877,103.5
"[104, 105)",42.608020663704345,104.5
"[105, 106)",9.0,105.5
"[106, 107)",62.30454959332053,106.5
"[107, 108)",9.0,107.5
"[108, 109)",57.406780249015874,108.5
"[109, 110)",48.87665572429236,109.5
"[110, 111)",66.54513854548684,110.5
"[111, 112)",25.0,111.5
"[112, 113)",54.0,112.5
"[113, 114)",49.7217378513765,113.5
"[114, 115)",66.68749675681087,114.5
"[115, 116)",9.0,115.5
"[116, 117)",63.10873980010105,116.5
"[117, 118)",9.0,117.5
"[118, 119)",61.8877054664297,118.5
"[120, 121)",26.0,120.5
"[123, 124)",56.41233104513234,123.5
"[124, 125)",58.20101077467916,124.5
"[125, 126)",61.88081410744203,125.5
"[127, 128)",17.0,127.5
"[128, 129)",60.799524888892584,128.5
"[130, 131)",57.569921803221526,130.5
"[131, 132)",67.7257931054933,131.5
"[132, 133)",52.95604441318111,132.5
"[133, 134)",57.232032874665315,133.5
"[134, 135)",66.04222142012102,134.5
"[135, 136)",55.504456659680706,135.5
"[137, 138)",9.0,137.5
"[138, 139)",63.3368498633982,138.5
"[140, 141)",48.87665572429236,140.5
