time_bin,cwnd,time_bin_mid
"[0, 1)",44.392857142857125,0.5
"[8, 9)",56.598249999999865,8.5
"[9, 10)",54.436231884057875,9.5
"[13, 14)",25.0,13.5
"[14, 15)",43.94843749999998,14.5
"[16, 17)",57.44033018867909,16.5
"[18, 19)",31.0,18.5
"[25, 26)",47.947580645161246,25.5
"[26, 27)",12.822360016725977,26.5
"[27, 28)",20.430634888159013,27.5
"[28, 29)",49.44094488188972,28.5
"[29, 30)",54.294776119402876,29.5
"[34, 35)",18.5,34.5
"[35, 36)",58.73712446351913,35.5
"[36, 37)",50.766037735848975,36.5
"[38, 39)",43.008152173913025,38.5
"[42, 43)",57.81422018348608,42.5
"[46, 47)",55.47108108108096,46.5
"[47, 48)",53.94011976047894,47.5
"[48, 49)",47.44999999999997,48.5
"[51, 52)",49.71763565891468,51.5
"[52, 53)",52.772315436241506,52.5
"[54, 55)",58.498034934497646,54.5
"[55, 56)",34.413636363636364,55.5
"[59, 60)",54.2999999999999,59.5
"[61, 62)",17.0,61.5
"[62, 63)",54.859433962264134,62.5
"[66, 67)",45.27611940298504,66.5
"[67, 68)",67.3999999999998,67.5
"[69, 70)",46.29389671361499,69.5
"[70, 71)",53.66189024390235,70.5
"[73, 74)",36.120000000000005,73.5
"[75, 76)",55.85999999999987,75.5
"[77, 78)",49.85154440154435,77.5
"[79, 80)",52.147986577181136,79.5
"[80, 81)",23.5,80.5
"[83, 84)",48.1016949152542,83.5
"[87, 88)",1.0,87.5
"[88, 89)",49.93999999999995,88.5
"[89, 90)",56.949512195121805,89.5
"[93, 94)",54.56206896551714,93.5
"[95, 96)",43.008152173913025,95.5
"[97, 98)",45.35493197278905,97.5
"[99, 100)",45.03019801980196,99.5
"[104, 105)",57.620465116278915,104.5
"[105, 106)",44.82149999999998,105.5
"[106, 107)",47.109374999999964,106.5
"[109, 110)",57.81422018348608,109.5
"[113, 114)",31.5,113.5
"[114, 115)",48.71721311475405,114.5
"[115, 116)",41.99147727272726,115.5
"[116, 117)",54.2999999999999,116.5
"[117, 118)",22.5,117.5
"[118, 119)",1.0,118.5
"[119, 120)",1.204,119.5
"[120, 121)",18.804761396701107,120.5
"[121, 122)",58.796153846153665,121.5
"[126, 127)",58.315486725663554,126.5
"[129, 130)",47.94230769230765,129.5
"[131, 132)",40.59638554216867,131.5
"[134, 135)",1.0,134.5
"[135, 136)",27.508861227055313,135.5
"[136, 137)",53.99011627906967,136.5
"[137, 138)",1.0,137.5
"[138, 139)",30.762552916512345,138.5
"[142, 143)",38.3625,142.5
"[143, 144)",52.963851351351224,143.5
"[145, 146)",41.99147727272726,145.5
"[148, 149)",55.06749999999989,148.5
"[151, 152)",48.71721311475405,151.5
"[152, 153)",52.46874999999992,152.5
"[155, 156)",48.56652892561979,155.5
"[156, 157)",57.55514018691573,156.5
"[157, 158)",56.88014705882339,157.5
"[159, 160)",56.598249999999865,159.5
"[161, 162)",55.23076923076912,161.5
"[165, 166)",33.956153846153846,165.5
"[167, 168)",42.03948863636362,167.5
"[170, 171)",58.55826086956504,170.5
"[171, 172)",21.0,171.5
"[173, 174)",26.0,173.5
"[175, 176)",32.83157894736842,175.5
"[176, 177)",66.38393501805041,176.5
"[178, 179)",25.0,178.5
"[179, 180)",31.5,179.5
"[180, 181)",58.796153846153665,180.5
"[187, 188)",53.30956112852655,187.5
"[189, 190)",1.0,189.5
"[190, 191)",39.297392590103826,190.5
"[191, 192)",50.37910447761189,191.5
"[194, 195)",51.750177935942965,194.5
"[196, 197)",47.2809734513274,196.5
