time_bin,cwnd,time_bin_mid
"[0, 1)",22.5,0.5
"[6, 7)",3.0,6.5
"[7, 8)",46.98863447489873,7.5
"[8, 9)",85.75002456427723,8.5
"[9, 10)",3.0,9.5
"[10, 11)",43.30461167577034,10.5
"[11, 12)",76.24731231283198,11.5
"[14, 15)",1.5,14.5
"[15, 16)",50.22676472661844,15.5
"[16, 17)",125.56115202127134,16.5
"[20, 21)",2.0,20.5
"[21, 22)",12.5,21.5
"[22, 23)",35.5,22.5
"[23, 24)",78.44274218758999,23.5
"[24, 25)",101.18506577279463,24.5
"[25, 26)",36.5,25.5
"[26, 27)",57.708544736819455,26.5
"[27, 28)",37.0,27.5
"[28, 29)",71.27486350730892,28.5
"[29, 30)",84.1427450979392,29.5
"[32, 33)",17.0,32.5
"[33, 34)",65.52869346341117,33.5
"[34, 35)",49.20253073213002,34.5
"[35, 36)",56.19485239063916,35.5
"[36, 37)",39.973501109997315,36.5
"[37, 38)",46.18849603830106,37.5
"[38, 39)",115.82858025429834,38.5
"[39, 40)",154.97176975821907,39.5
"[50, 51)",17.0,50.5
"[51, 52)",31.5,51.5
"[52, 53)",32.333333333333336,52.5
"[53, 54)",26.0,53.5
"[58, 59)",12.0,58.5
"[59, 60)",61.213713443058005,59.5
"[60, 61)",104.03996840980595,60.5
"[62, 63)",4.5,62.5
"[63, 64)",44.87578104526033,63.5
"[64, 65)",70.59240646486143,64.5
"[66, 67)",5.0,66.5
"[67, 68)",42.575186035210955,67.5
"[79, 80)",10.0,79.5
"[80, 81)",52.49259345851476,80.5
"[81, 82)",65.20786378084841,81.5
"[86, 87)",4.0,86.5
"[87, 88)",33.0,87.5
"[88, 89)",61.0,88.5
"[98, 99)",19.0,98.5
"[99, 100)",59.894693800743575,99.5
"[100, 101)",3.0,100.5
"[101, 102)",29.5,101.5
"[102, 103)",64.64665427480004,102.5
"[103, 104)",79.86265513865374,103.5
"[104, 105)",56.77689456237863,104.5
"[105, 106)",34.0,105.5
"[106, 107)",56.0,106.5
"[110, 111)",6.5,110.5
"[111, 112)",48.68327781857909,111.5
"[112, 113)",65.65137858713993,112.5
"[118, 119)",3.0,118.5
"[119, 120)",27.0,119.5
"[120, 121)",30.5,120.5
"[121, 122)",64.34735888649426,121.5
"[139, 140)",2.0,139.5
"[140, 141)",39.31959373828911,140.5
"[141, 142)",73.28746887538124,141.5
"[142, 143)",88.56002044013228,142.5
"[146, 147)",1.0,146.5
"[147, 148)",7.0,147.5
"[148, 149)",27.0,148.5
"[149, 150)",62.80454313438752,149.5
"[150, 151)",113.39012738441515,150.5
"[151, 152)",155.87206438719477,151.5
"[152, 153)",14.5,152.5
"[153, 154)",66.30002295893925,153.5
"[154, 155)",173.3744850514006,154.5
"[155, 156)",74.40005882006955,155.5
"[156, 157)",85.22293102787188,156.5
"[157, 158)",14.0,157.5
"[158, 159)",45.0,158.5
"[159, 160)",96.52199193039286,159.5
"[160, 161)",129.8983744084755,160.5
"[162, 163)",5.0,162.5
"[163, 164)",25.0,163.5
"[164, 165)",62.54341759733315,164.5
"[165, 166)",124.05668948648751,165.5
"[166, 167)",71.40079780358936,166.5
"[167, 168)",24.5,167.5
"[168, 169)",48.5,168.5
"[169, 170)",77.3390946991201,169.5
"[170, 171)",108.47856214327946,170.5
"[171, 172)",164.33304842231084,171.5
"[175, 176)",3.5,175.5
"[176, 177)",43.85743491738408,176.5
"[177, 178)",98.40890425449122,177.5
"[178, 179)",130.88367326884457,178.5
"[180, 181)",5.0,180.5
"[181, 182)",32.0,181.5
"[182, 183)",60.541090855545214,182.5
"[183, 184)",5.839702137451557,183.5
"[184, 185)",40.57412381807677,184.5
"[185, 186)",58.799930227835915,185.5
"[186, 187)",98.40741887311073,186.5
"[187, 188)",141.5098628150511,187.5
"[189, 190)",6.0,189.5
"[190, 191)",36.5,190.5
"[191, 192)",114.61959694298514,191.5
"[192, 193)",215.1824718861738,192.5
"[193, 194)",17.0,193.5
"[194, 195)",47.09090909090909,194.5
"[195, 196)",85.47321366343803,195.5
"[196, 197)",37.0,196.5
