time_bin,cwnd,time_bin_mid
"[0, 1)",22.5,0.5
"[9, 10)",1.0,9.5
"[10, 11)",1.0,10.5
"[11, 12)",1.0,11.5
"[12, 13)",37.11204242247927,12.5
"[13, 14)",1.0,13.5
"[14, 15)",1.0,14.5
"[15, 16)",37.78261159130259,15.5
"[16, 17)",74.217580281563,16.5
"[17, 18)",28.291048404377413,17.5
"[19, 20)",52.496173848900135,19.5
"[23, 24)",27.0,23.5
"[24, 25)",63.97125697434084,24.5
"[29, 30)",1.0,29.5
"[30, 31)",54.952284646889055,30.5
"[31, 32)",1.0,31.5
"[32, 33)",54.64955761574416,32.5
"[33, 34)",1.0,33.5
"[34, 35)",22.06382978723404,34.5
"[35, 36)",1.0,35.5
"[36, 37)",24.679693448088035,36.5
"[37, 38)",66.90599808580322,37.5
"[39, 40)",55.455808911530745,39.5
"[44, 45)",51.84013916746231,44.5
"[48, 49)",33.0,48.5
"[49, 50)",64.35955427083223,49.5
"[50, 51)",1.0,50.5
"[51, 52)",1.0,51.5
"[52, 53)",55.127602100710526,52.5
"[53, 54)",41.245284046413225,53.5
"[54, 55)",47.64728752833035,54.5
"[60, 61)",37.41018922878903,60.5
"[61, 62)",59.05340904916466,61.5
"[63, 64)",48.566494721327544,63.5
"[65, 66)",31.366450509074735,65.5
"[67, 68)",9.0,67.5
"[68, 69)",46.09821394671905,68.5
"[70, 71)",54.65302173919645,70.5
"[71, 72)",55.045414811912885,71.5
"[77, 78)",47.51681684689073,77.5
"[80, 81)",1.0,80.5
"[81, 82)",39.28117055781442,81.5
"[82, 83)",1.0,82.5
"[83, 84)",1.0,83.5
"[84, 85)",1.0,84.5
"[85, 86)",10.466858748964762,85.5
"[86, 87)",42.130150078496946,86.5
"[87, 88)",53.214159462528045,87.5
"[88, 89)",33.59923713865554,88.5
"[90, 91)",53.929479065165445,90.5
"[94, 95)",47.32751549307891,94.5
"[96, 97)",52.09914630734793,96.5
"[99, 100)",53.21201895563902,99.5
"[103, 104)",1.0,103.5
"[104, 105)",48.599130174667536,104.5
"[105, 106)",1.0,105.5
"[106, 107)",29.548387096774192,106.5
"[107, 108)",1.0,107.5
"[108, 109)",54.214728996059975,108.5
"[112, 113)",51.039864183804404,112.5
"[113, 114)",48.6476246903115,113.5
"[116, 117)",52.9841337684318,116.5
"[119, 120)",25.5,119.5
"[121, 122)",33.0,121.5
"[122, 123)",64.0499748008857,122.5
"[123, 124)",55.43954490148686,123.5
"[124, 125)",50.083494924854314,124.5
"[125, 126)",50.842621832422765,125.5
"[126, 127)",42.3065611121193,126.5
"[127, 128)",52.77065259987308,127.5
"[128, 129)",28.0,128.5
"[131, 132)",36.49374995487443,131.5
"[138, 139)",34.35317095027284,138.5
"[139, 140)",1.0,139.5
"[140, 141)",1.0,140.5
"[141, 142)",1.0,141.5
"[142, 143)",21.270588235294117,142.5
"[143, 144)",1.0,143.5
"[144, 145)",1.0,144.5
"[145, 146)",1.0,145.5
"[146, 147)",1.0,146.5
"[147, 148)",1.0,147.5
"[148, 149)",1.0,148.5
"[149, 150)",49.25266218794227,149.5
"[150, 151)",1.0,150.5
"[151, 152)",13.660687778667459,151.5
"[152, 153)",46.94849020440187,152.5
"[153, 154)",37.156553424031806,153.5
"[154, 155)",135.4598623395844,154.5
"[155, 156)",17.846153846153847,155.5
"[157, 158)",1.0,157.5
"[158, 159)",49.92499994339089,158.5
"[159, 160)",1.0,159.5
"[160, 161)",24.19514443223457,160.5
"[161, 162)",43.73973419865676,161.5
"[162, 163)",54.83895889679629,162.5
"[166, 167)",48.14473046482722,166.5
"[167, 168)",44.48098115906043,167.5
"[170, 171)",48.597899401926945,170.5
"[171, 172)",37.60950157580072,171.5
"[174, 175)",50.391931625651374,174.5
"[178, 179)",1.0,178.5
"[179, 180)",1.0,179.5
"[180, 181)",1.0,180.5
"[181, 182)",1.0,181.5
"[182, 183)",16.66315789473684,182.5
"[183, 184)",33.64531724036753,183.5
"[184, 185)",9.657613301925611,184.5
"[185, 186)",39.7179998547218,185.5
"[186, 187)",1.0,186.5
"[187, 188)",1.0,187.5
"[188, 189)",69.60466011891083,188.5
"[189, 190)",107.54667038865084,189.5
"[190, 191)",64.69381425471072,190.5
"[196, 197)",8.826086956521738,196.5
"[197, 198)",43.77814522641871,197.5
"[198, 199)",33.0,198.5
"[199, 200)",57.07539966310314,199.5
