time_bin,rtt,time_bin_mid
"[0, 1)",0.035585476190476015,0.5
"[12, 13)",0.06584115384616016,12.5
"[15, 16)",0.27714971576235037,15.5
"[16, 17)",0.29708063394668827,16.5
"[17, 18)",0.06594791366903428,17.5
"[19, 20)",0.04170934911236009,19.5
"[23, 24)",0.018257999999961853,23.5
"[24, 25)",0.054792916666582335,24.5
"[30, 31)",0.04645181818174461,30.5
"[32, 33)",0.046413348624109695,32.5
"[34, 35)",0.03748568181829093,34.5
"[36, 37)",0.18477536082534754,36.5
"[37, 38)",0.3104747084248547,37.5
"[39, 40)",0.04687942477902144,39.5
"[44, 45)",0.07051312500036469,44.5
"[48, 49)",0.07438682539722646,48.5
"[49, 50)",0.15187597222292426,49.5
"[52, 53)",0.04649022727298493,52.5
"[53, 54)",0.3379649107149528,53.5
"[54, 55)",0.15979588652529642,54.5
"[60, 61)",0.05437527196681645,60.5
"[61, 62)",0.130705249111001,61.5
"[63, 64)",0.07113528000032256,63.5
"[65, 66)",0.09900286956528767,65.5
"[67, 68)",0.018293333333320068,67.5
"[68, 69)",0.07691746031751373,68.5
"[70, 71)",0.04636077481833169,70.5
"[71, 72)",0.04638981395341805,71.5
"[77, 78)",0.06350177966083405,77.5
"[81, 82)",0.06649911392409644,81.5
"[85, 86)",0.16711383561627655,85.5
"[86, 87)",0.1107214824794736,86.5
"[87, 88)",0.04455761111104069,87.5
"[88, 89)",0.058826456692951244,88.5
"[90, 91)",0.08966096774180156,90.5
"[94, 95)",0.06272299145281457,94.5
"[96, 97)",0.0690015131576898,96.5
"[99, 100)",0.04455761111104069,99.5
"[104, 105)",0.07253054687479177,104.5
"[106, 107)",0.061649661016995254,106.5
"[108, 109)",0.1198940523254439,108.5
"[112, 113)",0.07170316901388203,112.5
"[113, 114)",0.07277551181082212,113.5
"[116, 117)",0.04333142045447777,116.5
"[119, 120)",0.04237729166669121,119.5
"[121, 122)",0.0373112698410838,121.5
"[122, 123)",0.1055246031743972,122.5
"[123, 124)",0.04655252252244737,123.5
"[124, 125)",0.06891785714266081,124.5
"[125, 126)",0.06864533783763445,125.5
"[126, 127)",0.07487111111115578,126.5
"[127, 128)",0.04267861271670301,127.5
"[128, 129)",0.05053377358494059,128.5
"[131, 132)",0.06492436619721566,131.5
"[138, 139)",0.0662401492537439,138.5
"[142, 143)",0.06887780487809336,142.5
"[149, 150)",0.06864533783817284,149.5
"[151, 152)",0.2555218627479113,151.5
"[152, 153)",0.3994521318809572,152.5
"[153, 154)",0.6812989767640492,153.5
"[154, 155)",0.21852304597682298,154.5
"[155, 156)",0.044776296296327525,155.5
"[158, 159)",0.044662298851651884,158.5
"[160, 161)",0.09207260638331452,160.5
"[161, 162)",0.08461271084378158,161.5
"[162, 163)",0.04649200957063352,162.5
"[166, 167)",0.05036873469473808,166.5
"[167, 168)",0.08813570000004348,167.5
"[170, 171)",0.06098177865642668,170.5
"[171, 172)",0.06476581081084827,171.5
"[174, 175)",0.06873601398633916,174.5
"[182, 183)",0.1062758064518151,182.5
"[183, 184)",0.22857607692305898,183.5
"[184, 185)",0.03797047619156858,184.5
"[185, 186)",0.06218319796980919,185.5
"[188, 189)",2.011896604483093,188.5
"[189, 190)",0.4404287000131124,189.5
"[190, 191)",0.16832314814860314,190.5
"[196, 197)",0.05479000000011638,196.5
"[197, 198)",0.15773146718150044,197.5
"[198, 199)",0.02106206349274468,198.5
"[199, 200)",0.06040014440528975,199.5
