time_bin,goodput,time_bin_mid
"[1, 2)",39.0,1.5
"[2, 3)",15.75,2.5
"[3, 4)",31.0,3.5
"[4, 5)",41.0,4.5
"[5, 6)",9.9,5.5
"[6, 7)",4.625,6.5
"[7, 8)",12.25,7.5
"[8, 9)",41.7,8.5
"[9, 10)",18.375,9.5
"[10, 11)",28.5,10.5
"[11, 12)",28.5,11.5
"[12, 13)",28.5,12.5
"[13, 14)",36.0,13.5
"[14, 15)",37.5,14.5
"[15, 16)",31.75,15.5
"[16, 17)",41.0,16.5
"[17, 18)",6.0,17.5
"[18, 19)",14.75,18.5
"[19, 20)",32.0,19.5
"[20, 21)",17.333333333333332,20.5
"[21, 22)",21.375,21.5
"[22, 23)",23.625,22.5
"[23, 24)",21.833333333333332,23.5
"[24, 25)",15.0,24.5
"[25, 26)",30.0,25.5
"[26, 27)",30.0,26.5
"[27, 28)",13.5,27.5
"[28, 29)",20.25,28.5
"[29, 30)",11.25,29.5
"[30, 31)",14.25,30.5
"[31, 32)",23.785714285714285,31.5
"[32, 33)",42.75,32.5
"[33, 34)",46.8,33.5
"[34, 35)",29.5,34.5
"[35, 36)",13.833333333333334,35.5
"[36, 37)",28.5,36.5
"[37, 38)",28.5,37.5
"[38, 39)",30.0,38.5
"[39, 40)",28.666666666666668,39.5
"[40, 41)",75.0,40.5
"[41, 42)",29.5,41.5
"[42, 43)",33.0,42.5
"[43, 44)",30.0,43.5
"[44, 45)",40.0,44.5
"[45, 46)",34.5,45.5
"[47, 48)",50.25,47.5
"[48, 49)",27.0,48.5
"[49, 50)",44.5,49.5
"[50, 51)",43.0,50.5
"[56, 57)",11.0,56.5
"[57, 58)",0.0,57.5
"[58, 59)",86.25,58.5
"[59, 60)",43.1,59.5
"[60, 61)",56.5,60.5
"[61, 62)",48.5,61.5
"[62, 63)",65.375,62.5
"[63, 64)",43.25,63.5
"[66, 67)",0.0,66.5
"[67, 68)",85.5,67.5
"[68, 69)",9.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",0.0,70.5
"[71, 72)",19.333333333333332,71.5
"[72, 73)",2.5,72.5
"[73, 74)",0.0,73.5
"[74, 75)",0.0,74.5
"[75, 76)",20.5,75.5
"[76, 77)",18.5,76.5
"[77, 78)",19.5,77.5
"[78, 79)",13.0,78.5
"[79, 80)",0.0,79.5
"[80, 81)",2.625,80.5
"[81, 82)",27.9,81.5
"[82, 83)",25.285714285714285,82.5
"[83, 84)",12.375,83.5
"[84, 85)",28.25,84.5
"[85, 86)",26.0,85.5
"[86, 87)",21.7,86.5
"[87, 88)",28.75,87.5
"[88, 89)",45.5,88.5
"[89, 90)",34.5,89.5
"[90, 91)",22.5,90.5
