time_bin,throughput,time_bin_mid
"[1, 2)",48.0,1.5
"[2, 3)",29.5,2.5
"[3, 4)",81.16666666666667,3.5
"[4, 5)",60.333333333333336,4.5
"[5, 6)",33.9,5.5
"[6, 7)",4.625,6.5
"[7, 8)",12.25,7.5
"[8, 9)",60.3,8.5
"[9, 10)",31.0,9.5
"[10, 11)",28.5,10.5
"[11, 12)",28.5,11.5
"[12, 13)",28.5,12.5
"[13, 14)",36.0,13.5
"[14, 15)",37.5,14.5
"[15, 16)",31.75,15.5
"[16, 17)",63.5,16.5
"[17, 18)",85.5,17.5
"[18, 19)",14.75,18.5
"[19, 20)",56.0,19.5
"[20, 21)",20.833333333333332,20.5
"[21, 22)",21.375,21.5
"[22, 23)",40.875,22.5
"[23, 24)",55.833333333333336,23.5
"[24, 25)",31.25,24.5
"[25, 26)",30.0,25.5
"[26, 27)",30.0,26.5
"[27, 28)",13.5,27.5
"[28, 29)",20.25,28.5
"[29, 30)",11.25,29.5
"[30, 31)",66.0,30.5
"[31, 32)",39.42857142857143,31.5
"[32, 33)",67.66666666666667,32.5
"[33, 34)",71.7,33.5
"[34, 35)",39.625,34.5
"[35, 36)",19.333333333333332,35.5
"[36, 37)",28.5,36.5
"[37, 38)",28.5,37.5
"[38, 39)",30.0,38.5
"[39, 40)",36.166666666666664,39.5
"[40, 41)",227.5,40.5
"[41, 42)",46.0,41.5
"[42, 43)",74.16666666666667,42.5
"[43, 44)",45.0,43.5
"[44, 45)",50.8,44.5
"[45, 46)",82.0,45.5
"[47, 48)",63.0,47.5
"[48, 49)",41.5,48.5
"[49, 50)",81.83333333333333,49.5
"[50, 51)",128.5,50.5
"[56, 57)",11.0,56.5
"[57, 58)",0.0,57.5
"[58, 59)",86.25,58.5
"[59, 60)",57.5,59.5
"[60, 61)",156.16666666666666,60.5
"[61, 62)",67.0,61.5
"[62, 63)",90.5,62.5
"[63, 64)",65.75,63.5
"[66, 67)",0.0,66.5
"[67, 68)",122.0,67.5
"[68, 69)",27.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",77.0,70.5
"[71, 72)",46.166666666666664,71.5
"[72, 73)",2.5,72.5
"[73, 74)",0.0,73.5
"[74, 75)",0.0,74.5
"[75, 76)",62.166666666666664,75.5
"[76, 77)",37.166666666666664,76.5
"[77, 78)",30.928571428571427,77.5
"[78, 79)",15.357142857142858,78.5
"[79, 80)",0.0,79.5
"[80, 81)",2.625,80.5
"[81, 82)",37.2,81.5
"[82, 83)",48.357142857142854,82.5
"[83, 84)",21.5625,83.5
"[84, 85)",28.25,84.5
"[85, 86)",32.0,85.5
"[86, 87)",29.5,86.5
"[87, 88)",40.416666666666664,87.5
"[88, 89)",61.625,88.5
"[89, 90)",43.1,89.5
"[90, 91)",24.75,90.5
"[91, 92)",1.0,91.5
"[92, 93)",69.75,92.5
"[93, 94)",64.5,93.5
"[94, 95)",0.0,94.5
"[95, 96)",151.5,95.5
"[96, 97)",12.5,96.5
"[97, 98)",58.5,97.5
"[98, 99)",68.0,98.5
"[99, 100)",65.25,99.5
"[100, 101)",0.0,100.5
"[101, 102)",0.0,101.5
"[102, 103)",101.25,102.5
"[103, 104)",74.25,103.5
"[104, 105)",43.5,104.5
"[105, 106)",36.0,105.5
"[106, 107)",27.666666666666668,106.5
"[107, 108)",0.0,107.5
"[108, 109)",24.9,108.5
"[109, 110)",66.625,109.5
"[110, 111)",7.5,110.5
"[111, 112)",39.6,111.5
"[112, 113)",38.375,112.5
"[113, 114)",22.25,113.5
"[114, 115)",0.0,114.5
"[115, 116)",0.0,115.5
"[116, 117)",100.5,116.5
"[117, 118)",0.0,117.5
"[118, 119)",48.25,118.5
"[119, 120)",57.8,119.5
"[120, 121)",44.5,120.5
"[121, 122)",75.66666666666667,121.5
"[122, 123)",30.0,122.5
"[123, 124)",48.0,123.5
"[124, 125)",60.5,124.5
"[127, 128)",61.5,127.5
"[128, 129)",67.875,128.5
"[129, 130)",157.375,129.5
"[130, 131)",40.25,130.5
"[131, 132)",58.75,131.5
"[132, 133)",21.333333333333332,132.5
"[133, 134)",10.25,133.5
"[134, 135)",22.5,134.5
"[135, 136)",22.5,135.5
"[136, 137)",114.33333333333333,136.5
"[137, 138)",4.666666666666667,137.5
"[138, 139)",139.0,138.5
"[139, 140)",92.66666666666667,139.5
"[140, 141)",69.5,140.5
"[141, 142)",88.25,141.5
"[142, 143)",37.388888888888886,142.5
"[143, 144)",14.142857142857142,143.5
"[144, 145)",7.5,144.5
"[145, 146)",0.35714285714285715,145.5
"[146, 147)",6.75,146.5
"[147, 148)",28.166666666666668,147.5
"[148, 149)",25.833333333333332,148.5
"[149, 150)",21.444444444444443,149.5
"[150, 151)",35.25,150.5
"[151, 152)",29.27777777777778,151.5
"[152, 153)",19.928571428571427,152.5
"[153, 154)",23.25,153.5
"[154, 155)",33.68181818181818,154.5
"[155, 156)",17.1,155.5
"[156, 157)",17.142857142857142,156.5
"[157, 158)",17.0,157.5
"[158, 159)",7.5,158.5
"[159, 160)",21.25,159.5
"[160, 161)",18.166666666666668,160.5
"[161, 162)",34.75,161.5
"[162, 163)",21.857142857142858,162.5
"[163, 164)",23.8,163.5
"[164, 165)",23.4,164.5
"[165, 166)",27.375,165.5
"[166, 167)",30.642857142857142,166.5
"[167, 168)",54.583333333333336,167.5
"[168, 169)",32.666666666666664,168.5
"[169, 170)",49.666666666666664,169.5
"[170, 171)",29.0,170.5
"[171, 172)",29.25,171.5
"[172, 173)",40.2,172.5
"[173, 174)",26.5,173.5
