time_bin,goodput,time_bin_mid
"[1, 2)",39.0,1.5
"[2, 3)",9.0,2.5
"[3, 4)",10.5,3.5
"[6, 7)",0.0,6.5
"[7, 8)",0.0,7.5
"[8, 9)",0.0,8.5
"[9, 10)",0.0,9.5
"[10, 11)",15.3,10.5
"[11, 12)",27.818181818181817,11.5
"[12, 13)",18.6,12.5
"[13, 14)",25.5,13.5
"[14, 15)",14.916666666666666,14.5
"[15, 16)",17.55,15.5
"[16, 17)",13.5,16.5
"[17, 18)",26.25,17.5
"[18, 19)",10.5,18.5
"[19, 20)",20.125,19.5
"[20, 21)",15.25,20.5
"[21, 22)",31.5,21.5
"[22, 23)",0.0,22.5
"[23, 24)",0.0,23.5
"[24, 25)",0.0,24.5
"[25, 26)",16.0,25.5
"[26, 27)",14.0,26.5
"[27, 28)",32.0,27.5
"[28, 29)",69.0,28.5
"[29, 30)",0.0,29.5
"[30, 31)",15.9,30.5
"[31, 32)",6.375,31.5
"[32, 33)",36.25,32.5
"[33, 34)",24.416666666666668,33.5
"[34, 35)",30.0,34.5
"[35, 36)",4.5,35.5
"[36, 37)",0.0,36.5
"[37, 38)",0.0,37.5
"[38, 39)",4.5,38.5
"[40, 41)",33.0,40.5
"[43, 44)",45.75,43.5
"[44, 45)",11.75,44.5
"[45, 46)",42.75,45.5
"[46, 47)",40.25,46.5
"[47, 48)",26.0,47.5
"[48, 49)",48.0,48.5
"[49, 50)",3.0,49.5
"[50, 51)",0.0,50.5
"[51, 52)",21.0,51.5
"[52, 53)",0.0,52.5
"[53, 54)",28.5,53.5
"[54, 55)",29.25,54.5
"[55, 56)",45.3,55.5
"[56, 57)",23.25,56.5
"[57, 58)",55.5,57.5
"[58, 59)",7.0,58.5
"[59, 60)",29.333333333333332,59.5
"[60, 61)",28.5,60.5
"[61, 62)",14.25,61.5
"[62, 63)",28.5,62.5
"[63, 64)",15.0,63.5
"[64, 65)",8.625,64.5
"[65, 66)",17.1,65.5
"[66, 67)",22.2,66.5
"[67, 68)",11.7,67.5
"[68, 69)",21.375,68.5
"[69, 70)",24.0,69.5
"[70, 71)",12.0,70.5
"[71, 72)",24.333333333333332,71.5
"[72, 73)",28.5,72.5
"[73, 74)",3.5833333333333335,73.5
"[74, 75)",14.1,74.5
"[75, 76)",30.9,75.5
"[76, 77)",3.0,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.0,78.5
"[79, 80)",28.5,79.5
"[80, 81)",28.25,80.5
"[81, 82)",0.0,81.5
"[82, 83)",31.0,82.5
"[83, 84)",28.75,83.5
"[84, 85)",21.0,84.5
"[85, 86)",15.5,85.5
"[86, 87)",7.375,86.5
"[87, 88)",35.1,87.5
"[88, 89)",61.5,88.5
"[89, 90)",0.0,89.5
"[90, 91)",0.0,90.5
"[91, 92)",0.0,91.5
"[92, 93)",0.0,92.5
"[93, 94)",0.0,93.5
"[94, 95)",0.0,94.5
"[95, 96)",0.0,95.5
"[96, 97)",18.25,96.5
"[97, 98)",15.428571428571429,97.5
"[98, 99)",10.875,98.5
"[99, 100)",21.875,99.5
"[100, 101)",19.928571428571427,100.5
"[101, 102)",14.0,101.5
"[102, 103)",9.928571428571429,102.5
"[103, 104)",14.5,103.5
"[104, 105)",27.25,104.5
"[105, 106)",13.375,105.5
"[106, 107)",24.375,106.5
"[107, 108)",4.0,107.5
"[108, 109)",0.0,108.5
"[109, 110)",0.0,109.5
"[110, 111)",0.0,110.5
"[111, 112)",20.75,111.5
"[112, 113)",4.357142857142857,112.5
"[113, 114)",0.0,113.5
"[114, 115)",14.5,114.5
"[115, 116)",29.25,115.5
"[116, 117)",7.125,116.5
"[117, 118)",24.375,117.5
"[118, 119)",18.214285714285715,118.5
"[119, 120)",11.25,119.5
"[120, 121)",8.1,120.5
"[121, 122)",6.625,121.5
"[122, 123)",29.25,122.5
"[123, 124)",18.5,123.5
"[124, 125)",0.0,124.5
"[125, 126)",0.0,125.5
"[126, 127)",0.0,126.5
"[127, 128)",31.8,127.5
"[128, 129)",11.166666666666666,128.5
"[129, 130)",22.5,129.5
"[130, 131)",7.125,130.5
"[131, 132)",21.5,131.5
"[132, 133)",18.0,132.5
"[133, 134)",19.333333333333332,133.5
"[134, 135)",5.0,134.5
"[135, 136)",0.0,135.5
"[136, 137)",14.625,136.5
"[137, 138)",7.5,137.5
"[138, 139)",9.0,138.5
"[139, 140)",17.785714285714285,139.5
"[140, 141)",1.5,140.5
"[141, 142)",0.375,141.5
"[142, 143)",0.0,142.5
"[143, 144)",0.0,143.5
"[144, 145)",19.125,144.5
"[145, 146)",0.0,145.5
"[146, 147)",0.0,146.5
"[147, 148)",24.9375,147.5
"[148, 149)",5.4,148.5
"[149, 150)",29.25,149.5
"[150, 151)",4.875,150.5
"[151, 152)",20.4,151.5
"[152, 153)",8.25,152.5
"[153, 154)",0.0,153.5
"[154, 155)",0.0,154.5
"[155, 156)",30.0,155.5
"[156, 157)",21.9,156.5
"[157, 158)",0.9,157.5
"[158, 159)",15.1,158.5
"[159, 160)",0.0,159.5
"[160, 161)",0.0,160.5
"[161, 162)",14.4,161.5
"[162, 163)",25.5,162.5
"[163, 164)",18.0,163.5
"[164, 165)",14.357142857142858,164.5
"[165, 166)",31.125,165.5
"[166, 167)",12.166666666666666,166.5
"[167, 168)",1.5,167.5
"[168, 169)",23.25,168.5
"[169, 170)",26.5,169.5
"[170, 171)",11.25,170.5
"[171, 172)",18.75,171.5
"[172, 173)",0.0,172.5
"[173, 174)",0.0,173.5
"[174, 175)",0.0,174.5
"[175, 176)",28.5,175.5
"[176, 177)",33.0,176.5
"[177, 178)",28.5,177.5
