time_bin,cwnd,time_bin_mid
"[0, 1)",3.0,0.5
"[1, 2)",30.84872291888485,1.5
"[2, 3)",32.557343057291696,2.5
"[3, 4)",25.14780104933046,3.5
"[4, 5)",24.198609690563814,4.5
"[5, 6)",38.8149501555105,5.5
"[6, 7)",4.067512287062678,6.5
"[7, 8)",20.313787439536387,7.5
"[8, 9)",28.406386462907538,8.5
"[15, 16)",7.5,15.5
"[16, 17)",35.61472457092921,16.5
"[17, 18)",4.948717948717949,17.5
"[18, 19)",28.876642379922977,18.5
"[19, 20)",31.46436341418449,19.5
"[20, 21)",30.839480314245083,20.5
"[21, 22)",34.562185192822646,21.5
"[22, 23)",8.877888583127223,22.5
"[23, 24)",21.870465606589867,23.5
"[24, 25)",24.267724620467135,24.5
"[25, 26)",20.8425883511646,25.5
"[26, 27)",1.625,26.5
"[27, 28)",9.373801360806755,27.5
"[28, 29)",35.73519136374344,28.5
"[29, 30)",29.290140648967338,29.5
"[30, 31)",4.804237288135593,30.5
"[32, 33)",31.69885308148157,32.5
"[33, 34)",37.168881990776136,33.5
"[34, 35)",5.135135135135135,34.5
"[36, 37)",1.0,36.5
"[37, 38)",1.0,37.5
"[38, 39)",2.6,38.5
"[39, 40)",15.964220981255782,39.5
"[40, 41)",5.830964090904584,40.5
"[41, 42)",1.0,41.5
"[42, 43)",1.0,42.5
"[43, 44)",15.209543999553642,43.5
"[44, 45)",33.75929122377958,44.5
"[45, 46)",42.391393755652494,45.5
"[46, 47)",4.521188006369163,46.5
"[47, 48)",18.886413396900238,47.5
"[48, 49)",19.168810033987445,48.5
"[49, 50)",11.074210073889287,49.5
"[50, 51)",13.898208776029843,50.5
"[51, 52)",9.273823997358457,51.5
"[52, 53)",16.339589979867824,52.5
"[53, 54)",25.57868825290509,53.5
"[54, 55)",24.699672966064888,54.5
"[55, 56)",9.397185198207765,55.5
"[56, 57)",30.623934990213165,56.5
"[57, 58)",13.88955130369807,57.5
