time_bin,rtt,time_bin_mid
"[6, 7)",0.11269499999999755,6.5
"[7, 8)",0.22569458333332282,7.5
"[15, 16)",0.3123400000000167,15.5
"[16, 17)",0.2661099999999994,16.5
"[17, 18)",0.2935885964912435,17.5
"[24, 25)",0.12009000000000114,24.5
"[25, 26)",0.23160768115941083,25.5
"[26, 27)",0.42789607361963367,26.5
"[27, 28)",0.7780649462366309,27.5
"[32, 33)",0.11009000000000668,32.5
"[33, 34)",0.24298056338029483,33.5
"[38, 39)",0.21017897435903174,38.5
"[39, 40)",0.5974767777778189,39.5
"[40, 41)",0.7552602173912363,40.5
"[44, 45)",0.10022500000001315,44.5
"[45, 46)",0.2547703105590601,45.5
"[46, 47)",0.6071292233009276,46.5
"[49, 50)",0.21172608974364712,49.5
"[50, 51)",0.5869776000000434,50.5
"[51, 52)",0.683166428571371,51.5
"[52, 53)",0.11345333333334177,52.5
"[53, 54)",0.2576908653846307,53.5
"[54, 55)",0.2912939000000448,54.5
"[55, 56)",0.6465164285713395,55.5
"[58, 59)",0.10576555555556805,58.5
"[59, 60)",0.278548648648659,59.5
"[63, 64)",0.09660363636365009,63.5
"[64, 65)",0.33398586206887404,64.5
"[65, 66)",0.653307471264507,65.5
"[71, 72)",0.12303714285712074,71.5
"[72, 73)",0.2889574747473901,72.5
"[73, 74)",0.6415692857144718,73.5
"[76, 77)",0.09358833333330807,76.5
"[77, 78)",0.24327788732396302,77.5
"[79, 80)",0.16074614035080795,79.5
"[80, 81)",0.45940745098048147,80.5
"[87, 88)",0.11814999999998008,87.5
"[88, 89)",0.2834666999999139,88.5
"[89, 90)",0.6301778260871147,89.5
"[90, 91)",0.14702499999993765,90.5
"[91, 92)",0.3848984242424043,91.5
"[92, 93)",0.6464746511629413,92.5
"[100, 101)",0.14931653846147314,100.5
"[101, 102)",0.502261818181768,101.5
"[102, 103)",0.6537813559323967,102.5
"[104, 105)",0.16301396551716973,104.5
"[105, 106)",0.5256029000000223,105.5
"[106, 107)",0.6502450000003037,106.5
"[110, 111)",0.11345333333331571,110.5
"[111, 112)",0.2707439999999073,111.5
"[112, 113)",0.4915049494950506,112.5
"[113, 114)",0.449393599999933,113.5
"[114, 115)",0.654334936709012,114.5
"[120, 121)",0.11814999999998008,120.5
"[121, 122)",0.2834666999999139,121.5
"[122, 123)",0.6327016666668239,122.5
"[129, 130)",0.6750400000000525,129.5
"[130, 131)",0.22373750000019293,130.5
"[131, 132)",0.6484324096386982,131.5
"[132, 133)",0.7920096103894607,132.5
"[133, 134)",0.35741669724774805,133.5
"[134, 135)",0.5875733333328753,134.5
"[135, 136)",0.14670647058825106,135.5
"[137, 138)",0.1628007843138699,137.5
"[138, 139)",0.4997171000001239,138.5
"[139, 140)",0.6505399999995802,139.5
"[143, 144)",0.14900230769235578,143.5
"[144, 145)",0.2829871428569269,144.5
"[145, 146)",0.11345333333335361,145.5
"[146, 147)",0.252495172413967,146.5
"[147, 148)",0.47819893616996223,147.5
"[148, 149)",0.29403858585880016,148.5
"[149, 150)",0.6410658999999791,149.5
"[150, 151)",0.49720289473652046,150.5
"[151, 152)",0.1729637777777858,151.5
"[154, 155)",0.1201650000000285,154.5
"[155, 156)",0.2850144444446569,155.5
"[156, 157)",0.6384600999999478,156.5
"[157, 158)",0.6602899999994918,157.5
"[162, 163)",0.11345333333335361,162.5
"[163, 164)",0.2627646315790559,163.5
"[164, 165)",0.5453049999996011,164.5
"[166, 167)",0.15524808510651728,166.5
"[167, 168)",0.4534023529411356,167.5
"[168, 169)",0.11345333333335361,168.5
"[169, 170)",0.25731820224740237,169.5
"[170, 171)",0.6288151020408023,170.5
"[171, 172)",0.32466607594924035,171.5
"[172, 173)",0.30004499999974144,172.5
"[184, 185)",0.12303714285717351,184.5
"[185, 186)",0.27533688888910696,185.5
"[186, 187)",0.626220808080804,186.5
"[187, 188)",0.6604349999995378,187.5
"[188, 189)",0.1201650000000285,188.5
"[189, 190)",0.28719160000011895,189.5
"[190, 191)",0.5879590476186211,190.5
"[193, 194)",0.11345333333335361,193.5
"[194, 195)",0.14062842857144103,194.5
"[195, 196)",0.22138012345699512,195.5
"[196, 197)",0.5966109000000338,196.5
"[197, 198)",0.6569416129027843,197.5
