time_bin,rtt,time_bin_mid
"[0, 1)",0.07733687499999585,0.5
"[1, 2)",0.09898499999999927,1.5
"[3, 4)",0.07934180887373324,3.5
"[5, 6)",0.07443424999999153,5.5
"[6, 7)",0.00512280851061788,6.5
"[8, 9)",0.03121632352942477,8.5
"[11, 12)",0.07270555045874835,11.5
"[12, 13)",0.06892297752811954,12.5
"[15, 16)",0.010040776397529842,15.5
"[16, 17)",0.07577036842100536,16.5
"[19, 20)",0.005512450331010874,19.5
"[20, 21)",0.06086442176866727,20.5
"[23, 24)",0.010046033653862132,23.5
"[26, 27)",0.010067843601911718,26.5
"[27, 28)",0.07270555045866502,27.5
"[29, 30)",0.08136839869275395,29.5
"[31, 32)",0.010184308755777072,31.5
"[33, 34)",0.009263604240296848,33.5
"[36, 37)",0.006006049382997136,36.5
"[38, 39)",0.0791947810220239,38.5
"[40, 41)",0.005669857143122527,40.5
"[42, 43)",0.08489593272184379,42.5
"[44, 45)",0.00944909448819678,44.5
"[46, 47)",0.005151772152137806,46.5
"[48, 49)",0.08012719063557934,48.5
"[50, 51)",0.009903932926840567,50.5
"[52, 53)",0.009284945454557953,52.5
"[54, 55)",0.006069500000282655,54.5
"[58, 59)",0.07280364864876612,58.5
"[61, 62)",0.0062294745487311825,61.5
"[63, 64)",0.010400221606860932,63.5
"[66, 67)",0.008767736842145643,66.5
"[67, 68)",0.005938341013299091,67.5
"[69, 70)",0.007087394366227824,69.5
"[71, 72)",0.030869571428340032,71.5
"[73, 74)",0.07639737499941972,73.5
"[75, 76)",0.021621821705196328,75.5
"[76, 77)",0.006571663179337569,76.5
"[78, 79)",0.006190896487438329,78.5
"[81, 82)",0.005403357663757923,81.5
"[84, 85)",0.020785918367375325,84.5
"[86, 87)",0.007174632352978098,86.5
"[88, 89)",0.07351881578891407,88.5
"[90, 91)",0.0060185162596289535,90.5
"[92, 93)",0.00615034026410758,92.5
"[94, 95)",0.005944564219657656,94.5
"[96, 97)",0.005883873238915283,96.5
"[97, 98)",0.006043043010220147,97.5
"[99, 100)",0.06328067484615091,99.5
"[102, 103)",0.006247629815193541,102.5
"[104, 105)",0.03599131868104791,104.5
"[105, 106)",0.00977281065090681,105.5
"[107, 108)",0.007782732558160243,107.5
"[109, 110)",0.009854954682805166,109.5
"[111, 112)",0.02815189655151917,111.5
"[113, 114)",0.009735131195354428,113.5
"[115, 116)",0.0059762953362628235,115.5
"[117, 118)",0.009817816455723584,117.5
"[120, 121)",0.020580204081482797,120.5
"[123, 124)",0.007845485436678509,123.5
"[124, 125)",0.014552977099203581,124.5
"[127, 128)",0.06311685185137193,127.5
"[130, 131)",0.0061545259402976575,130.5
"[131, 132)",0.0071072535211065616,131.5
"[132, 133)",0.0061307777788944355,132.5
"[134, 135)",0.061049366197246845,134.5
"[137, 138)",0.010103092269336986,137.5
"[140, 141)",0.008550945945953414,140.5
"[141, 142)",0.061775961538551284,141.5
"[142, 143)",0.009744747191026663,142.5
"[143, 144)",0.005923378379453758,143.5
"[144, 145)",0.006117388890003612,144.5
"[146, 147)",0.00570812769113744,146.5
"[148, 149)",0.008598266666677875,148.5
"[150, 151)",0.07978068000010205,150.5
"[151, 152)",0.010101612149548763,151.5
"[154, 155)",0.00958149837134281,154.5
"[157, 158)",0.08337124203833145,157.5
"[161, 162)",0.07266568181829224,161.5
"[162, 163)",0.006058021277697075,162.5
"[164, 165)",0.011198814957656135,164.5
"[167, 168)",0.005976295337866036,167.5
"[168, 169)",0.008073694061061575,168.5
"[171, 172)",0.07471120603023468,171.5
"[172, 173)",0.005397753624166881,172.5
"[174, 175)",0.0057496646351840475,174.5
"[176, 177)",0.00567532763635957,176.5
"[178, 179)",0.0725727570094517,178.5
"[180, 181)",0.005977293815511236,180.5
"[181, 182)",0.010046409574474327,181.5
"[183, 184)",0.005869394300355473,183.5
"[186, 187)",0.07299370192317561,186.5
"[189, 190)",0.00580491935589295,189.5
"[190, 191)",0.005675289018373919,190.5
"[193, 194)",0.005732201258893172,193.5
"[196, 197)",0.008520161290294233,196.5
"[197, 198)",0.0054310594805346574,197.5
"[199, 200)",0.00603598790432453,199.5
