time_bin,rtt,time_bin_mid
"[0, 1)",0.1027514285714284,0.5
"[1, 2)",0.1657352877697768,1.5
"[2, 3)",0.18692135135134294,2.5
"[3, 4)",0.12813041322314697,3.5
"[4, 5)",0.17163843023256714,4.5
"[5, 6)",0.13013445312499794,5.5
"[6, 7)",0.08804768729642296,6.5
"[8, 9)",0.10275142857143063,8.5
"[9, 10)",0.11492540983606733,9.5
"[11, 12)",0.1319568807339598,11.5
"[12, 13)",0.1817164705882297,12.5
"[13, 14)",0.15203636904762258,13.5
"[15, 16)",0.07892814606742843,15.5
"[16, 17)",0.16560408805033874,16.5
"[17, 18)",0.16306114285714787,17.5
"[19, 20)",0.10469999999999544,19.5
"[20, 21)",0.14304215231788572,20.5
"[21, 22)",0.13857628787879242,21.5
"[23, 24)",0.10469999999999544,23.5
"[24, 25)",0.10822528678304741,24.5
"[26, 27)",0.10469999999999544,26.5
"[27, 28)",0.10560334152334651,27.5
"[28, 29)",0.12753948275860247,28.5
"[29, 30)",0.16158441860465542,29.5
"[30, 31)",0.17171366666669083,30.5
"[31, 32)",0.07704731277532101,31.5
"[32, 33)",0.17602956521736796,32.5
"[33, 34)",0.10470000000001534,33.5
"[34, 35)",0.09818354477612563,34.5
"[36, 37)",0.07633063197029162,36.5
"[37, 38)",0.09998018433177648,37.5
"[38, 39)",0.16447853658541595,38.5
"[39, 40)",0.17142675496686235,39.5
"[40, 41)",0.10470000000001534,40.5
"[41, 42)",0.15756746268657568,41.5
"[42, 43)",0.150241176470639,42.5
"[43, 44)",0.17313249999998345,43.5
"[44, 45)",0.10638776255710532,44.5
"[45, 46)",0.07011999999988205,45.5
"[46, 47)",0.1426390697674821,46.5
"[47, 48)",0.1691338461537653,47.5
"[48, 49)",0.13840409937892403,48.5
"[49, 50)",0.1723967391304022,49.5
"[50, 51)",0.10422769230772626,50.5
"[51, 52)",0.07315404255313443,51.5
"[52, 53)",0.1027514285714385,52.5
"[53, 54)",0.14802582089552965,53.5
"[56, 57)",0.14099955357143537,56.5
"[58, 59)",0.10470000000001534,58.5
"[59, 60)",0.13104224489796137,59.5
"[63, 64)",0.10748314049592103,63.5
"[64, 65)",0.10386133531163705,64.5
"[66, 67)",0.10275142857140704,66.5
"[67, 68)",0.14476947368420398,67.5
"[68, 69)",0.09112084309133411,68.5
"[69, 70)",0.10469999999996844,69.5
"[70, 71)",0.12879141732283508,70.5
"[71, 72)",0.10469999999996844,71.5
"[72, 73)",0.11693399999999796,72.5
"[73, 74)",0.13609174418594555,73.5
"[74, 75)",0.18078461038965596,74.5
"[75, 76)",0.12073433734939501,75.5
"[76, 77)",0.08200649616364418,76.5
"[77, 78)",0.18190421052642355,77.5
"[78, 79)",0.10600752252246523,78.5
"[79, 80)",0.07865686520380384,79.5
"[81, 82)",0.10469999999996844,81.5
"[82, 83)",0.15577528957528736,82.5
"[84, 85)",0.12230274999998478,84.5
"[85, 86)",0.1453060109289155,85.5
"[86, 87)",0.2263135294122189,86.5
"[87, 88)",0.07897479338842889,87.5
"[89, 90)",0.1307029787233223,89.5
"[90, 91)",0.16958379310357172,90.5
"[91, 92)",0.10450793103442721,91.5
"[92, 93)",0.07912210909095532,92.5
"[93, 94)",0.0895255058365781,93.5
