time_bin,goodput,time_bin_mid
"[2, 3)",21.0,2.5
"[3, 4)",110.0,3.5
"[6, 7)",29.25,6.5
"[7, 8)",148.5,7.5
"[8, 9)",67.0,8.5
"[14, 15)",20.25,14.5
"[15, 16)",148.5,15.5
"[16, 17)",71.0,16.5
"[18, 19)",20.25,18.5
"[19, 20)",89.5,19.5
"[27, 28)",21.0,27.5
"[28, 29)",100.0,28.5
"[34, 35)",28.5,34.5
"[35, 36)",90.0,35.5
"[40, 41)",26.0,40.5
"[41, 42)",38.25,41.5
"[42, 43)",32.666666666666664,42.5
"[43, 44)",44.5,43.5
"[44, 45)",48.75,44.5
"[45, 46)",31.833333333333332,45.5
"[46, 47)",25.5,46.5
"[56, 57)",26.0,56.5
"[64, 65)",30.5,64.5
"[65, 66)",37.5,65.5
"[66, 67)",20.0,66.5
