time_bin,rtt,time_bin_mid
"[0, 1)",0.1375599999999999,0.5
"[1, 2)",0.2639523913043505,1.5
"[2, 3)",0.2480860606060582,2.5
"[3, 4)",0.6298947297297203,3.5
"[4, 5)",0.9437358571428421,4.5
"[5, 6)",0.4793575925925865,5.5
"[6, 7)",0.37327417475727487,6.5
"[7, 8)",0.8161418681318523,7.5
"[8, 9)",1.224600388349492,8.5
"[9, 10)",1.5751705813953192,9.5
"[10, 11)",0.8364190540540396,10.5
"[11, 12)",0.16835499999999964,11.5
"[12, 13)",0.20023999999999947,12.5
"[13, 14)",0.17178541666666636,13.5
"[14, 15)",0.1318014285714284,14.5
"[15, 16)",0.18322999999999964,15.5
"[16, 17)",0.7032300000000067,16.5
"[17, 18)",1.0032300000000127,17.5
"[18, 19)",0.16793588235294202,18.5
"[19, 20)",0.2891175000000021,19.5
"[20, 21)",0.6912957142857218,20.5
"[21, 22)",0.45507177215190003,21.5
"[22, 23)",0.3346886746987948,22.5
"[23, 24)",0.6462455555555572,23.5
"[24, 25)",0.2905442857142881,24.5
"[25, 26)",0.9048300000000111,25.5
"[26, 27)",1.9286494736842785,26.5
"[27, 28)",1.0035942567567873,27.5
"[28, 29)",0.4007633333333332,28.5
"[33, 34)",5.986585000000171,33.5
"[41, 42)",7.899223750000274,41.5
"[45, 46)",9.483760000000279,45.5
"[46, 47)",0.2737895000000027,46.5
"[47, 48)",0.8162595652173925,47.5
"[48, 49)",1.0287009090909092,48.5
"[49, 50)",3.0146092500003476,49.5
"[50, 51)",0.14543714285714668,50.5
"[51, 52)",0.1604747368421093,51.5
"[52, 53)",0.12758000000000358,52.5
"[53, 54)",0.11924666666667012,53.5
"[54, 55)",4.513270806452348,54.5
"[55, 56)",0.13894045454545792,55.5
"[56, 57)",0.10229999999999961,56.5
"[59, 60)",9.674501851852948,59.5
"[60, 61)",9.62572000000096,60.5
"[62, 63)",7.936433448276557,62.5
"[66, 67)",9.939240000000495,66.5
"[74, 75)",15.550963513513377,74.5
"[76, 77)",16.08828714285666,76.5
"[82, 83)",20.220556857141947,82.5
"[84, 85)",20.29517499999875,84.5
"[88, 89)",21.727115999998638,88.5
"[91, 92)",21.795689999998377,91.5
"[93, 94)",13.041389559747689,93.5
"[94, 95)",1.1554466666674603,94.5
"[95, 96)",1.52975323232399,95.5
"[96, 97)",2.323280000000663,96.5
"[97, 98)",2.2764768085113127,97.5
"[98, 99)",2.5182513131319966,98.5
"[99, 100)",2.2680578350522196,99.5
"[100, 101)",2.3882264948460343,100.5
"[101, 102)",2.41248400000068,101.5
"[102, 103)",2.242861958763552,102.5
"[103, 104)",2.2360774226810767,103.5
"[104, 105)",2.2315145360831368,104.5
"[105, 106)",2.2330300000006624,105.5
"[106, 107)",2.233545151515814,106.5
"[107, 108)",2.8595736363643574,107.5
"[108, 109)",2.2542300000006685,108.5
"[109, 110)",2.2528764646471333,109.5
"[110, 111)",2.2521475257738643,110.5
"[111, 112)",2.253886565657234,111.5
"[112, 113)",2.238642000000664,112.5
"[113, 114)",2.233545151515814,113.5
"[114, 115)",2.232535050505713,114.5
"[115, 116)",2.2330300000006624,115.5
"[116, 117)",2.232535050505713,116.5
"[117, 118)",2.234070816327193,117.5
"[118, 119)",2.234607319588291,118.5
"[119, 120)",2.234607319588291,119.5
"[120, 121)",2.2320300000006625,120.5
"[121, 122)",2.231513917526436,121.5
"[122, 123)",2.2325454639181883,122.5
"[123, 124)",2.2324405050511675,123.5
"[124, 125)",2.2328033333339903,124.5
"[129, 130)",7.90383714283503,129.5
"[132, 133)",9.731144489774577,132.5
"[134, 135)",11.530022999979085,134.5
"[136, 137)",12.979442903205333,136.5
"[138, 139)",6.243934326238731,138.5
"[139, 140)",1.293380684208617,139.5
"[140, 141)",1.6897279999978667,140.5
"[141, 142)",3.054024255316835,141.5
"[142, 143)",2.1515183333309857,142.5
"[143, 144)",2.399227634406198,143.5
"[144, 145)",2.0909893333310396,144.5
"[145, 146)",2.007935789471478,145.5
"[146, 147)",2.059316999997842,146.5
"[147, 148)",2.0019049999978926,147.5
"[148, 149)",1.8366145454525702,148.5
"[149, 150)",1.7996585714266125,149.5
"[150, 151)",1.7908667346919145,150.5
"[151, 152)",1.774970999998055,151.5
"[152, 153)",1.7572573469368669,152.5
"[153, 154)",2.0490540404018738,153.5
"[154, 155)",1.721848585856777,154.5
"[155, 156)",1.7030318749982145,155.5
"[156, 157)",2.2795433333312536,156.5
"[157, 158)",1.6149902040798796,157.5
"[158, 159)",1.627108265304338,158.5
"[159, 160)",1.8099447474727668,159.5
"[160, 161)",1.6177442857125242,160.5
"[161, 162)",1.8280048979572217,161.5
"[162, 163)",1.5998214141397131,162.5
"[163, 164)",1.8143977319568325,163.5
"[164, 165)",1.5799081443282195,164.5
"[165, 166)",1.5764599999982827,165.5
"[166, 167)",1.5959256756739413,166.5
"[170, 171)",5.564352333395417,170.5
"[171, 172)",2.835822543373827,171.5
"[172, 173)",3.373446632652324,172.5
"[173, 174)",1.5746315306105294,173.5
"[174, 175)",1.7035168604632835,174.5
"[178, 179)",4.946599090919903,178.5
"[179, 180)",4.333497878798873,179.5
"[187, 188)",8.397978591551952,187.5
"[190, 191)",3.824617705883032,190.5
"[192, 193)",5.502351052634995,192.5
"[194, 195)",7.595120937505007,194.5
"[196, 197)",3.534453641975668,196.5
"[197, 198)",1.0122427083315977,197.5
"[198, 199)",1.5285293258411168,198.5
