time_bin,cwnd,time_bin_mid
"[1, 2)",1.0,1.5
"[2, 3)",1.0,2.5
"[3, 4)",1.0,3.5
"[4, 5)",1.0,4.5
"[6, 7)",1.0,6.5
"[7, 8)",1.0,7.5
"[8, 9)",1.0,8.5
"[9, 10)",1.0,9.5
"[10, 11)",1.0,10.5
"[11, 12)",1.0,11.5
"[12, 13)",1.0,12.5
"[13, 14)",1.0,13.5
"[14, 15)",1.0,14.5
"[15, 16)",1.0,15.5
"[16, 17)",1.0,16.5
"[17, 18)",1.0,17.5
"[18, 19)",1.0,18.5
"[20, 21)",1.0,20.5
"[21, 22)",1.0,21.5
"[23, 24)",1.0,23.5
"[24, 25)",1.0,24.5
"[25, 26)",1.0,25.5
"[26, 27)",1.0,26.5
"[31, 32)",1.0,31.5
"[32, 33)",1.0,32.5
"[34, 35)",1.0,34.5
"[36, 37)",1.0,36.5
"[37, 38)",1.0,37.5
"[39, 40)",1.0,39.5
"[40, 41)",1.0,40.5
"[41, 42)",1.0,41.5
"[42, 43)",1.0,42.5
"[63, 64)",1.0,63.5
"[64, 65)",1.0,64.5
"[66, 67)",1.0,66.5
"[68, 69)",1.0,68.5
"[69, 70)",1.0,69.5
"[71, 72)",1.0,71.5
"[72, 73)",1.0,72.5
"[73, 74)",1.0,73.5
"[74, 75)",1.0,74.5
"[123, 124)",1.0,123.5
"[124, 125)",1.0,124.5
"[126, 127)",1.0,126.5
"[128, 129)",1.0,128.5
"[129, 130)",1.0,129.5
"[131, 132)",1.0,131.5
"[132, 133)",1.0,132.5
"[133, 134)",1.0,133.5
"[134, 135)",1.0,134.5
"[183, 184)",1.0,183.5
"[184, 185)",1.0,184.5
"[186, 187)",1.0,186.5
"[188, 189)",1.0,188.5
"[189, 190)",1.0,189.5
"[191, 192)",1.0,191.5
"[192, 193)",1.0,192.5
"[193, 194)",1.0,193.5
"[194, 195)",1.0,194.5
