time_bin,rtt,time_bin_mid
"[15, 16)",0.11757500000003596,15.5
"[16, 17)",0.21439827272728032,16.5
"[17, 18)",0.2958022727272885,17.5
"[18, 19)",0.215440535714293,18.5
"[19, 20)",0.3677216666666855,19.5
"[26, 27)",0.12501500000001187,26.5
"[27, 28)",0.20424315217391872,27.5
"[28, 29)",0.3626844791666852,28.5
"[33, 34)",0.1569640000000078,33.5
"[34, 35)",0.30891240963856964,34.5
"[39, 40)",0.16395263157895476,39.5
"[40, 41)",0.2160334375000068,40.5
"[41, 42)",0.09515000000001095,41.5
"[42, 43)",0.2460270238095368,42.5
"[43, 44)",0.20040378378379534,43.5
"[44, 45)",0.31736333333334915,44.5
"[45, 46)",0.10990500000002612,45.5
"[46, 47)",0.18404015151515854,46.5
"[55, 56)",0.1781077586206971,55.5
"[56, 57)",0.19955166666667404,56.5
"[63, 64)",0.1823853125000079,63.5
"[64, 65)",0.16436535714285633,64.5
"[65, 66)",0.24070488888889782,65.5
