time_bin,retransmissions,time_bin_mid
"[1, 2)",7.526315789473684,1.5
"[3, 4)",5.1395348837209305,3.5
"[5, 6)",7.225,5.5
"[7, 8)",10.71875,7.5
"[11, 12)",10.363636363636363,11.5
"[14, 15)",2.0,14.5
"[18, 19)",0.0,18.5
"[19, 20)",0.0,19.5
"[20, 21)",0.0,20.5
"[22, 23)",0.0,22.5
"[23, 24)",0.0,23.5
"[24, 25)",0.0,24.5
"[25, 26)",0.0,25.5
"[27, 28)",0.0,27.5
"[28, 29)",0.0,28.5
"[29, 30)",0.0,29.5
"[30, 31)",0.0,30.5
"[32, 33)",0.0,32.5
"[33, 34)",0.0,33.5
"[34, 35)",0.0,34.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[37, 38)",0.0,37.5
"[38, 39)",0.0,38.5
"[39, 40)",0.0,39.5
"[40, 41)",0.0,40.5
"[41, 42)",0.0,41.5
"[42, 43)",0.0,42.5
"[43, 44)",0.0,43.5
"[44, 45)",0.0,44.5
"[45, 46)",0.0,45.5
"[46, 47)",0.0,46.5
"[47, 48)",0.0,47.5
"[48, 49)",0.0,48.5
"[49, 50)",0.0,49.5
"[50, 51)",0.0,50.5
"[52, 53)",0.0,52.5
"[53, 54)",0.0,53.5
"[54, 55)",0.0,54.5
"[55, 56)",0.0,55.5
"[56, 57)",0.0,56.5
"[57, 58)",0.0,57.5
"[58, 59)",0.0,58.5
"[59, 60)",0.0,59.5
"[60, 61)",0.0,60.5
"[61, 62)",0.0,61.5
"[62, 63)",0.0,62.5
"[63, 64)",0.0,63.5
"[64, 65)",0.0,64.5
"[65, 66)",0.0,65.5
"[66, 67)",0.0,66.5
"[67, 68)",0.0,67.5
"[68, 69)",0.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",0.0,70.5
"[71, 72)",0.0,71.5
"[72, 73)",0.0,72.5
"[73, 74)",0.0,73.5
"[74, 75)",0.0,74.5
"[76, 77)",0.0,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.0,78.5
"[80, 81)",0.0,80.5
"[82, 83)",0.0,82.5
"[83, 84)",0.0,83.5
"[84, 85)",0.0,84.5
"[85, 86)",0.0,85.5
"[86, 87)",0.0,86.5
"[89, 90)",0.0,89.5
"[90, 91)",0.0,90.5
"[92, 93)",0.0,92.5
"[93, 94)",0.0,93.5
"[96, 97)",0.0,96.5
"[98, 99)",0.0,98.5
