time_bin,cwnd,time_bin_mid
"[6, 7)",3.0,6.5
"[7, 8)",19.5,7.5
"[8, 9)",54.90744680851063,8.5
"[22, 23)",5.0,22.5
"[23, 24)",29.0,23.5
"[24, 25)",61.86707317073168,24.5
"[25, 26)",55.448749999999905,25.5
"[26, 27)",33.0,26.5
"[33, 34)",18.0,33.5
"[34, 35)",35.0,34.5
"[43, 44)",24.0,43.5
"[44, 45)",64.13181818181808,44.5
"[45, 46)",69.02499999999972,45.5
"[48, 49)",29.5,48.5
"[54, 55)",5.0,54.5
"[55, 56)",37.90338983050848,55.5
"[56, 57)",5.0,56.5
"[57, 58)",47.818817204301055,57.5
"[58, 59)",66.25255102040794,58.5
"[59, 60)",49.67187499999974,59.5
"[60, 61)",36.0,60.5
"[61, 62)",59.79864864864863,61.5
"[62, 63)",19.5,62.5
"[63, 64)",54.647499999999994,63.5
"[64, 65)",34.51128313539342,64.5
"[65, 66)",1.0265605389988264,65.5
"[70, 71)",5.0,70.5
"[71, 72)",45.6734939759036,71.5
"[72, 73)",57.77297297297286,72.5
"[73, 74)",43.49562499999999,73.5
"[74, 75)",67.02499999999982,74.5
"[83, 84)",9.0,83.5
"[84, 85)",36.5,84.5
"[85, 86)",3.0,85.5
"[86, 87)",40.48,86.5
"[87, 88)",66.77499999999984,87.5
"[89, 90)",20.0,89.5
"[90, 91)",62.13749999999992,90.5
"[91, 92)",38.81486486486475,91.5
"[92, 93)",55.33799999999996,92.5
"[93, 94)",67.74999999999979,93.5
"[107, 108)",3.0,107.5
"[108, 109)",18.5,108.5
"[109, 110)",58.23051948051945,109.5
"[112, 113)",11.0,112.5
"[113, 114)",48.617213114754094,113.5
"[114, 115)",65.92499999999988,114.5
"[118, 119)",27.265625,118.5
"[119, 120)",54.307499999999926,119.5
"[120, 121)",58.76153846153842,120.5
"[125, 126)",20.5,125.5
"[126, 127)",44.5,126.5
"[133, 134)",15.5,133.5
"[134, 135)",52.21999999999999,134.5
"[135, 136)",64.99999999999994,135.5
"[140, 141)",13.5,140.5
"[141, 142)",49.245999999999995,141.5
"[142, 143)",65.7999999999999,142.5
"[143, 144)",67.29999999999981,143.5
"[151, 152)",4.769230769230769,151.5
"[152, 153)",31.273684210526316,152.5
"[153, 154)",60.42295918367342,153.5
"[154, 155)",58.09267329315798,154.5
"[155, 156)",67.94947507139044,155.5
"[156, 157)",40.24798191008019,156.5
"[157, 158)",1.4275577404130373,157.5
"[158, 159)",20.0,158.5
"[159, 160)",56.21951219512194,159.5
"[160, 161)",11.0,160.5
"[161, 162)",47.17678571428571,161.5
"[173, 174)",5.0,173.5
"[174, 175)",45.6734939759036,174.5
"[175, 176)",66.52499999999985,175.5
"[184, 185)",15.5,184.5
"[185, 186)",51.96428571428571,185.5
"[186, 187)",65.9749999999999,186.5
"[187, 188)",67.47499999999981,187.5
"[188, 189)",2.0,188.5
"[189, 190)",21.5,189.5
"[192, 193)",2.0,192.5
"[193, 194)",5.5,193.5
"[194, 195)",20.5,194.5
"[195, 196)",50.975,195.5
"[196, 197)",65.42499999999993,196.5
