time_bin,cwnd,time_bin_mid
"[0, 1)",44.392857142857125,0.5
"[6, 7)",1.0,6.5
"[7, 8)",1.0,7.5
"[8, 9)",1.0,8.5
"[9, 10)",1.0,9.5
"[10, 11)",32.257648569805596,10.5
"[11, 12)",26.191452316901056,11.5
"[12, 13)",2.3442255887082903,12.5
"[13, 14)",4.818181818181818,13.5
"[14, 15)",36.552898550724635,14.5
"[16, 17)",56.949512195121805,16.5
"[18, 19)",9.0,18.5
"[19, 20)",28.0,19.5
"[20, 21)",55.936125654450144,20.5
"[21, 22)",36.120000000000005,21.5
"[22, 23)",39.36455696202531,22.5
"[25, 26)",51.3591549295774,25.5
"[26, 27)",30.0,26.5
"[27, 28)",58.43749999999983,27.5
"[30, 31)",33.48515625,30.5
"[32, 33)",40.59638554216867,32.5
"[35, 36)",55.39157608695641,35.5
"[39, 40)",49.10321285140557,39.5
"[40, 41)",58.498034934497646,40.5
"[41, 42)",51.04417293233073,41.5
"[43, 44)",45.63509615384613,43.5
"[47, 48)",55.85999999999987,47.5
"[49, 50)",49.518409090908996,49.5
"[50, 51)",38.3625,50.5
"[52, 53)",56.52663316582901,52.5
"[60, 61)",50.37910447761189,60.5
"[61, 62)",52.88173076923069,61.5
"[63, 64)",1.0,63.5
"[64, 65)",34.84990494296577,64.5
"[65, 66)",48.7271707060084,65.5
"[66, 67)",33.812965340708544,66.5
"[68, 69)",42.509999999999984,68.5
"[69, 70)",42.25337078651684,69.5
"[75, 76)",1.0,75.5
"[76, 77)",16.829787234042552,76.5
"[77, 78)",51.39191324627112,77.5
"[81, 82)",40.29878048780487,81.5
"[82, 83)",1.0,82.5
"[84, 85)",1.0,84.5
"[85, 86)",13.108260812170792,85.5
"[86, 87)",25.803573420778985,86.5
"[87, 88)",54.211176470588136,87.5
"[89, 90)",54.211176470588136,89.5
"[91, 92)",51.00215827338124,91.5
"[92, 93)",54.69137931034472,92.5
"[94, 95)",18.5,94.5
"[95, 96)",42.25337078651684,95.5
"[99, 100)",29.0,99.5
"[103, 104)",32.0,103.5
"[104, 105)",46.39583333333331,104.5
"[105, 106)",57.28999999999985,105.5
"[108, 109)",19.5,108.5
"[109, 110)",55.745092838196165,109.5
"[113, 114)",1.0,113.5
"[114, 115)",1.0,114.5
"[115, 116)",1.0,115.5
"[116, 117)",1.0,116.5
"[117, 118)",1.0,117.5
"[118, 119)",30.797143330415068,118.5
"[119, 120)",36.677847544037675,119.5
"[120, 121)",57.68541666666651,120.5
"[121, 122)",36.518309859154925,121.5
"[123, 124)",57.42334905660363,123.5
"[125, 126)",57.28999999999985,125.5
"[126, 127)",44.82149999999998,126.5
"[127, 128)",9.0,127.5
"[128, 129)",30.0,128.5
"[129, 130)",13.015625,129.5
"[130, 131)",24.966666666666665,130.5
"[131, 132)",1.0374067534385814,131.5
"[132, 133)",28.716823953569104,132.5
"[134, 135)",31.0,134.5
"[139, 140)",23.5,139.5
"[141, 142)",57.35687203791454,141.5
"[143, 144)",47.2809734513274,143.5
"[144, 145)",54.69074074074064,144.5
"[145, 146)",6.0,145.5
"[146, 147)",25.0,146.5
"[147, 148)",51.59062499999993,147.5
"[150, 151)",25.5,150.5
"[151, 152)",53.94011976047894,151.5
"[154, 155)",54.0312499999999,154.5
"[155, 156)",40.88749999999999,155.5
"[157, 158)",56.95939024390229,157.5
"[161, 162)",45.235294117647044,161.5
"[164, 165)",52.343344709897515,164.5
"[165, 166)",51.3591549295774,165.5
"[169, 170)",39.36455696202531,169.5
"[171, 172)",39.156862745098024,171.5
"[174, 175)",50.628333333333224,174.5
"[178, 179)",55.14944751381204,178.5
"[179, 180)",39.36455696202531,179.5
"[180, 181)",47.44999999999997,180.5
"[181, 182)",45.82999999999998,181.5
"[183, 184)",30.5,183.5
"[185, 186)",41.99147727272726,185.5
"[192, 193)",1.0,192.5
"[193, 194)",48.39881889763775,193.5
"[194, 195)",1.0,194.5
"[195, 196)",1.0,195.5
"[196, 197)",1.0,196.5
"[197, 198)",1.0,197.5
"[198, 199)",41.99758364312265,198.5
"[199, 200)",1.0,199.5
