time_bin,rtt,time_bin_mid
"[6, 7)",0.1134533333333317,6.5
"[7, 8)",0.3156149999999921,7.5
"[8, 9)",0.420058723404253,8.5
"[22, 23)",0.12303714285714104,22.5
"[23, 24)",0.36529024390243037,23.5
"[24, 25)",0.8104390243902422,24.5
"[25, 26)",1.0337132500000634,25.5
"[26, 27)",0.17928061224490446,26.5
"[33, 34)",0.18182242424243292,33.5
"[34, 35)",0.1700299999999686,34.5
"[43, 44)",0.1516388888889264,43.5
"[44, 45)",0.47364232323237776,44.5
"[45, 46)",0.6624171052630773,45.5
"[48, 49)",0.1576019642857247,48.5
"[54, 55)",0.12303714285715424,54.5
"[55, 56)",0.2015991525423827,55.5
"[56, 57)",0.12303714285715424,56.5
"[57, 58)",0.282545913978559,57.5
"[58, 59)",0.6500841836734892,58.5
"[59, 60)",0.6204333333332975,59.5
"[60, 61)",0.7993785185186,60.5
"[61, 62)",0.9011867567567649,61.5
"[62, 63)",0.2603208823529742,62.5
"[63, 64)",0.6474898750000871,63.5
"[64, 65)",1.3251203333334576,64.5
"[65, 66)",1.8511380851066683,65.5
"[70, 71)",0.12303714285712074,70.5
"[71, 72)",0.2775902409637921,71.5
"[72, 73)",0.47909702702719414,72.5
"[73, 74)",0.2638391249999065,73.5
"[74, 75)",0.5890405263159277,74.5
"[83, 84)",0.17639999999996878,83.5
"[84, 85)",0.28500275000002484,84.5
"[85, 86)",0.11345333333331571,85.5
"[86, 87)",0.24604799999990898,86.5
"[87, 88)",0.622553937500119,87.5
"[89, 90)",0.18198135135129806,89.5
"[90, 91)",0.43994279999999236,90.5
"[91, 92)",0.396544594594726,91.5
"[92, 93)",0.3635632999999341,92.5
"[93, 94)",0.6457051351353761,93.5
"[107, 108)",0.21345333333331004,107.5
"[108, 109)",0.32629928571422695,108.5
"[109, 110)",0.4521429870130162,109.5
"[112, 113)",0.20562315789469884,112.5
"[113, 114)",0.4734944262294118,113.5
"[114, 115)",0.5106450000001601,114.5
"[118, 119)",0.21303546874993162,118.5
"[119, 120)",0.5874935000000356,119.5
"[120, 121)",0.3609915384615744,120.5
"[125, 126)",0.18204631578944716,125.5
"[126, 127)",0.22016500000008676,126.5
"[133, 134)",0.1685285714287486,133.5
"[134, 135)",0.5423588000002576,134.5
"[135, 136)",0.8373322222220262,135.5
"[140, 141)",0.16711750000014902,140.5
"[141, 142)",0.5029470000004806,141.5
"[142, 143)",1.007070000000029,142.5
"[143, 144)",1.302799545453948,143.5
"[151, 152)",0.1410884615384873,151.5
"[152, 153)",0.3296515789475342,152.5
"[153, 154)",0.7856709183675866,153.5
"[154, 155)",1.2578803809524697,154.5
"[155, 156)",1.4428102083331018,155.5
"[156, 157)",1.025842499999601,156.5
"[157, 158)",0.18023810810810525,157.5
"[158, 159)",0.14077108108120312,158.5
"[159, 160)",0.4007839024390647,159.5
"[160, 161)",0.19786789473684507,160.5
"[161, 162)",0.31147696428578747,161.5
"[173, 174)",0.12303714285717351,173.5
"[174, 175)",0.27772000000019686,174.5
"[175, 176)",0.5680963043475338,175.5
"[184, 185)",0.16489285714302326,184.5
"[185, 186)",0.5381885714290645,185.5
"[186, 187)",1.0328269999999606,186.5
"[187, 188)",1.2995069999992979,187.5
"[188, 189)",0.11009000000001379,188.5
"[189, 190)",0.23159644736843177,189.5
"[192, 193)",0.6649150000000645,192.5
"[193, 194)",0.3789033333333549,193.5
"[194, 195)",0.4670793750000956,194.5
"[195, 196)",0.745970000000204,195.5
"[196, 197)",0.9410412499997866,196.5
