time_bin,rtt,time_bin_mid
"[0, 1)",0.0852439795918359,0.5
"[8, 9)",0.04880435000000848,8.5
"[9, 10)",0.0844746956521871,9.5
"[13, 14)",0.04137851063830118,13.5
"[14, 15)",0.08214385416667302,14.5
"[16, 17)",0.04818910377351064,16.5
"[18, 19)",0.06164966101692348,18.5
"[25, 26)",0.06741524590158772,25.5
"[26, 27)",0.12110243902435032,26.5
"[27, 28)",0.08865307017541053,27.5
"[28, 29)",0.07277551181097117,28.5
"[29, 30)",0.05481074626859052,29.5
"[34, 35)",0.033119705882442556,34.5
"[35, 36)",0.04839459227494442,35.5
"[36, 37)",0.052552867924752326,36.5
"[38, 39)",0.07744880434804666,38.5
"[42, 43)",0.04745435779842566,42.5
"[46, 47)",0.04625302702726288,46.5
"[47, 48)",0.04128245509004252,47.5
"[48, 49)",0.05950763157923508,48.5
"[51, 52)",0.14399589147353103,51.5
"[52, 53)",0.05512288590628226,52.5
"[54, 55)",0.04800759825353942,54.5
"[55, 56)",0.06678045454562608,55.5
"[59, 60)",0.04219736842127805,59.5
"[61, 62)",0.035465806451721586,61.5
"[62, 63)",0.08900169811346278,62.5
"[66, 67)",0.054172238805796386,66.5
"[67, 68)",0.06222940740735289,67.5
"[69, 70)",0.0688526760562265,69.5
"[70, 71)",0.07173390243881797,70.5
"[73, 74)",0.06489428571432987,73.5
"[75, 76)",0.04780873684203328,75.5
"[77, 78)",0.12189166023131683,77.5
"[79, 80)",0.06878208053671496,79.5
"[80, 81)",0.037184772727293265,80.5
"[83, 84)",0.0632635593218621,83.5
"[88, 89)",0.26354732824355775,88.5
"[89, 90)",0.04815921951212478,89.5
"[93, 94)",0.04288885057464338,93.5
"[95, 96)",0.07712836956526357,95.5
"[97, 98)",0.07138989795917372,97.5
"[99, 100)",0.048107227722634364,99.5
"[104, 105)",0.0475359999999287,104.5
"[105, 106)",0.04712569999985974,105.5
"[106, 107)",0.05735455357127174,106.5
"[109, 110)",0.04748399082561,109.5
"[113, 114)",0.06267416666670655,113.5
"[114, 115)",0.0676622131145605,114.5
"[115, 116)",0.07308534090913406,115.5
"[116, 117)",0.04219736842099313,116.5
"[117, 118)",0.03676953488374712,117.5
"[119, 120)",1.631129999999871,119.5
"[120, 121)",0.03448892183278377,120.5
"[121, 122)",0.04841867521359701,121.5
"[126, 127)",0.04775004424770852,126.5
"[129, 130)",0.0627229914532573,129.5
"[131, 132)",0.06898421686753341,131.5
"[135, 136)",0.0744231060606607,135.5
"[136, 137)",0.04219736842218526,136.5
"[138, 139)",0.09827750000036187,138.5
"[142, 143)",0.06515276315793758,142.5
"[143, 144)",0.0518348648658433,143.5
"[145, 146)",0.07279602272733338,145.5
"[148, 149)",0.044587222223417045,148.5
"[151, 152)",0.06766221311501514,151.5
"[152, 153)",0.06900407894771264,152.5
"[155, 156)",0.06685231404985653,155.5
"[156, 157)",0.04750864486109663,156.5
"[157, 158)",0.04824215686402989,157.5
"[159, 160)",0.048794600001289296,159.5
"[161, 162)",0.045203186814394725,161.5
"[165, 166)",0.06753707692307714,165.5
"[167, 168)",0.05534227272743373,167.5
"[170, 171)",0.048053521740442674,170.5
"[171, 172)",0.03378538461542272,171.5
"[173, 174)",0.0441679591837153,173.5
"[175, 176)",0.11184619047705269,175.5
"[176, 177)",0.2723991696760077,176.5
"[178, 179)",0.041378510638341665,178.5
"[179, 180)",0.06316283333333103,179.5
"[180, 181)",0.048418675214993434,180.5
"[187, 188)",0.05564937304157284,187.5
"[190, 191)",0.04357539249229583,190.5
"[191, 192)",0.07020910447790184,191.5
"[194, 195)",0.0552804626343784,194.5
"[196, 197)",0.05876362831884559,196.5
