time_bin,throughput,time_bin_mid
"[1, 2)",73.5,1.5
"[9, 10)",150.0,9.5
"[10, 11)",129.0,10.5
"[14, 15)",35.0,14.5
"[15, 16)",71.5,15.5
"[17, 18)",159.0,17.5
"[19, 20)",44.0,19.5
"[23, 24)",0.0,23.5
"[25, 26)",0.0,25.5
"[26, 27)",66.5,26.5
"[27, 28)",62.625,27.5
"[28, 29)",42.5,28.5
"[29, 30)",95.0,29.5
"[30, 31)",125.25,30.5
"[34, 35)",0.0,34.5
"[35, 36)",25.5,35.5
"[36, 37)",174.5,36.5
"[37, 38)",132.33333333333334,37.5
"[39, 40)",69.0,39.5
"[43, 44)",163.0,43.5
"[47, 48)",138.5,47.5
"[48, 49)",125.0,48.5
"[49, 50)",85.5,49.5
"[52, 53)",96.25,52.5
"[53, 54)",111.5,53.5
"[55, 56)",114.33333333333333,55.5
"[56, 57)",99.0,56.5
"[58, 59)",0.0,58.5
"[60, 61)",128.0,60.5
"[62, 63)",125.0,62.5
"[63, 64)",0.0,63.5
"[67, 68)",167.66666666666666,67.5
"[68, 69)",0.0,68.5
"[70, 71)",106.33333333333333,70.5
"[71, 72)",122.5,71.5
"[74, 75)",52.0,74.5
"[76, 77)",142.0,76.5
"[78, 79)",96.75,78.5
"[80, 81)",111.5,80.5
"[81, 82)",32.5,81.5
"[84, 85)",88.0,84.5
"[86, 87)",0.0,86.5
"[87, 88)",0.0,87.5
"[88, 89)",182.0,88.5
"[89, 90)",192.8,89.5
"[90, 91)",153.5,90.5
"[94, 95)",130.5,94.5
"[96, 97)",68.5,96.5
"[98, 99)",73.16666666666667,98.5
"[100, 101)",75.5,100.5
"[105, 106)",161.0,105.5
"[106, 107)",75.0,106.5
"[107, 108)",83.5,107.5
"[110, 111)",163.5,110.5
"[113, 114)",0.0,113.5
"[114, 115)",44.5,114.5
"[115, 116)",183.0,115.5
"[116, 117)",44.0,116.5
"[117, 118)",85.33333333333333,117.5
"[118, 119)",52.2,118.5
"[119, 120)",0.0,119.5
"[120, 121)",162.66666666666666,120.5
"[121, 122)",35.5,121.5
"[122, 123)",175.0,122.5
"[127, 128)",169.5,127.5
"[130, 131)",87.5,130.5
"[132, 133)",62.0,132.5
"[133, 134)",0.0,133.5
"[134, 135)",0.0,134.5
"[135, 136)",0.0,135.5
"[136, 137)",96.0,136.5
"[137, 138)",85.33333333333333,137.5
"[138, 139)",237.0,138.5
"[139, 140)",187.0,139.5
"[143, 144)",57.0,143.5
"[144, 145)",110.75,144.5
"[146, 147)",65.5,146.5
"[147, 148)",0.0,147.5
"[148, 149)",0.0,148.5
"[149, 150)",270.0,149.5
"[151, 152)",0.0,151.5
"[152, 153)",183.0,152.5
"[153, 154)",114.0,153.5
"[156, 157)",90.5,156.5
"[157, 158)",320.0,157.5
"[158, 159)",152.5,158.5
"[160, 161)",149.5,160.5
"[162, 163)",136.5,162.5
"[166, 167)",48.5,166.5
"[168, 169)",52.6,168.5
"[169, 170)",0.0,169.5
"[171, 172)",345.0,171.5
"[172, 173)",58.0,172.5
"[174, 175)",24.333333333333332,174.5
"[175, 176)",0.0,175.5
"[176, 177)",236.25,176.5
"[179, 180)",35.0,179.5
"[180, 181)",45.0,180.5
"[181, 182)",175.0,181.5
"[185, 186)",0.0,185.5
"[187, 188)",0.0,187.5
"[188, 189)",239.0,188.5
"[189, 190)",0.0,189.5
"[190, 191)",96.0,190.5
"[191, 192)",114.33333333333333,191.5
"[192, 193)",100.0,192.5
"[193, 194)",0.0,193.5
"[195, 196)",105.0,195.5
"[197, 198)",169.0,197.5
