time_bin,cwnd,time_bin_mid
"[1, 2)",22.5,1.5
"[4, 5)",46.88658800638536,4.5
"[6, 7)",42.31097363525136,6.5
"[8, 9)",47.183060277655436,8.5
"[10, 11)",27.0,10.5
"[13, 14)",55.59730743324639,13.5
"[15, 16)",55.494521963922004,15.5
"[17, 18)",18.5,17.5
"[23, 24)",1.0,23.5
"[24, 25)",1.0,24.5
"[25, 26)",1.0,25.5
"[26, 27)",55.330168241562006,26.5
"[27, 28)",1.0,27.5
"[28, 29)",53.27840019542261,28.5
"[29, 30)",1.75,29.5
"[30, 31)",46.81999375447719,30.5
"[31, 32)",56.268031780395226,31.5
"[36, 37)",35.698145935042966,36.5
"[38, 39)",49.45516028238419,38.5
"[42, 43)",47.781128987265596,42.5
"[43, 44)",47.03610636702547,43.5
"[44, 45)",27.5,44.5
"[45, 46)",37.60950157580072,45.5
"[46, 47)",53.91629584580375,46.5
"[47, 48)",54.03757986970172,47.5
"[50, 51)",41.812587651841326,50.5
"[52, 53)",52.85153036424641,52.5
"[56, 57)",50.661044340825676,56.5
"[57, 58)",44.48098115906043,57.5
"[58, 59)",38.61674910639897,58.5
"[64, 65)",43.23164692442584,64.5
"[65, 66)",18.5,65.5
"[67, 68)",55.484478827991445,67.5
"[68, 69)",54.60466308537222,68.5
"[74, 75)",47.03610636702547,74.5
"[77, 78)",46.27182734919752,77.5
"[78, 79)",42.77912535547376,78.5
"[83, 84)",55.71854836116374,83.5
"[84, 85)",37.961624854563055,84.5
"[85, 86)",53.589288579260696,85.5
"[88, 89)",32.0,88.5
"[89, 90)",51.310498463984956,89.5
"[95, 96)",52.78053382221005,95.5
"[96, 97)",55.66252163838507,96.5
"[97, 98)",55.6766632064112,97.5
"[98, 99)",55.14708723035403,98.5
"[99, 100)",43.23164692442584,99.5
"[100, 101)",27.5,100.5
"[106, 107)",49.47729867573141,106.5
"[108, 109)",55.414507406845296,108.5
"[110, 111)",52.29281298016548,110.5
"[112, 113)",53.9071149337981,112.5
"[115, 116)",44.970140594429026,115.5
"[118, 119)",51.36062235330831,118.5
"[119, 120)",50.660570175839545,119.5
"[122, 123)",23.0,122.5
"[123, 124)",38.98391823612327,123.5
"[129, 130)",47.4695355391232,129.5
"[130, 131)",29.5,130.5
"[133, 134)",54.1234786950493,133.5
"[134, 135)",44.48098115906043,134.5
"[135, 136)",54.46702006943359,135.5
"[137, 138)",23.5,137.5
"[142, 143)",42.062340741256534,142.5
"[145, 146)",52.15651529303311,145.5
"[148, 149)",33.95400677895315,148.5
"[149, 150)",33.0,149.5
"[150, 151)",54.86941227359125,150.5
"[151, 152)",51.414345820517696,151.5
"[153, 154)",30.5,153.5
"[155, 156)",54.36348855920231,155.5
"[157, 158)",51.19396841336459,157.5
"[163, 164)",35.69630883093246,163.5
"[164, 165)",56.068358817932726,164.5
"[166, 167)",47.184937188660726,166.5
"[168, 169)",51.8649895136144,168.5
"[169, 170)",28.0,169.5
"[170, 171)",1.0,170.5
"[171, 172)",7.0588235294117645,171.5
"[172, 173)",47.83993974310443,172.5
"[173, 174)",47.9807122449753,173.5
"[177, 178)",44.08147043675205,177.5
"[178, 179)",51.691816190052315,178.5
"[180, 181)",29.5,180.5
"[182, 183)",50.98787666906851,182.5
"[185, 186)",53.0930057403924,185.5
"[186, 187)",33.0,186.5
"[187, 188)",49.15378785959495,187.5
"[188, 189)",55.84206461677122,188.5
"[192, 193)",1.0,192.5
"[193, 194)",42.86956517606265,193.5
"[194, 195)",1.0,194.5
"[195, 196)",36.82770555957727,195.5
"[197, 198)",41.56665240009221,197.5
