time_bin,retransmissions,time_bin_mid
"[9, 10)",0.0,9.5
"[10, 11)",0.0,10.5
"[11, 12)",0.0,11.5
"[12, 13)",0.0,12.5
"[13, 14)",0.0,13.5
"[14, 15)",0.0,14.5
"[16, 17)",11.472222222222221,16.5
"[17, 18)",4.186046511627907,17.5
"[29, 30)",0.0,29.5
"[30, 31)",0.0,30.5
"[31, 32)",0.0,31.5
"[32, 33)",0.0,32.5
"[33, 34)",0.0,33.5
"[34, 35)",0.0,34.5
"[35, 36)",0.0,35.5
"[36, 37)",0.0,36.5
"[37, 38)",13.208955223880597,37.5
"[50, 51)",0.0,50.5
"[51, 52)",0.0,51.5
"[52, 53)",0.0,52.5
"[53, 54)",0.0,53.5
"[60, 61)",0.0,60.5
"[80, 81)",0.0,80.5
"[82, 83)",0.0,82.5
"[83, 84)",0.0,83.5
"[84, 85)",0.0,84.5
"[85, 86)",0.0,85.5
"[103, 104)",0.0,103.5
"[104, 105)",0.0,104.5
"[105, 106)",0.0,105.5
"[106, 107)",0.0,106.5
"[107, 108)",0.0,107.5
"[138, 139)",0.0,138.5
"[139, 140)",0.0,139.5
"[140, 141)",0.0,140.5
"[141, 142)",0.0,141.5
"[142, 143)",0.0,142.5
"[143, 144)",0.0,143.5
"[144, 145)",0.0,144.5
"[145, 146)",0.0,145.5
"[146, 147)",0.0,146.5
"[147, 148)",0.0,147.5
"[148, 149)",0.0,148.5
"[149, 150)",0.0,149.5
"[150, 151)",0.0,150.5
"[151, 152)",0.0,151.5
"[152, 153)",15.823899371069182,152.5
"[153, 154)",12.634222919937205,153.5
"[154, 155)",8.0,154.5
"[155, 156)",4.68,155.5
"[157, 158)",0.0,157.5
"[158, 159)",0.0,158.5
"[159, 160)",0.0,159.5
"[160, 161)",0.0,160.5
"[178, 179)",0.0,178.5
"[179, 180)",0.0,179.5
"[180, 181)",0.0,180.5
"[181, 182)",0.0,181.5
"[182, 183)",0.0,182.5
"[183, 184)",0.0,183.5
"[184, 185)",6.473684210526316,184.5
"[185, 186)",15.5,185.5
"[186, 187)",11.688888888888888,186.5
"[187, 188)",11.630434782608695,187.5
"[188, 189)",1.6666666666666667,188.5
"[189, 190)",28.033029612756263,189.5
"[196, 197)",0.0,196.5
