time_bin,rtt,time_bin_mid
"[2, 3)",0.14155833333333442,2.5
"[3, 4)",0.31444943820225246,3.5
"[4, 5)",0.7512493939393836,4.5
"[5, 6)",0.1984138596491119,5.5
"[6, 7)",0.45605585714283925,6.5
"[12, 13)",0.18312064516129975,12.5
"[13, 14)",0.5557672000000288,13.5
"[14, 15)",1.1527590000000485,14.5
"[15, 16)",1.6487567500000773,15.5
"[20, 21)",0.16044478260869194,20.5
"[21, 22)",0.3135905882353132,21.5
"[26, 27)",0.12303714285714104,26.5
"[27, 28)",0.334034999999989,27.5
"[28, 29)",0.8218771428571359,28.5
"[29, 30)",1.2255737719299005,29.5
"[30, 31)",0.32780201612904497,30.5
"[40, 41)",0.13360030303033218,40.5
"[41, 42)",0.3046728947368474,41.5
"[42, 43)",0.3267614285715061,42.5
"[43, 44)",0.6856524999999463,43.5
"[56, 57)",0.17712241379314878,56.5
"[57, 58)",0.5489401075268862,57.5
"[58, 59)",0.15936645161291235,58.5
"[75, 76)",0.12016499999997876,75.5
"[76, 77)",0.2687935955055689,76.5
"[77, 78)",0.2986748529412232,77.5
"[78, 79)",0.34318673469394645,78.5
"[79, 80)",0.19068999999998937,79.5
"[80, 81)",0.39774999999999494,80.5
"[81, 82)",0.35449999999990384,81.5
"[82, 83)",0.5787667415731452,82.5
"[83, 84)",0.41494948275865084,83.5
"[84, 85)",0.3270528124999408,84.5
"[85, 86)",0.7010504081631207,85.5
"[86, 87)",0.9982452380953897,86.5
"[87, 88)",0.27280285714281305,87.5
"[88, 89)",0.47853292929296226,88.5
"[89, 90)",0.7001300000003567,89.5
"[91, 92)",0.09755857142855413,91.5
"[92, 93)",0.3573458333332798,92.5
"[93, 94)",0.8798942857141693,93.5
"[94, 95)",1.1550578846154311,94.5
"[95, 96)",0.6405481645571001,95.5
"[104, 105)",0.1990309722221788,104.5
"[105, 106)",0.589480681818237,105.5
"[121, 122)",0.12346166666665208,121.5
"[122, 123)",0.18683133333333898,122.5
"[123, 124)",0.21544457627118668,123.5
"[126, 127)",0.132682272727243,126.5
"[127, 128)",0.4708481632652256,127.5
"[128, 129)",0.9570508510636443,128.5
"[129, 130)",0.13181483870976576,129.5
"[130, 131)",0.22278999999992152,130.5
"[136, 137)",0.09660363636367916,136.5
"[137, 138)",0.1449731818181831,137.5
"[142, 143)",0.3179478571429115,142.5
"[143, 144)",0.32665727272759104,143.5
"[144, 145)",0.7515924000005874,144.5
"[145, 146)",1.232526730768914,145.5
"[146, 147)",1.5169736363624267,146.5
"[148, 149)",0.20408569767453583,148.5
"[149, 150)",0.6161248333334446,149.5
"[150, 151)",1.0427799999995648,150.5
"[173, 174)",0.18386073170743397,173.5
"[174, 175)",0.46041671717193994,174.5
"[175, 176)",0.7326871666664427,175.5
"[183, 184)",0.07057000000008884,183.5
"[184, 185)",0.27910407407430665,184.5
"[185, 186)",0.5720639999998492,185.5
"[198, 199)",0.1494887500000317,198.5
"[199, 200)",0.26965643678185763,199.5
