time_bin,cwnd,time_bin_mid
"[12, 13)",5.0,12.5
"[13, 14)",45.74202238567971,13.5
"[18, 19)",20.5,18.5
"[22, 23)",18.0,22.5
"[23, 24)",56.329879793770324,23.5
"[24, 25)",51.0506017933565,24.5
"[25, 26)",32.5,25.5
"[31, 32)",24.0,31.5
"[32, 33)",60.05989985076266,32.5
"[34, 35)",2.0,34.5
"[35, 36)",34.90913438073426,35.5
"[36, 37)",64.1404689808025,36.5
"[37, 38)",23.0,37.5
"[38, 39)",62.57642419979242,38.5
"[39, 40)",65.77180388731189,39.5
"[48, 49)",20.660714285714285,48.5
"[49, 50)",52.811763562736814,49.5
"[50, 51)",60.72273762406918,50.5
"[51, 52)",29.5,51.5
"[52, 53)",63.875173097593766,52.5
"[53, 54)",65.0768099698759,53.5
"[54, 55)",21.0,54.5
"[55, 56)",61.51276707457317,55.5
"[58, 59)",17.0,58.5
"[59, 60)",58.27271340672328,59.5
"[64, 65)",17.0,64.5
"[65, 66)",58.085684626687375,65.5
"[66, 67)",47.024001298171434,66.5
"[67, 68)",50.32301623148254,67.5
"[68, 69)",59.062064623523916,68.5
"[69, 70)",16.285714285714285,69.5
"[70, 71)",44.92145279408591,70.5
"[71, 72)",64.5674752308845,71.5
"[72, 73)",3.0,72.5
"[73, 74)",6.5,73.5
"[74, 75)",21.5,74.5
"[75, 76)",53.62268238341242,75.5
"[76, 77)",57.716100888387174,76.5
"[77, 78)",61.25146239476181,77.5
"[78, 79)",64.83704164657823,78.5
"[79, 80)",52.30127851163055,79.5
"[80, 81)",19.5,80.5
"[81, 82)",48.74759517631519,81.5
"[82, 83)",64.75997506740283,82.5
"[83, 84)",62.03446616805286,83.5
"[84, 85)",9.5,84.5
"[85, 86)",48.167452115908894,85.5
"[86, 87)",65.15246990836589,86.5
"[87, 88)",66.01533247191627,87.5
"[89, 90)",16.5,89.5
"[90, 91)",53.69937627923313,90.5
"[91, 92)",64.67581233900547,91.5
"[92, 93)",51.74624373831423,92.5
"[93, 94)",51.440665109373484,93.5
"[94, 95)",64.87688145828655,94.5
"[105, 106)",2.0,105.5
"[106, 107)",5.5,106.5
"[107, 108)",30.0,107.5
"[108, 109)",61.97747412007522,108.5
"[109, 110)",48.130090925592825,109.5
"[110, 111)",49.02194309111998,110.5
"[111, 112)",59.96016587684996,111.5
"[112, 113)",65.49542470548607,112.5
"[114, 115)",2.5,114.5
"[115, 116)",29.06578947368421,115.5
"[116, 117)",58.09006627878405,116.5
"[117, 118)",58.88444494688252,117.5
"[118, 119)",64.34399879249672,118.5
"[119, 120)",63.787020301647885,119.5
"[120, 121)",6.5,120.5
"[121, 122)",13.2,121.5
"[122, 123)",34.3875,122.5
"[123, 124)",21.37829019980875,123.5
"[124, 125)",10.743646233966919,124.5
"[125, 126)",12.198164665004638,125.5
"[126, 127)",14.39247507719851,126.5
"[127, 128)",16.821603189820646,127.5
"[128, 129)",18.14364814693481,128.5
"[129, 130)",19.647497932632934,129.5
"[130, 131)",15.562845332084928,130.5
"[131, 132)",21.736842105263158,131.5
"[132, 133)",34.03076923076923,132.5
"[133, 134)",38.48698865252086,133.5
"[134, 135)",28.622342298430144,134.5
"[135, 136)",33.82521694580328,135.5
"[136, 137)",7.94130176842414,136.5
"[137, 138)",6.042185099632407,137.5
"[144, 145)",2.1,144.5
"[145, 146)",5.1864066368683135,145.5
"[146, 147)",7.817543300806805,146.5
"[147, 148)",9.247625318383232,147.5
"[148, 149)",12.210024908438813,148.5
"[149, 150)",15.795974455280996,149.5
"[150, 151)",17.890486482660716,150.5
"[151, 152)",14.568227435562433,151.5
"[152, 153)",37.15213092590502,152.5
"[153, 154)",52.85857762238203,153.5
"[154, 155)",64.74208960597302,154.5
"[155, 156)",55.82359509155227,155.5
"[156, 157)",27.5,156.5
"[157, 158)",60.9343775094213,157.5
"[158, 159)",63.93954301594898,158.5
"[159, 160)",31.510030975467426,159.5
"[160, 161)",59.841884095208556,160.5
"[161, 162)",60.14064626407221,161.5
"[162, 163)",39.41278831234879,162.5
"[163, 164)",56.378582898706036,163.5
"[164, 165)",64.89963405782898,164.5
"[165, 166)",65.67326328141702,165.5
"[168, 169)",5.0,168.5
"[169, 170)",35.28359375,169.5
"[170, 171)",61.049547044554174,170.5
"[171, 172)",65.35273243631521,171.5
"[172, 173)",24.536527740471133,172.5
"[173, 174)",7.925199524731394,173.5
"[174, 175)",10.985032636073532,174.5
"[175, 176)",10.377162359101808,175.5
"[176, 177)",10.867041028357347,176.5
"[177, 178)",11.185467249323555,177.5
"[178, 179)",29.80658979092092,178.5
"[179, 180)",33.700010595147354,179.5
"[180, 181)",16.426902534903775,180.5
"[181, 182)",14.813054866408018,181.5
"[182, 183)",17.02843865578941,182.5
"[183, 184)",18.604384288135943,183.5
"[184, 185)",12.693401927766004,184.5
"[185, 186)",9.5,185.5
"[186, 187)",25.529411764705884,186.5
"[187, 188)",37.357142857142854,187.5
"[188, 189)",35.683258383742604,188.5
"[189, 190)",43.92095157790281,189.5
"[190, 191)",24.728586531295548,190.5
"[191, 192)",14.78641472890791,191.5
"[192, 193)",19.518825412108963,192.5
"[193, 194)",39.71617600233964,193.5
"[194, 195)",38.61463967271804,194.5
"[195, 196)",31.2198412023912,195.5
"[196, 197)",50.79212669489095,196.5
"[197, 198)",50.84630192567239,197.5
"[198, 199)",54.089684715473105,198.5
"[199, 200)",63.23476823563919,199.5
