time_bin,cwnd,time_bin_mid
"[0, 1)",44.171598804785475,0.5
"[1, 2)",55.84896441810221,1.5
"[2, 3)",1.0,2.5
"[3, 4)",35.43207832110634,3.5
"[4, 5)",56.36057502112493,4.5
"[7, 8)",50.592014054784855,7.5
"[8, 9)",39.61734401849552,8.5
"[10, 11)",54.006662958214015,10.5
"[14, 15)",55.29156681067195,14.5
"[15, 16)",52.88827919666286,15.5
"[18, 19)",40.219078241203434,18.5
"[19, 20)",22.5,19.5
"[20, 21)",2.5,20.5
"[21, 22)",23.5,21.5
"[26, 27)",36.588757198101995,26.5
"[27, 28)",42.11767717360829,27.5
"[30, 31)",54.73864187008834,30.5
"[31, 32)",55.897262663622044,31.5
"[33, 34)",50.87237798673143,33.5
"[40, 41)",56.405041994446215,40.5
"[41, 42)",33.0,41.5
"[42, 43)",64.65230455152306,42.5
"[43, 44)",55.054900434387115,43.5
"[45, 46)",43.74732220771853,45.5
"[49, 50)",24.5,49.5
"[51, 52)",38.32132223127075,51.5
"[53, 54)",47.65218470223565,53.5
"[55, 56)",49.126870417302015,55.5
"[56, 57)",51.73983736156888,56.5
"[58, 59)",1.0,58.5
"[59, 60)",1.0,59.5
"[60, 61)",1.0,60.5
"[61, 62)",1.0,61.5
"[62, 63)",1.0,62.5
"[63, 64)",1.0,63.5
"[64, 65)",1.0,64.5
"[65, 66)",1.0,65.5
"[66, 67)",1.0,66.5
"[67, 68)",1.0,67.5
"[68, 69)",1.0,68.5
"[69, 70)",1.0,69.5
"[70, 71)",1.0,70.5
"[71, 72)",1.0,71.5
"[72, 73)",49.53375747628328,72.5
"[73, 74)",1.0,73.5
"[74, 75)",9.105136327833932,74.5
"[75, 76)",32.2928263249322,75.5
"[76, 77)",18.80028898535056,76.5
"[77, 78)",1.0,77.5
"[78, 79)",1.0,78.5
"[79, 80)",53.016027188993654,79.5
"[80, 81)",1.0,80.5
"[81, 82)",1.1111111111111112,81.5
"[82, 83)",13.080197284566154,82.5
"[83, 84)",34.112850564179446,83.5
"[84, 85)",1.0,84.5
"[85, 86)",1.0,85.5
"[86, 87)",54.39845904485594,86.5
"[87, 88)",1.0,87.5
"[88, 89)",37.02526682454414,88.5
"[89, 90)",2.1818181818181817,89.5
"[90, 91)",21.02954141391276,90.5
"[91, 92)",41.38345321682161,91.5
"[92, 93)",19.389633509437896,92.5
"[93, 94)",36.04766945558511,93.5
"[94, 95)",38.98554960713584,94.5
"[95, 96)",49.459179586325874,95.5
"[96, 97)",50.99390851004427,96.5
"[97, 98)",55.5023070722816,97.5
"[100, 101)",40.219078241203434,100.5
"[102, 103)",1.0,102.5
"[103, 104)",1.0,103.5
"[104, 105)",1.0,104.5
"[105, 106)",30.858006029618227,105.5
"[106, 107)",13.661871486859331,106.5
"[109, 110)",54.90955613195496,109.5
"[111, 112)",54.38277358392796,111.5
"[113, 114)",53.470123261038516,113.5
"[119, 120)",1.0,119.5
"[120, 121)",1.0,120.5
"[121, 122)",1.0,121.5
"[122, 123)",49.00524170650332,122.5
"[123, 124)",47.385580557964104,123.5
"[124, 125)",43.755553679478346,124.5
"[125, 126)",1.0,125.5
"[126, 127)",1.0,126.5
"[127, 128)",1.0,127.5
"[128, 129)",1.0,128.5
"[129, 130)",31.13066123188406,129.5
"[130, 131)",1.0,130.5
"[131, 132)",1.0,131.5
"[132, 133)",1.0,132.5
"[133, 134)",1.0,133.5
"[134, 135)",1.0,134.5
"[135, 136)",45.075947955177725,135.5
"[136, 137)",49.64010804056767,136.5
"[137, 138)",49.43846392098438,137.5
"[138, 139)",1.0,138.5
"[139, 140)",1.0,139.5
"[140, 141)",1.0,140.5
"[141, 142)",1.0,141.5
"[142, 143)",1.0,142.5
"[143, 144)",1.0,143.5
"[144, 145)",1.0,144.5
"[145, 146)",1.0,145.5
"[146, 147)",1.0,146.5
"[147, 148)",30.891759418367716,147.5
"[148, 149)",16.76923076923077,148.5
"[149, 150)",1.0,149.5
"[150, 151)",1.0,150.5
"[151, 152)",9.170103092783505,151.5
"[152, 153)",22.337657165078728,152.5
"[153, 154)",19.17217178163421,153.5
"[154, 155)",18.033960820084115,154.5
"[155, 156)",17.84364785832226,155.5
"[157, 158)",43.95537255579615,157.5
"[158, 159)",64.69672277045414,158.5
