time_bin,goodput,time_bin_mid
"[2, 3)",103.5,2.5
"[3, 4)",48.5,3.5
"[6, 7)",73.5,6.5
"[7, 8)",133.5,7.5
"[8, 9)",67.0,8.5
"[9, 10)",60.0,9.5
"[10, 11)",150.0,10.5
"[11, 12)",104.0,11.5
"[21, 22)",63.0,21.5
"[23, 24)",0.0,23.5
"[25, 26)",0.0,25.5
"[26, 27)",0.0,26.5
"[30, 31)",73.5,30.5
"[31, 32)",22.5,31.5
"[34, 35)",0.0,34.5
"[35, 36)",0.0,35.5
"[42, 43)",66.0,42.5
"[43, 44)",150.0,43.5
"[44, 45)",40.0,44.5
"[47, 48)",73.5,47.5
"[48, 49)",48.75,48.5
"[51, 52)",0.0,51.5
"[52, 53)",46.5,52.5
"[53, 54)",60.0,53.5
"[54, 55)",47.75,54.5
"[56, 57)",36.0,56.5
"[57, 58)",150.0,57.5
"[58, 59)",144.0,58.5
"[59, 60)",9.0,59.5
"[66, 67)",0.0,66.5
"[69, 70)",0.0,69.5
"[70, 71)",10.5,70.5
"[71, 72)",15.0,71.5
"[72, 73)",45.0,72.5
"[73, 74)",79.5,73.5
"[74, 75)",136.5,74.5
"[75, 76)",5.5,75.5
"[77, 78)",1.5,77.5
"[78, 79)",1.5,78.5
"[79, 80)",14.25,79.5
"[80, 81)",58.5,80.5
"[81, 82)",50.25,81.5
"[82, 83)",34.75,82.5
"[83, 84)",10.5,83.5
"[84, 85)",51.0,84.5
"[85, 86)",86.5,85.5
"[86, 87)",1.5,86.5
"[87, 88)",21.0,87.5
"[88, 89)",56.0,88.5
"[89, 90)",42.166666666666664,89.5
"[90, 91)",66.0,90.5
"[91, 92)",73.5,91.5
"[92, 93)",70.0,92.5
"[95, 96)",103.5,95.5
"[96, 97)",85.5,96.5
"[97, 98)",103.5,97.5
"[98, 99)",80.5,98.5
"[99, 100)",103.5,99.5
"[100, 101)",92.0,100.5
"[101, 102)",150.0,101.5
"[102, 103)",17.0,102.5
"[103, 104)",138.0,103.5
"[104, 105)",22.0,104.5
"[105, 106)",90.5,105.5
"[108, 109)",0.0,108.5
"[113, 114)",0.0,113.5
"[115, 116)",0.0,115.5
"[116, 117)",0.75,116.5
"[117, 118)",3.0,117.5
"[118, 119)",6.5,118.5
"[119, 120)",35.25,119.5
"[120, 121)",46.0,120.5
"[121, 122)",25.0,121.5
"[122, 123)",108.0,122.5
"[123, 124)",97.5,123.5
"[124, 125)",44.5,124.5
"[125, 126)",118.5,125.5
"[126, 127)",32.833333333333336,126.5
"[127, 128)",30.0,127.5
"[128, 129)",37.5,128.5
"[129, 130)",52.5,129.5
"[130, 131)",51.0,130.5
"[131, 132)",23.875,131.5
"[132, 133)",58.5,132.5
"[133, 134)",30.75,133.5
"[134, 135)",56.25,134.5
"[135, 136)",35.0,135.5
"[136, 137)",1.5,136.5
"[137, 138)",43.5,137.5
"[138, 139)",1.5,138.5
"[139, 140)",40.5,139.5
"[140, 141)",69.0,140.5
"[141, 142)",126.0,141.5
"[142, 143)",50.0,142.5
"[143, 144)",54.0,143.5
"[144, 145)",64.5,144.5
"[146, 147)",52.5,146.5
"[147, 148)",66.0,147.5
"[148, 149)",135.0,148.5
"[149, 150)",28.5,149.5
"[154, 155)",4.5,154.5
"[155, 156)",54.0,155.5
"[156, 157)",105.0,156.5
"[157, 158)",40.25,157.5
"[160, 161)",0.0,160.5
"[162, 163)",0.0,162.5
"[164, 165)",0.75,164.5
"[165, 166)",79.5,165.5
"[166, 167)",103.5,166.5
"[167, 168)",90.0,167.5
"[168, 169)",21.5,168.5
"[169, 170)",0.0,169.5
"[173, 174)",0.0,173.5
"[178, 179)",5.25,178.5
"[179, 180)",37.5,179.5
"[180, 181)",18.0,180.5
"[181, 182)",24.9,181.5
"[182, 183)",44.0,182.5
"[183, 184)",51.0,183.5
"[184, 185)",45.0,184.5
"[185, 186)",14.75,185.5
"[186, 187)",28.5,186.5
"[187, 188)",11.25,187.5
"[188, 189)",8.25,188.5
"[189, 190)",2.5,189.5
"[190, 191)",37.5,190.5
"[191, 192)",16.5,191.5
"[192, 193)",6.75,192.5
"[193, 194)",15.0,193.5
"[194, 195)",16.5,194.5
"[195, 196)",18.0,195.5
"[196, 197)",7.125,196.5
"[197, 198)",22.5,197.5
"[198, 199)",23.25,198.5
"[199, 200)",12.5,199.5
