time_bin,rtt,time_bin_mid
"[0, 1)",0.0852439795918359,0.5
"[8, 9)",0.04722190000000868,8.5
"[9, 10)",0.08445400000001316,9.5
"[13, 14)",0.04137851063830118,13.5
"[14, 15)",0.08214385416667302,14.5
"[16, 17)",0.07698216216204455,16.5
"[18, 19)",0.06164966101692348,18.5
"[25, 26)",0.06741524590158772,25.5
"[26, 27)",0.129453695652127,26.5
"[27, 28)",0.14648855769225594,27.5
"[28, 29)",0.07277551181097117,28.5
"[29, 30)",0.06741524590158772,29.5
"[34, 35)",0.033119705882442556,34.5
"[35, 36)",0.04687254196667796,35.5
"[36, 37)",0.05252490566060015,36.5
"[39, 40)",0.03748568181829093,39.5
"[44, 45)",0.041873941176697536,44.5
"[45, 46)",0.04689840707990723,45.5
"[49, 50)",0.04493944751404392,49.5
"[56, 57)",0.13339905454598422,56.5
"[57, 58)",0.11120227106285552,57.5
"[61, 62)",0.12352097112923986,61.5
"[62, 63)",0.14647334883796811,62.5
"[63, 64)",0.07119771604975075,63.5
"[64, 65)",0.06840344827590544,64.5
"[66, 67)",0.06874950704205103,66.5
"[68, 69)",0.06958158730159227,68.5
"[69, 70)",0.06925380952395699,69.5
"[71, 72)",0.05518036723151771,71.5
"[79, 80)",0.037184772727293265,79.5
"[80, 81)",0.07162484662555872,80.5
"[81, 82)",0.06898197478979212,81.5
"[82, 83)",0.06567955882357127,82.5
"[83, 84)",0.0692053246751255,83.5
"[87, 88)",0.16220655555531893,87.5
"[88, 89)",0.07029546228704434,88.5
"[89, 90)",0.04669973214278152,89.5
"[90, 91)",0.06979975806431706,90.5
"[92, 93)",0.04725732394356396,92.5
"[93, 94)",0.046738482142779425,93.5
"[94, 95)",0.06997942675138956,94.5
"[98, 99)",0.0720847286819718,98.5
"[99, 100)",0.05876362831841763,99.5
"[100, 101)",0.05569790909074638,100.5
"[106, 107)",0.02928999999985251,106.5
"[107, 108)",0.2009856228950735,107.5
"[111, 112)",0.03676953488374712,111.5
"[113, 114)",0.08776050000005413,113.5
"[117, 118)",0.07051312499979696,117.5
"[123, 124)",0.06672969696974548,123.5
"[126, 127)",0.06272299145281457,126.5
"[127, 128)",0.0696719117645085,127.5
"[132, 133)",0.07024022388088937,132.5
"[133, 134)",0.032983142857166775,133.5
"[138, 139)",0.5274754489854324,138.5
"[139, 140)",0.1376040796847991,139.5
"[140, 141)",0.0927372289160524,140.5
"[142, 143)",0.04402892655484765,142.5
"[145, 146)",0.04318171428687021,145.5
"[147, 148)",0.04758455026579227,147.5
"[149, 150)",0.046341775702193055,149.5
"[150, 151)",0.04690817734115913,150.5
"[151, 152)",0.0548569905963981,151.5
"[152, 153)",0.046385107528104826,152.5
"[156, 157)",0.04135529762016331,156.5
"[157, 158)",0.07955617021282414,157.5
"[159, 160)",0.03378538461542272,159.5
"[161, 162)",0.04810722772301778,161.5
"[162, 163)",0.06031014814838403,162.5
"[163, 164)",0.04286130434784033,163.5
"[170, 171)",0.05876362831884559,170.5
"[178, 179)",0.31592666038189143,178.5
"[179, 180)",0.3876740038064509,179.5
"[180, 181)",0.21732428382560842,180.5
"[181, 182)",0.11551822868169458,181.5
"[182, 183)",0.04096632411131042,182.5
"[196, 197)",16.684560000000573,196.5
"[197, 198)",0.7563775000002013,197.5
"[198, 199)",0.34588071684613936,198.5
"[199, 200)",0.2763452797203979,199.5
