time_bin,rtt,time_bin_mid
"[0, 1)",0.13358666666666652,0.5
"[1, 2)",0.19484680555555461,1.5
"[2, 3)",0.3131888607595112,2.5
"[3, 4)",0.21415420329671703,3.5
"[4, 5)",0.25095811594200523,4.5
"[5, 6)",0.7235353703703432,5.5
"[6, 7)",0.27364272727272565,6.5
"[7, 8)",0.17239684684683326,7.5
"[8, 9)",0.22581587155963828,8.5
"[9, 10)",0.10555315789473792,9.5
"[10, 11)",0.10555315789473792,10.5
"[11, 12)",0.10029157894736955,11.5
"[12, 13)",0.10036600000000134,12.5
"[13, 14)",0.10453791666666801,13.5
"[14, 15)",0.10038547169811449,14.5
"[15, 16)",0.10063621621621895,15.5
"[16, 17)",0.16847303571422967,16.5
"[17, 18)",0.2471961904761354,17.5
"[18, 19)",0.16777247191008318,18.5
"[19, 20)",2.029343977272842,19.5
"[20, 21)",0.24421142857141678,20.5
"[21, 22)",0.1259771428571109,21.5
"[22, 23)",0.3808939534882756,22.5
"[23, 24)",1.0642492307691263,23.5
"[24, 25)",1.70030516129016,24.5
"[25, 26)",0.10028999999999755,25.5
"[26, 27)",0.11140111111110881,26.5
"[27, 28)",0.1003207407407374,27.5
"[28, 29)",0.10037846153845806,28.5
"[29, 30)",0.46592947368420323,29.5
"[30, 31)",0.12346802816898181,30.5
"[31, 32)",0.32856472222216454,31.5
"[32, 33)",0.32835301960800717,32.5
"[33, 34)",0.1865590909092538,33.5
"[34, 35)",0.232933538461704,34.5
"[35, 36)",0.18114833333341837,35.5
"[36, 37)",0.10029000000001531,36.5
"[37, 38)",0.10555315789475223,37.5
"[38, 39)",0.11332782608697207,38.5
"[39, 40)",0.15195515151532693,39.5
"[40, 41)",0.2668894017096969,40.5
"[41, 42)",0.34838116279100484,41.5
"[42, 43)",0.20441300000016396,42.5
"[43, 44)",0.2051707812501805,43.5
"[44, 45)",0.4625905504588984,44.5
"[45, 46)",0.5292492982461516,45.5
"[46, 47)",0.11088677966114058,46.5
"[47, 48)",0.18558835820912176,47.5
"[48, 49)",0.25038912280725045,48.5
"[49, 50)",0.549418800000433,49.5
"[55, 56)",0.10072666666670642,55.5
"[56, 57)",0.101601428571513,56.5
"[58, 59)",0.287962719664908,58.5
"[59, 60)",0.3652890540544583,59.5
"[60, 61)",0.16255170940188063,60.5
"[61, 62)",0.16736065934085895,61.5
"[62, 63)",0.23400610169511846,62.5
"[63, 64)",0.10062142857145265,63.5
"[66, 67)",0.10072666666662826,66.5
"[67, 68)",0.2624295161289378,67.5
"[70, 71)",0.12538999999997458,70.5
"[71, 72)",0.1378507594936113,71.5
