time_bin,cwnd,time_bin_mid
"[6, 7)",5.5,6.5
"[7, 8)",43.481249999999996,7.5
"[15, 16)",2.0,15.5
"[16, 17)",16.0,16.5
"[17, 18)",53.78333333333332,17.5
"[23, 24)",6.5,23.5
"[24, 25)",49.62365591397847,24.5
"[25, 26)",43.69431818181809,25.5
"[26, 27)",45.50657894736839,26.5
"[27, 28)",64.60281690140837,27.5
"[30, 31)",39.683125,30.5
"[31, 32)",66.32499999999986,31.5
"[34, 35)",8.0,34.5
"[35, 36)",52.24494949494946,35.5
"[36, 37)",68.47499999999975,36.5
"[48, 49)",7.0,48.5
"[49, 50)",51.175757575757544,49.5
"[50, 51)",67.84999999999978,50.5
"[52, 53)",5.5,52.5
"[53, 54)",49.667499999999976,53.5
"[54, 55)",67.12499999999983,54.5
"[55, 56)",31.0,55.5
"[56, 57)",66.24242424242411,56.5
"[57, 58)",70.54999999999963,57.5
"[61, 62)",3.0,61.5
"[62, 63)",46.515151515151494,62.5
"[63, 64)",68.17499999999976,63.5
"[64, 65)",33.92985074626866,64.5
"[65, 66)",51.54813664596264,65.5
"[66, 67)",49.94132653061217,66.5
"[69, 70)",2.0,69.5
"[70, 71)",20.0,70.5
"[77, 78)",6.5,77.5
"[78, 79)",50.62676767676764,78.5
"[79, 80)",68.57499999999973,79.5
"[80, 81)",70.89999999999961,80.5
"[93, 94)",33.48515625,93.5
"[94, 95)",65.12499999999993,94.5
"[96, 97)",3.0,96.5
"[97, 98)",44.821978021978005,97.5
"[101, 102)",34.85820895522388,101.5
"[102, 103)",66.72499999999985,102.5
"[103, 104)",69.79999999999967,103.5
"[106, 107)",29.5,106.5
"[107, 108)",46.74324324324323,107.5
"[108, 109)",34.5,108.5
"[114, 115)",3.0,114.5
"[115, 116)",46.31683673469385,115.5
"[116, 117)",66.22499999999987,116.5
"[133, 134)",31.5,133.5
"[134, 135)",66.34649999999986,134.5
"[135, 136)",70.19999999999965,135.5
"[138, 139)",2.0,138.5
"[139, 140)",20.5,139.5
"[140, 141)",62.13749999999992,140.5
"[141, 142)",69.2749999999997,141.5
"[146, 147)",7.0,146.5
"[147, 148)",51.32799999999997,147.5
"[148, 149)",68.92499999999971,148.5
"[149, 150)",71.69999999999956,149.5
"[152, 153)",29.5,152.5
"[153, 154)",64.39130434782604,153.5
"[163, 164)",3.0,163.5
"[164, 165)",46.31683673469385,164.5
"[165, 166)",66.59999999999985,165.5
"[166, 167)",14.5,166.5
"[167, 168)",57.79414893617016,167.5
"[169, 170)",17.0,169.5
"[170, 171)",48.5,170.5
"[171, 172)",40.609036144578305,171.5
"[172, 173)",66.47499999999987,172.5
"[173, 174)",70.27499999999965,173.5
"[174, 175)",23.5,174.5
"[175, 176)",63.51999999999992,175.5
"[176, 177)",67.97499999999977,176.5
"[183, 184)",30.0,183.5
"[184, 185)",65.84340659340648,184.5
"[198, 199)",3.0,198.5
"[199, 200)",27.0,199.5
