time_bin,goodput,time_bin_mid
"[1, 2)",39.0,1.5
"[2, 3)",9.0,2.5
"[3, 4)",10.5,3.5
"[6, 7)",0.0,6.5
"[7, 8)",0.0,7.5
"[8, 9)",0.0,8.5
"[9, 10)",0.0,9.5
"[10, 11)",15.3,10.5
"[11, 12)",25.772727272727273,11.5
"[12, 13)",14.4,12.5
"[13, 14)",26.772727272727273,13.5
"[14, 15)",19.5,14.5
"[15, 16)",18.375,15.5
"[16, 17)",22.5,16.5
"[17, 18)",33.642857142857146,17.5
"[18, 19)",24.428571428571427,18.5
"[19, 20)",30.75,19.5
"[20, 21)",27.5625,20.5
"[21, 22)",20.5,21.5
"[22, 23)",18.5,22.5
"[23, 24)",3.5714285714285716,23.5
"[24, 25)",0.0,24.5
"[25, 26)",2.1,25.5
"[26, 27)",17.8125,26.5
"[27, 28)",10.0,27.5
"[28, 29)",15.3125,28.5
"[29, 30)",14.166666666666666,29.5
"[30, 31)",4.4,30.5
"[31, 32)",19.125,31.5
"[32, 33)",27.9,32.5
"[33, 34)",12.0,33.5
"[34, 35)",33.25,34.5
"[35, 36)",20.4375,35.5
"[36, 37)",39.666666666666664,36.5
"[37, 38)",15.125,37.5
"[38, 39)",25.125,38.5
"[39, 40)",42.9,39.5
"[40, 41)",16.333333333333332,40.5
"[46, 47)",42.75,46.5
"[47, 48)",42.5,47.5
"[48, 49)",4.5,48.5
"[49, 50)",5.5,49.5
"[50, 51)",85.5,50.5
"[51, 52)",15.75,51.5
"[52, 53)",18.0,52.5
"[53, 54)",56.5,53.5
"[54, 55)",41.5,54.5
"[55, 56)",35.5,55.5
"[56, 57)",1.5,56.5
"[60, 61)",0.0,60.5
"[62, 63)",51.6,62.5
"[63, 64)",29.0,63.5
"[64, 65)",28.5,64.5
"[65, 66)",38.0,65.5
"[66, 67)",57.5,66.5
"[67, 68)",42.75,67.5
"[68, 69)",6.0,68.5
"[69, 70)",30.0,69.5
"[70, 71)",50.75,70.5
"[71, 72)",6.0,71.5
"[72, 73)",42.0,72.5
"[73, 74)",0.0,73.5
"[74, 75)",62.0,74.5
"[75, 76)",39.75,75.5
"[76, 77)",6.0,76.5
"[77, 78)",28.5,77.5
"[78, 79)",42.0,78.5
"[79, 80)",37.7,79.5
"[80, 81)",23.25,80.5
"[81, 82)",0.0,81.5
"[83, 84)",42.75,83.5
"[84, 85)",27.0,84.5
"[85, 86)",15.0,85.5
"[86, 87)",28.5,86.5
"[87, 88)",6.0,87.5
"[88, 89)",60.75,88.5
"[89, 90)",25.166666666666668,89.5
"[90, 91)",29.0,90.5
"[91, 92)",38.7,91.5
"[92, 93)",12.875,92.5
"[93, 94)",0.0,93.5
"[94, 95)",29.0,94.5
"[95, 96)",15.428571428571429,95.5
"[96, 97)",18.0,96.5
"[97, 98)",15.0,97.5
"[98, 99)",27.0,98.5
"[99, 100)",30.0,99.5
"[100, 101)",9.25,100.5
"[102, 103)",47.0,102.5
"[103, 104)",34.5,103.5
"[104, 105)",31.714285714285715,104.5
"[105, 106)",28.5,105.5
"[106, 107)",0.0,106.5
"[107, 108)",2.5,107.5
"[110, 111)",0.0,110.5
"[112, 113)",85.5,112.5
"[113, 114)",13.5,113.5
"[114, 115)",40.07142857142857,114.5
"[115, 116)",30.375,115.5
"[116, 117)",34.875,116.5
"[117, 118)",30.666666666666668,117.5
"[118, 119)",0.0,118.5
"[121, 122)",0.0,121.5
"[122, 123)",23.25,122.5
"[123, 124)",39.166666666666664,123.5
"[124, 125)",35.0,124.5
"[125, 126)",36.0,125.5
"[126, 127)",9.0,126.5
"[127, 128)",23.75,127.5
"[128, 129)",55.5,128.5
"[129, 130)",24.0,129.5
"[130, 131)",28.875,130.5
"[131, 132)",33.5,131.5
"[132, 133)",31.0,132.5
"[133, 134)",32.0,133.5
"[134, 135)",5.5,134.5
"[135, 136)",15.0,135.5
"[136, 137)",30.0,136.5
"[137, 138)",34.0,137.5
"[138, 139)",13.833333333333334,138.5
"[139, 140)",28.5,139.5
"[140, 141)",56.25,140.5
"[141, 142)",54.0,141.5
"[142, 143)",31.125,142.5
"[143, 144)",47.75,143.5
"[144, 145)",48.714285714285715,144.5
"[145, 146)",3.6666666666666665,145.5
"[146, 147)",22.5,146.5
"[147, 148)",46.75,147.5
"[148, 149)",30.0,148.5
"[149, 150)",59.25,149.5
"[151, 152)",42.75,151.5
"[152, 153)",48.0,152.5
"[153, 154)",42.75,153.5
"[154, 155)",7.5,154.5
"[155, 156)",0.0,155.5
"[156, 157)",0.0,156.5
"[157, 158)",40.125,157.5
"[158, 159)",31.0,158.5
"[159, 160)",28.416666666666668,159.5
"[160, 161)",23.25,160.5
"[161, 162)",83.75,161.5
"[162, 163)",47.5,162.5
"[163, 164)",35.0,163.5
"[166, 167)",28.5,166.5
"[167, 168)",16.5,167.5
"[169, 170)",26.5,169.5
"[170, 171)",23.0,170.5
"[171, 172)",24.0,171.5
"[172, 173)",19.875,172.5
"[173, 174)",14.25,173.5
"[174, 175)",1.5,174.5
"[175, 176)",41.0,175.5
"[176, 177)",39.0,176.5
"[177, 178)",20.25,177.5
"[178, 179)",15.0,178.5
"[179, 180)",30.0,179.5
"[180, 181)",30.0,180.5
"[181, 182)",46.5,181.5
"[182, 183)",34.166666666666664,182.5
"[183, 184)",34.333333333333336,183.5
"[184, 185)",5.25,184.5
"[185, 186)",31.666666666666668,185.5
"[186, 187)",38.25,186.5
"[187, 188)",0.5,187.5
"[188, 189)",84.0,188.5
"[189, 190)",25.5,189.5
"[190, 191)",35.2,190.5
"[191, 192)",30.25,191.5
"[193, 194)",39.75,193.5
