time_bin,throughput,time_bin_mid
"[6, 7)",0.0,6.5
"[7, 8)",103.5,7.5
"[8, 9)",8.25,8.5
"[12, 13)",0.0,12.5
"[15, 16)",0.0,15.5
"[16, 17)",4.5,16.5
"[17, 18)",63.0,17.5
"[18, 19)",59.5,18.5
"[23, 24)",0.0,23.5
"[24, 25)",103.5,24.5
"[25, 26)",89.5,25.5
"[26, 27)",103.5,26.5
"[27, 28)",91.5,27.5
"[28, 29)",74.5,28.5
"[30, 31)",103.5,30.5
"[31, 32)",103.5,31.5
"[33, 34)",0.0,33.5
"[35, 36)",103.5,35.5
"[36, 37)",150.0,36.5
"[37, 38)",33.5,37.5
"[38, 39)",0.0,38.5
"[49, 50)",51.75,49.5
"[50, 51)",149.5,50.5
"[51, 52)",0.0,51.5
"[53, 54)",103.5,53.5
"[54, 55)",109.5,54.5
"[56, 57)",103.5,56.5
"[57, 58)",150.0,57.5
"[58, 59)",89.5,58.5
"[60, 61)",0.0,60.5
"[62, 63)",34.5,62.5
"[63, 64)",150.0,63.5
"[64, 65)",100.5,64.5
"[65, 66)",52.5,65.5
"[66, 67)",97.0,66.5
"[67, 68)",30.333333333333332,67.5
"[68, 69)",0.0,68.5
"[70, 71)",43.5,70.5
"[71, 72)",9.5,71.5
"[73, 74)",0.0,73.5
"[78, 79)",103.5,78.5
"[79, 80)",150.0,79.5
"[80, 81)",49.5,80.5
"[85, 86)",0.0,85.5
"[89, 90)",0.0,89.5
"[93, 94)",0.0,93.5
"[94, 95)",103.5,94.5
"[95, 96)",54.5,95.5
"[97, 98)",103.5,97.5
"[98, 99)",36.5,98.5
"[100, 101)",0.0,100.5
"[102, 103)",102.0,102.5
"[103, 104)",150.0,103.5
"[104, 105)",32.0,104.5
"[107, 108)",103.5,107.5
"[108, 109)",50.25,108.5
"[110, 111)",0.0,110.5
"[113, 114)",0.0,113.5
"[115, 116)",103.5,115.5
"[116, 117)",65.5,116.5
"[121, 122)",0.0,121.5
"[126, 127)",0.0,126.5
"[134, 135)",103.5,134.5
"[135, 136)",150.0,135.5
"[136, 137)",65.5,136.5
"[138, 139)",0.0,138.5
"[139, 140)",1.5,139.5
"[140, 141)",109.5,140.5
"[141, 142)",150.0,141.5
"[142, 143)",37.0,142.5
"[146, 147)",0.0,146.5
"[147, 148)",102.0,147.5
"[148, 149)",75.0,148.5
"[149, 150)",80.0,149.5
"[153, 154)",103.5,153.5
"[154, 155)",49.5,154.5
"[155, 156)",0.0,155.5
"[164, 165)",103.5,164.5
"[165, 166)",87.5,165.5
"[166, 167)",0.0,166.5
"[167, 168)",103.5,167.5
"[168, 169)",75.5,168.5
"[170, 171)",23.25,170.5
"[171, 172)",48.0,171.5
"[172, 173)",33.75,172.5
"[173, 174)",75.0,173.5
"[174, 175)",42.75,174.5
"[175, 176)",135.0,175.5
"[176, 177)",72.0,176.5
"[184, 185)",103.5,184.5
"[185, 186)",118.5,185.5
"[186, 187)",0.0,186.5
"[195, 196)",0.0,195.5
"[196, 197)",0.0,196.5
"[197, 198)",0.0,197.5
"[198, 199)",3.0,198.5
"[199, 200)",63.0,199.5
