time_bin,retransmissions,time_bin_mid
"[1, 2)",4.25,1.5
"[2, 3)",3.5,2.5
"[8, 9)",3.6,8.5
"[9, 10)",7.935779816513762,9.5
"[10, 11)",0.0,10.5
"[11, 12)",1.0,11.5
"[15, 16)",2.0,15.5
"[16, 17)",5.304761904761905,16.5
"[17, 18)",8.3,17.5
"[18, 19)",6.071428571428571,18.5
"[20, 21)",6.318181818181818,20.5
"[21, 22)",7.357142857142857,21.5
"[23, 24)",6.373737373737374,23.5
"[24, 25)",15.5,24.5
"[25, 26)",4.68,25.5
"[26, 27)",18.966666666666665,26.5
"[28, 29)",5.790849673202614,28.5
"[29, 30)",15.388059701492537,29.5
"[30, 31)",5.0,30.5
"[31, 32)",1.0,31.5
"[34, 35)",0.0,34.5
"[35, 36)",4.411764705882353,35.5
"[36, 37)",4.34,36.5
"[37, 38)",4.033898305084746,37.5
"[38, 39)",2.4361702127659575,38.5
"[39, 40)",3.5,39.5
"[40, 41)",2.5,40.5
"[41, 42)",3.9,41.5
"[42, 43)",8.134146341463415,42.5
"[43, 44)",1.7142857142857142,43.5
"[44, 45)",15.321428571428571,44.5
"[49, 50)",1.0,49.5
"[51, 52)",10.375,51.5
"[52, 53)",11.909090909090908,52.5
"[53, 54)",28.5,53.5
"[54, 55)",6.125,54.5
"[55, 56)",12.895104895104895,55.5
"[56, 57)",24.5,56.5
"[58, 59)",8.5,58.5
"[59, 60)",7.5,59.5
"[60, 61)",0.0,60.5
"[61, 62)",0.0,61.5
"[62, 63)",0.0,62.5
"[63, 64)",0.0,63.5
"[64, 65)",0.4,64.5
"[65, 66)",0.0,65.5
"[66, 67)",2.111111111111111,66.5
"[67, 68)",8.62135922330097,67.5
"[68, 69)",0.0,68.5
"[69, 70)",0.0,69.5
"[70, 71)",0.25,70.5
"[71, 72)",0.0,71.5
"[72, 73)",-0.5,72.5
"[73, 74)",4.551282051282051,73.5
"[74, 75)",17.198019801980198,74.5
"[75, 76)",3.0,75.5
"[79, 80)",7.387096774193548,79.5
"[80, 81)",10.325301204819278,80.5
"[81, 82)",9.027777777777779,81.5
"[82, 83)",2.5,82.5
"[84, 85)",4.881578947368421,84.5
"[85, 86)",0.2,85.5
"[86, 87)",6.318181818181818,86.5
"[87, 88)",9.058823529411764,87.5
"[88, 89)",6.318181818181818,88.5
"[89, 90)",10.411111111111111,89.5
"[91, 92)",12.011904761904763,91.5
"[92, 93)",9.30841121495327,92.5
"[93, 94)",20.7,93.5
"[98, 99)",2.8,98.5
"[99, 100)",12.0,99.5
"[102, 103)",13.14102564102564,102.5
"[104, 105)",6.73109243697479,104.5
"[105, 106)",0.4,105.5
"[106, 107)",5.32258064516129,106.5
"[107, 108)",6.594594594594595,107.5
"[108, 109)",5.489130434782608,108.5
"[109, 110)",16.266666666666666,109.5
"[110, 111)",1.0,110.5
"[111, 112)",6.373737373737374,111.5
"[112, 113)",8.5,112.5
"[113, 114)",7.184615384615385,113.5
"[116, 117)",5.076923076923077,116.5
"[117, 118)",6.046875,117.5
"[118, 119)",28.0,118.5
"[119, 120)",0.0,119.5
"[120, 121)",20.304347826086957,120.5
"[121, 122)",7.221311475409836,121.5
"[122, 123)",10.482758620689655,122.5
"[123, 124)",2.5,123.5
"[124, 125)",6.708333333333333,124.5
"[125, 126)",13.376811594202898,125.5
"[129, 130)",11.061538461538461,129.5
"[130, 131)",1.0,130.5
"[132, 133)",6.5,132.5
"[133, 134)",8.552631578947368,133.5
"[134, 135)",0.5,134.5
"[136, 137)",7.5,136.5
"[137, 138)",6.611111111111111,137.5
"[138, 139)",4.725,138.5
"[139, 140)",16.0,139.5
"[140, 141)",6.017241379310345,140.5
"[141, 142)",13.214285714285714,141.5
"[142, 143)",16.0,142.5
"[145, 146)",5.4375,145.5
"[146, 147)",5.824561403508772,146.5
"[147, 148)",6.0285714285714285,147.5
"[148, 149)",3.935483870967742,148.5
"[149, 150)",5.1625,149.5
"[150, 151)",9.128378378378379,150.5
"[151, 152)",27.07547169811321,151.5
"[152, 153)",11.675675675675675,152.5
"[153, 154)",3.375,153.5
"[154, 155)",3.25,154.5
"[155, 156)",0.5,155.5
"[156, 157)",0.5,156.5
"[157, 158)",4.670212765957447,157.5
"[158, 159)",6.352941176470588,158.5
"[159, 160)",13.425531914893616,159.5
"[160, 161)",4.5,160.5
"[161, 162)",12.716666666666667,161.5
"[163, 164)",0.5,163.5
"[164, 165)",0.5,164.5
"[165, 166)",4.4787234042553195,165.5
"[166, 167)",14.448275862068966,166.5
"[167, 168)",19.393939393939394,167.5
"[169, 170)",0.3333333333333333,169.5
"[170, 171)",0.4,170.5
"[171, 172)",7.0256410256410255,171.5
"[172, 173)",3.588235294117647,172.5
"[174, 175)",6.32,174.5
"[175, 176)",6.393939393939394,175.5
"[176, 177)",9.817204301075268,176.5
"[177, 178)",0.5,177.5
"[178, 179)",7.0,178.5
"[179, 180)",0.5,179.5
"[181, 182)",5.236363636363636,181.5
"[182, 183)",4.5,182.5
"[184, 185)",0.8,184.5
"[185, 186)",3.740740740740741,185.5
"[186, 187)",9.455882352941176,186.5
"[187, 188)",2.5,187.5
"[188, 189)",5.428571428571429,188.5
"[189, 190)",7.111111111111111,189.5
"[195, 196)",5.418181818181818,195.5
"[196, 197)",12.124260355029586,196.5
"[197, 198)",5.641791044776119,197.5
"[198, 199)",19.5,198.5
"[199, 200)",0.0,199.5
