time_bin,duration,time_bin_mid
"[0, 1)",0.0,0.5
"[1, 2)",0.006080000000000085,1.5
"[5, 6)",0.010959999999999859,5.5
"[8, 9)",0.0,8.5
"[9, 10)",0.0,9.5
"[11, 12)",0.0,11.5
"[13, 14)",0.0,13.5
"[14, 15)",0.009560000000000457,14.5
"[15, 16)",1.3241350000000498,15.5
"[17, 18)",0.011639999999999873,17.5
"[19, 20)",0.0,19.5
"[20, 21)",0.002520000000000522,20.5
"[22, 23)",0.0,22.5
"[23, 24)",1.8756300000004344,23.5
"[24, 25)",0.0,24.5
"[25, 26)",1.8497700000000776,25.5
"[27, 28)",0.0,27.5
"[28, 29)",0.0036400000000007537,28.5
"[32, 33)",2.4435150000016534,32.5
"[35, 36)",0.5019683333334773,35.5
"[36, 37)",0.0,36.5
"[37, 38)",0.0037999999999982492,37.5
"[39, 40)",0.0,39.5
"[41, 42)",0.0,41.5
"[43, 44)",0.0,43.5
"[48, 49)",2.18346999999531,48.5
"[50, 51)",1.2637099999990795,50.5
"[51, 52)",0.0,51.5
"[52, 53)",1.8652249999958102,52.5
"[54, 55)",0.0,54.5
"[56, 57)",0.009920000000001039,56.5
"[57, 58)",1.5111299999992198,57.5
"[59, 60)",0.01120000000000232,59.5
"[60, 61)",3.4342900000002032,60.5
"[64, 65)",2.199449999999487,64.5
"[65, 66)",1.9112799999979018,65.5
"[66, 67)",0.0,66.5
"[68, 69)",0.00664000000000442,68.5
"[69, 70)",2.880660000000134,69.5
"[72, 73)",0.0008266666666685296,72.5
"[73, 74)",0.003079999999997085,73.5
"[79, 80)",0.0,79.5
"[80, 81)",0.0,80.5
"[82, 83)",0.0028800000000046566,82.5
"[83, 84)",0.0,83.5
"[84, 85)",0.012439999999998008,84.5
"[86, 87)",0.0,86.5
"[88, 89)",0.004280000000001394,88.5
"[90, 91)",0.0,90.5
"[91, 92)",0.0,91.5
"[92, 93)",0.00767999999999347,92.5
"[94, 95)",0.0,94.5
"[96, 97)",1.4567850000011902,96.5
"[98, 99)",0.0,98.5
"[99, 100)",0.01162000000000063,99.5
"[100, 101)",2.749535000004599,100.5
"[101, 102)",0.0,101.5
"[105, 106)",0.0,105.5
"[106, 107)",0.0,106.5
"[107, 108)",0.0,107.5
"[109, 110)",0.01120000000000232,109.5
"[110, 111)",1.0972825000022937,110.5
"[112, 113)",0.007360000000005584,112.5
"[116, 117)",0.004019999999997026,116.5
"[117, 118)",2.8494450000033993,117.5
"[119, 120)",0.0,119.5
"[120, 121)",0.0,120.5
"[122, 123)",0.0,122.5
"[123, 124)",0.0,123.5
"[124, 125)",0.0,124.5
"[128, 129)",0.0,128.5
"[129, 130)",0.0,129.5
"[131, 132)",0.0,131.5
"[133, 134)",0.0,133.5
"[135, 136)",0.011920000000003483,135.5
"[136, 137)",0.0,136.5
"[138, 139)",0.0,138.5
"[139, 140)",0.003960000000006403,139.5
"[140, 141)",0.0,140.5
"[144, 145)",0.005560000000002674,144.5
"[145, 146)",0.003380000000007044,145.5
"[146, 147)",1.3351799999918654,146.5
"[148, 149)",0.0,148.5
"[150, 151)",0.0,150.5
"[153, 154)",0.0,153.5
"[154, 155)",2.3860949999946683,154.5
"[157, 158)",0.0,157.5
"[160, 161)",0.0,160.5
"[162, 163)",2.3566449999915733,162.5
"[163, 164)",2.806744999994436,163.5
"[168, 169)",1.0720625000002428,168.5
"[171, 172)",2.6230549999956168,171.5
"[173, 174)",0.7422499999987622,173.5
"[175, 176)",0.0,175.5
"[176, 177)",0.0,176.5
"[178, 179)",0.8729199999959576,178.5
"[183, 184)",1.4006849999958224,183.5
"[185, 186)",0.007159999999998945,185.5
"[187, 188)",0.0,187.5
"[188, 189)",0.008839999999992187,188.5
"[189, 190)",0.012439999999998008,189.5
"[192, 193)",2.2006549999932474,192.5
"[194, 195)",0.012879999999995562,194.5
"[195, 196)",0.0029399999999952797,195.5
"[196, 197)",0.005439999999993006,196.5
