time_bin,cwnd,time_bin_mid
"[0, 1)",3.0,0.5
"[1, 2)",30.848812047292427,1.5
"[2, 3)",32.650540097909975,2.5
"[3, 4)",28.409523915494074,3.5
"[4, 5)",25.837401145149837,4.5
"[5, 6)",23.504302218360568,5.5
"[6, 7)",24.73050806882171,6.5
"[7, 8)",31.03440374934831,7.5
"[8, 9)",36.949307241214136,8.5
"[9, 10)",5.041130889226764,9.5
"[15, 16)",9.0,15.5
"[16, 17)",35.69269698562726,16.5
"[17, 18)",12.370502081251479,17.5
"[18, 19)",24.047792076395424,18.5
"[19, 20)",27.915370386147018,19.5
"[20, 21)",35.0539409108137,20.5
"[21, 22)",26.88786456382,21.5
"[22, 23)",7.017329177428079,22.5
"[23, 24)",19.336650911451308,23.5
"[25, 26)",9.0,25.5
"[26, 27)",36.687534459470086,26.5
"[27, 28)",9.0,27.5
"[28, 29)",34.85123417774821,28.5
"[29, 30)",31.962043841547462,29.5
"[30, 31)",34.35576815815927,30.5
"[32, 33)",25.0,32.5
"[33, 34)",5.055539873860707,33.5
"[34, 35)",26.863636363636363,34.5
"[35, 36)",50.37863104797913,35.5
"[36, 37)",26.194124942893602,36.5
"[37, 38)",42.97264924847662,37.5
"[38, 39)",25.978937786018015,38.5
"[39, 40)",13.713418688377836,39.5
"[40, 41)",32.45350393227529,40.5
"[41, 42)",27.52992730431678,41.5
"[42, 43)",35.32740487744359,42.5
"[43, 44)",67.61730019983769,43.5
"[45, 46)",10.795861283788051,45.5
"[46, 47)",14.16499058402509,46.5
"[49, 50)",4.818181818181818,49.5
"[50, 51)",11.5,50.5
"[51, 52)",1.0,51.5
"[52, 53)",17.399120694646065,52.5
"[53, 54)",34.096594088419366,53.5
"[54, 55)",6.041666666666667,54.5
"[55, 56)",34.70501170286619,55.5
"[56, 57)",11.755102040816327,56.5
"[57, 58)",1.0,57.5
"[58, 59)",20.375982687262013,58.5
"[59, 60)",32.19977258900635,59.5
"[60, 61)",26.872209295318836,60.5
"[61, 62)",16.039465382905735,61.5
"[62, 63)",25.021457474278186,62.5
"[63, 64)",1.3333333333333333,63.5
"[64, 65)",1.0,64.5
"[65, 66)",8.058823529411764,65.5
"[66, 67)",36.37423490925818,66.5
"[67, 68)",46.183029336923966,67.5
"[68, 69)",39.64736369350975,68.5
"[69, 70)",30.98232147547622,69.5
"[70, 71)",24.97338658427332,70.5
"[71, 72)",19.40522310735708,71.5
"[72, 73)",16.033728164428847,72.5
"[73, 74)",17.37527620976733,73.5
"[77, 78)",29.296002686135175,77.5
"[78, 79)",4.862068965517241,78.5
"[79, 80)",27.893669012174268,79.5
"[80, 81)",24.26661146798458,80.5
"[81, 82)",12.49223811323958,81.5
"[82, 83)",16.20467072959715,82.5
"[83, 84)",40.83429631829113,83.5
"[84, 85)",26.004847787300914,84.5
"[85, 86)",29.26104647531432,85.5
"[86, 87)",16.860641206952266,86.5
"[87, 88)",31.41472155075334,87.5
"[88, 89)",33.05308598540913,88.5
"[89, 90)",24.922244093960494,89.5
"[90, 91)",9.0,90.5
"[91, 92)",28.0,91.5
"[92, 93)",32.83778375472987,92.5
"[93, 94)",37.1625435782139,93.5
"[94, 95)",36.737587737180306,94.5
"[95, 96)",22.663083074723623,95.5
"[96, 97)",7.605333415984158,96.5
"[97, 98)",27.537383638508967,97.5
"[98, 99)",44.45251878340697,98.5
"[99, 100)",39.69938896688492,99.5
"[100, 101)",2.0667933333333224,100.5
"[101, 102)",1.25,101.5
"[102, 103)",7.761116628748231,102.5
"[103, 104)",24.144736842105264,103.5
"[104, 105)",34.3138028257332,104.5
"[105, 106)",29.222757777479643,105.5
"[106, 107)",16.284371684261686,106.5
"[107, 108)",18.775,107.5
"[108, 109)",36.35258052839484,108.5
"[109, 110)",3.391304347826087,109.5
"[110, 111)",14.72,110.5
"[111, 112)",36.82451510309071,111.5
"[112, 113)",31.62497761227875,112.5
"[113, 114)",25.330592160052962,113.5
"[116, 117)",9.0,116.5
"[117, 118)",38.138377582173206,117.5
"[118, 119)",40.0269667361494,118.5
"[120, 121)",28.25054515414327,120.5
"[121, 122)",38.58206250735035,121.5
"[123, 124)",29.559495600649523,123.5
"[124, 125)",38.103461087948155,124.5
"[125, 126)",32.71135372764204,125.5
"[126, 127)",23.694066592891648,126.5
"[127, 128)",1.0,127.5
"[129, 130)",9.0,129.5
"[130, 131)",36.6948974533793,130.5
"[131, 132)",28.708535053665376,131.5
"[132, 133)",18.801446430098807,132.5
"[133, 134)",37.70822143940205,133.5
"[138, 139)",8.0,138.5
"[139, 140)",31.229434256419747,139.5
"[140, 141)",33.76423470613805,140.5
"[141, 142)",39.770749823195466,141.5
"[142, 143)",40.35051236976653,142.5
"[143, 144)",4.527291126811997,143.5
"[144, 145)",9.0,144.5
"[145, 146)",31.957264957264957,145.5
"[146, 147)",45.94929235605896,146.5
"[147, 148)",33.2586839061171,147.5
"[148, 149)",42.91411567653504,148.5
"[149, 150)",5.445008338342861,149.5
"[153, 154)",1.0,153.5
"[154, 155)",1.0,154.5
"[155, 156)",1.0,155.5
"[156, 157)",8.5,156.5
"[157, 158)",36.806175550257265,157.5
"[158, 159)",36.711186816903336,158.5
"[159, 160)",21.746944513028467,159.5
"[160, 161)",19.84679826918189,160.5
"[161, 162)",8.12069298285659,161.5
"[162, 163)",26.557990254299156,162.5
"[165, 166)",7.0,165.5
"[166, 167)",22.23704433270975,166.5
"[167, 168)",16.971138401021882,167.5
"[168, 169)",23.04245166592152,168.5
"[169, 170)",13.541842485112193,169.5
"[170, 171)",9.420871885406367,170.5
"[171, 172)",19.260918093954825,171.5
"[177, 178)",1.0,177.5
"[178, 179)",1.5,178.5
"[179, 180)",37.96394978270384,179.5
"[180, 181)",37.431663900616456,180.5
"[181, 182)",32.61585544586416,181.5
"[182, 183)",25.541298617988087,182.5
"[183, 184)",32.88158357030689,183.5
"[184, 185)",31.951219512195124,184.5
"[185, 186)",33.55186390769631,185.5
"[186, 187)",2.8333333333333335,186.5
"[188, 189)",24.474056912206475,188.5
"[189, 190)",38.272326999489145,189.5
"[191, 192)",26.727095342500736,191.5
"[192, 193)",35.414378258556795,192.5
"[193, 194)",31.5,193.5
"[194, 195)",2.526315789473684,194.5
"[195, 196)",26.5,195.5
"[196, 197)",2.5555555555555554,196.5
"[197, 198)",22.5,197.5
"[199, 200)",28.635231784371488,199.5
