time_bin,retransmissions,time_bin_mid
"[1, 2)",4.25,1.5
"[2, 3)",6.101851851851852,2.5
"[3, 4)",8.486486486486486,3.5
"[4, 5)",5.069767441860465,4.5
"[5, 6)",25.8,5.5
"[6, 7)",1.5416666666666667,6.5
"[7, 8)",7.65,7.5
"[8, 9)",7.650943396226415,8.5
"[9, 10)",3.5625,9.5
"[16, 17)",6.321428571428571,16.5
"[17, 18)",9.666666666666666,17.5
"[18, 19)",18.894736842105264,18.5
"[19, 20)",6.0,19.5
"[20, 21)",6.091954022988506,20.5
"[21, 22)",9.381294964028777,21.5
"[22, 23)",0.0,22.5
"[23, 24)",5.884615384615385,23.5
"[26, 27)",7.184615384615385,26.5
"[28, 29)",6.045454545454546,28.5
"[29, 30)",4.136363636363637,29.5
"[30, 31)",7.1,30.5
"[33, 34)",1.0,33.5
"[34, 35)",6.333333333333333,34.5
"[35, 36)",35.0,35.5
"[36, 37)",10.387096774193548,36.5
"[37, 38)",12.520408163265307,37.5
"[38, 39)",2.823529411764706,38.5
"[39, 40)",1.6615384615384616,39.5
"[40, 41)",12.975903614457831,40.5
"[41, 42)",8.256880733944953,41.5
"[42, 43)",8.357142857142858,42.5
"[43, 44)",27.2375,43.5
"[45, 46)",14.5,45.5
"[46, 47)",4.5,46.5
"[49, 50)",0.0,49.5
"[51, 52)",4.9,51.5
"[52, 53)",4.785714285714286,52.5
"[54, 55)",2.625,54.5
"[55, 56)",7.061797752808989,55.5
"[56, 57)",13.916666666666666,56.5
"[57, 58)",34.7,57.5
"[58, 59)",19.25,58.5
"[59, 60)",9.568181818181818,59.5
"[60, 61)",8.14,60.5
"[62, 63)",1.4310344827586208,62.5
"[63, 64)",0.0,63.5
"[64, 65)",0.25,64.5
"[65, 66)",0.0,65.5
"[66, 67)",6.115384615384615,66.5
"[67, 68)",10.182795698924732,67.5
"[68, 69)",10.653846153846153,68.5
"[69, 70)",6.304,69.5
"[70, 71)",26.341463414634145,70.5
"[71, 72)",24.006666666666668,71.5
"[72, 73)",40.782051282051285,72.5
"[73, 74)",54.108333333333334,73.5
"[77, 78)",53.269767441860466,77.5
"[78, 79)",0.0,78.5
"[79, 80)",12.824742268041238,79.5
"[80, 81)",6.742647058823529,80.5
"[81, 82)",12.36111111111111,81.5
"[82, 83)",11.683168316831683,82.5
"[83, 84)",13.257894736842106,83.5
"[84, 85)",11.16,84.5
"[85, 86)",5.732394366197183,85.5
"[87, 88)",7.925,87.5
"[88, 89)",5.392,88.5
"[89, 90)",0.7142857142857143,89.5
"[92, 93)",5.981651376146789,92.5
"[93, 94)",13.019607843137255,93.5
"[94, 95)",7.076086956521739,94.5
"[95, 96)",4.5,95.5
"[96, 97)",14.778947368421052,96.5
"[97, 98)",9.821052631578947,97.5
"[98, 99)",6.956521739130435,98.5
"[99, 100)",6.444444444444445,99.5
"[100, 101)",0.25,100.5
"[101, 102)",1.0,101.5
"[102, 103)",0.0,102.5
"[103, 104)",3.0,103.5
"[104, 105)",14.983050847457626,104.5
"[105, 106)",8.855855855855856,105.5
"[106, 107)",3.5,106.5
"[107, 108)",5.0,107.5
"[108, 109)",5.5,108.5
"[109, 110)",5.043478260869565,109.5
"[111, 112)",11.333333333333334,111.5
"[112, 113)",7.604477611940299,112.5
"[113, 114)",5.686046511627907,113.5
"[117, 118)",15.028571428571428,117.5
"[118, 119)",11.685714285714285,118.5
"[120, 121)",4.28,120.5
"[121, 122)",7.576271186440678,121.5
"[123, 124)",5.3,123.5
"[124, 125)",8.787878787878787,124.5
"[125, 126)",12.824742268041238,125.5
"[126, 127)",12.73076923076923,126.5
"[127, 128)",3.4,127.5
"[130, 131)",6.438775510204081,130.5
"[131, 132)",7.466666666666667,131.5
"[132, 133)",2.4901960784313726,132.5
"[133, 134)",14.45054945054945,133.5
"[139, 140)",5.631578947368421,139.5
"[140, 141)",6.473684210526316,140.5
"[141, 142)",15.977443609022556,141.5
"[142, 143)",11.1875,142.5
"[143, 144)",5.5,143.5
"[145, 146)",14.714285714285714,145.5
"[146, 147)",33.0,146.5
"[147, 148)",5.72093023255814,147.5
"[148, 149)",5.594594594594595,148.5
"[149, 150)",4.7,149.5
"[153, 154)",0.0,153.5
"[154, 155)",0.0,154.5
"[155, 156)",0.0,155.5
"[156, 157)",0.0,156.5
"[157, 158)",5.970873786407767,157.5
"[158, 159)",14.652173913043478,158.5
"[159, 160)",6.366666666666666,159.5
"[160, 161)",3.675,160.5
"[161, 162)",7.583333333333333,161.5
"[166, 167)",1.8214285714285714,166.5
"[167, 168)",0.9032258064516129,167.5
"[168, 169)",4.428571428571429,168.5
"[169, 170)",6.429906542056075,169.5
"[170, 171)",9.4875,170.5
"[171, 172)",8.5,171.5
"[177, 178)",0.0,177.5
"[178, 179)",0.0,178.5
"[179, 180)",9.291139240506329,179.5
"[180, 181)",7.041176470588235,180.5
"[181, 182)",15.11340206185567,181.5
"[182, 183)",17.096385542168676,182.5
"[183, 184)",16.0,183.5
"[184, 185)",5.607142857142857,184.5
"[185, 186)",7.151898734177215,185.5
"[186, 187)",4.916666666666667,186.5
"[188, 189)",7.0,188.5
"[189, 190)",5.688679245283019,189.5
"[191, 192)",6.107692307692307,191.5
"[192, 193)",7.5,192.5
"[194, 195)",3.888888888888889,194.5
"[196, 197)",4.666666666666667,196.5
"[197, 198)",-1.0,197.5
"[199, 200)",4.387096774193548,199.5
