time_bin,goodput,time_bin_mid
"[6, 7)",0.0,6.5
"[7, 8)",103.5,7.5
"[8, 9)",8.25,8.5
"[12, 13)",0.0,12.5
"[15, 16)",0.0,15.5
"[16, 17)",4.5,16.5
"[17, 18)",63.0,17.5
"[18, 19)",59.5,18.5
"[20, 21)",103.5,20.5
"[21, 22)",135.0,21.5
"[22, 23)",7.75,22.5
"[25, 26)",0.0,25.5
"[29, 30)",0.0,29.5
"[40, 41)",0.0,40.5
"[46, 47)",0.0,46.5
"[49, 50)",43.5,49.5
"[50, 51)",34.25,50.5
"[51, 52)",1.5,51.5
"[52, 53)",33.25,52.5
"[53, 54)",10.5,53.5
"[54, 55)",12.0,54.5
"[55, 56)",118.5,55.5
"[56, 57)",135.0,56.5
"[57, 58)",89.0,57.5
"[58, 59)",135.0,58.5
"[59, 60)",88.5,59.5
"[65, 66)",23.25,65.5
"[66, 67)",48.0,66.5
"[67, 68)",44.0,67.5
"[68, 69)",35.5,68.5
"[71, 72)",0.0,71.5
"[74, 75)",0.0,74.5
"[85, 86)",0.0,85.5
"[91, 92)",0.0,91.5
"[94, 95)",0.0,94.5
"[96, 97)",22.5,96.5
"[97, 98)",69.0,97.5
"[98, 99)",21.25,98.5
"[99, 100)",102.0,99.5
"[100, 101)",75.0,100.5
"[101, 102)",40.75,101.5
"[102, 103)",23.75,102.5
"[109, 110)",19.5,109.5
"[110, 111)",132.0,110.5
"[111, 112)",27.0,111.5
"[112, 113)",0.0,112.5
"[119, 120)",43.5,119.5
"[120, 121)",150.0,120.5
"[121, 122)",33.5,121.5
"[124, 125)",0.0,124.5
"[129, 130)",0.0,129.5
"[130, 131)",0.0,130.5
"[134, 135)",0.0,134.5
"[145, 146)",0.0,145.5
"[149, 150)",43.5,149.5
"[150, 151)",150.0,150.5
"[151, 152)",16.5,151.5
"[153, 154)",0.0,153.5
"[155, 156)",72.0,155.5
"[156, 157)",150.0,156.5
"[157, 158)",15.166666666666666,157.5
"[158, 159)",57.0,158.5
"[159, 160)",64.75,159.5
"[166, 167)",73.5,166.5
"[167, 168)",150.0,167.5
"[168, 169)",76.5,168.5
"[170, 171)",43.5,170.5
"[171, 172)",104.5,171.5
"[173, 174)",43.5,173.5
"[174, 175)",79.5,174.5
"[175, 176)",94.25,175.5
"[176, 177)",96.5,176.5
"[177, 178)",18.0,177.5
"[178, 179)",73.5,178.5
"[179, 180)",78.5,179.5
"[180, 181)",0.0,180.5
"[186, 187)",94.5,186.5
"[187, 188)",58.0,187.5
"[188, 189)",150.0,188.5
"[189, 190)",43.5,189.5
"[192, 193)",0.0,192.5
