time_bin,throughput,time_bin_mid
"[1, 2)",48.0,1.5
"[2, 3)",54.0,2.5
"[3, 4)",10.5,3.5
"[6, 7)",0.0,6.5
"[7, 8)",157.0,7.5
"[8, 9)",152.75,8.5
"[9, 10)",99.0,9.5
"[10, 11)",84.9,10.5
"[11, 12)",37.09090909090909,11.5
"[12, 13)",33.65,12.5
"[13, 14)",42.27272727272727,13.5
"[14, 15)",25.75,14.5
"[15, 16)",49.1,15.5
"[16, 17)",22.25,16.5
"[17, 18)",63.75,17.5
"[18, 19)",47.4,18.5
"[19, 20)",43.0,19.5
"[20, 21)",70.0,20.5
"[21, 22)",60.75,21.5
"[22, 23)",0.0,22.5
"[23, 24)",0.0,23.5
"[24, 25)",282.0,24.5
"[25, 26)",19.0,25.5
"[26, 27)",14.0,26.5
"[27, 28)",59.5,27.5
"[28, 29)",79.5,28.5
"[29, 30)",0.0,29.5
"[30, 31)",29.1,30.5
"[31, 32)",9.75,31.5
"[32, 33)",52.9375,32.5
"[33, 34)",68.41666666666667,33.5
"[34, 35)",34.0,34.5
"[35, 36)",13.5,35.5
"[36, 37)",0.0,36.5
"[37, 38)",6.0,37.5
"[38, 39)",33.0,38.5
"[40, 41)",33.0,40.5
"[43, 44)",62.25,43.5
"[44, 45)",58.5,44.5
"[45, 46)",75.0,45.5
"[46, 47)",104.0,46.5
"[47, 48)",36.5,47.5
"[48, 49)",124.0,48.5
"[49, 50)",10.5,49.5
"[50, 51)",0.0,50.5
"[51, 52)",21.0,51.5
"[52, 53)",156.0,52.5
"[53, 54)",49.5,53.5
"[54, 55)",46.0,54.5
"[55, 56)",59.8,55.5
"[56, 57)",58.125,56.5
"[57, 58)",57.375,57.5
"[58, 59)",33.5,58.5
"[59, 60)",31.833333333333332,59.5
"[60, 61)",48.0,60.5
"[61, 62)",63.75,61.5
"[62, 63)",47.5,62.5
"[63, 64)",53.25,63.5
"[64, 65)",14.625,64.5
"[65, 66)",29.4,65.5
"[66, 67)",44.4,66.5
"[67, 68)",11.7,67.5
"[68, 69)",37.875,68.5
"[69, 70)",37.75,69.5
"[70, 71)",26.7,70.5
"[71, 72)",24.333333333333332,71.5
"[72, 73)",45.375,72.5
"[73, 74)",3.5833333333333335,73.5
"[74, 75)",26.7,74.5
"[75, 76)",66.6,75.5
"[76, 77)",3.0,76.5
"[77, 78)",0.0,77.5
"[78, 79)",0.75,78.5
"[79, 80)",50.5,79.5
"[80, 81)",83.0,80.5
"[81, 82)",0.0,81.5
"[82, 83)",40.0,82.5
