time_bin,cwnd,time_bin_mid
"[1, 2)",5.5,1.5
"[2, 3)",48.71471369238637,2.5
"[5, 6)",25.0,5.5
"[6, 7)",63.65458212389315,6.5
"[7, 8)",69.83134704162346,7.5
"[14, 15)",7.0,14.5
"[15, 16)",51.33536828239019,15.5
"[16, 17)",75.46961757247713,16.5
"[17, 18)",32.5,17.5
"[18, 19)",78.43061647248496,18.5
"[19, 20)",101.19063179020472,19.5
"[24, 25)",29.5,24.5
"[25, 26)",68.91225570562484,25.5
"[26, 27)",78.94515590080684,26.5
"[28, 29)",15.132075471698114,28.5
"[29, 30)",51.42575126348747,29.5
"[30, 31)",74.49865826435538,30.5
"[31, 32)",61.778564284296394,31.5
"[51, 52)",3.0,51.5
"[52, 53)",40.996579860903886,52.5
"[53, 54)",76.81440402348201,53.5
"[54, 55)",95.795386288114,54.5
"[62, 63)",26.0,62.5
"[63, 64)",68.30045801467897,63.5
"[69, 70)",2.0,69.5
"[70, 71)",33.0,70.5
"[71, 72)",68.40737760393327,71.5
"[76, 77)",31.0,76.5
"[77, 78)",68.6765686740232,77.5
"[78, 79)",80.57514538663007,78.5
"[81, 82)",27.5,81.5
"[82, 83)",68.64238815858222,82.5
"[89, 90)",30.5,89.5
"[90, 91)",59.60025766157407,90.5
"[91, 92)",60.90568369959705,91.5
"[92, 93)",74.76170968770515,92.5
"[93, 94)",41.94191767026851,93.5
"[94, 95)",65.91628637265781,94.5
"[95, 96)",87.60396664230541,95.5
"[96, 97)",32.5,96.5
"[97, 98)",70.8474618132073,97.5
"[101, 102)",7.5,101.5
"[102, 103)",57.635517757172465,102.5
"[103, 104)",101.11504628253346,103.5
"[123, 124)",3.0,123.5
"[124, 125)",47.44242947854984,124.5
"[125, 126)",86.06268669004228,125.5
"[126, 127)",105.69954177253841,126.5
"[133, 134)",3.0,133.5
"[134, 135)",44.26521730325632,134.5
"[135, 136)",74.57178841725327,135.5
"[136, 137)",88.57845982574891,136.5
"[152, 153)",33.0,152.5
"[153, 154)",71.91619606190656,153.5
"[176, 177)",8.0,176.5
"[177, 178)",51.356255494354855,177.5
"[178, 179)",23.5,178.5
"[179, 180)",43.4886798443449,179.5
"[180, 181)",49.95070413613156,180.5
"[197, 198)",32.5,197.5
"[198, 199)",67.59664471059537,198.5
