time_bin,rtt,time_bin_mid
"[1, 2)",0.11269499999999993,1.5
"[2, 3)",0.28085638297872295,2.5
"[5, 6)",0.13822680851062918,5.5
"[6, 7)",0.48371219999997495,6.5
"[7, 8)",0.6511205555555376,7.5
"[14, 15)",0.09660363636364057,14.5
"[15, 16)",0.3147572916666935,15.5
"[16, 17)",0.6701226415094842,16.5
"[17, 18)",0.1722953225806323,17.5
"[18, 19)",0.5499416000000121,18.5
"[19, 20)",0.7542450000000991,19.5
"[24, 25)",0.1584149999999882,24.5
"[25, 26)",0.5211489000000111,25.5
"[26, 27)",0.6901825000000891,26.5
"[28, 29)",0.17006603773583767,28.5
"[29, 30)",0.5253192929292688,29.5
"[30, 31)",0.9286865591398206,30.5
"[31, 32)",1.2053288095239403,31.5
"[51, 52)",0.11345333333334177,51.5
"[52, 53)",0.25576578947374623,52.5
"[53, 54)",0.701863214285771,53.5
"[54, 55)",0.9161922222221384,54.5
"[62, 63)",0.17529979591840789,62.5
"[63, 64)",0.4841270588235334,63.5
"[69, 70)",0.21008999999997968,69.5
"[70, 71)",0.215772622950772,70.5
"[71, 72)",0.3830225925927401,71.5
"[76, 77)",0.1653667796609443,76.5
"[77, 78)",0.5308730999999622,77.5
"[78, 79)",0.7269122222224657,78.5
"[81, 82)",0.14931653846147314,81.5
"[82, 83)",0.45363773333340857,82.5
"[89, 90)",0.16301396551716973,89.5
"[90, 91)",0.466908534482726,90.5
"[91, 92)",0.4433670138889095,91.5
"[92, 93)",0.6642262000000797,92.5
"[93, 94)",0.31089561403516036,93.5
"[94, 95)",0.4475730303029432,94.5
"[95, 96)",0.7207996052633535,95.5
"[96, 97)",0.17225451612896409,96.5
"[97, 98)",0.43069500000012084,97.5
"[101, 102)",0.22361333333331976,101.5
"[102, 103)",0.31731131313124594,102.5
"[103, 104)",0.6419685714288151,103.5
"[123, 124)",0.11345333333331571,123.5
"[124, 125)",0.2705406122448053,124.5
"[125, 126)",0.6747514000000706,125.5
"[126, 127)",0.7935733333337017,126.5
"[133, 134)",0.11345333333335361,133.5
"[134, 135)",0.25731955056200956,134.5
"[135, 136)",0.6257951515150445,135.5
"[136, 137)",0.7000799999993887,136.5
"[152, 153)",0.18277785714301462,152.5
"[153, 154)",0.48391581395330596,153.5
"[176, 177)",0.09257769230773996,176.5
"[177, 178)",0.3228843373494081,177.5
"[178, 179)",0.13382909090919073,178.5
"[179, 180)",0.3132280645160301,179.5
"[180, 181)",0.2683576404494582,180.5
"[197, 198)",0.172295322580818,197.5
"[198, 199)",0.5697921249999034,198.5
