time_bin,rtt,time_bin_mid
"[0, 1)",0.1387342307692299,0.5
"[1, 2)",0.4007931249999981,1.5
"[2, 3)",1.3083914285714286,2.5
"[8, 9)",0.10605115384616859,8.5
"[9, 10)",0.4068892063492455,9.5
"[10, 11)",0.2346070588235578,10.5
"[11, 12)",0.3912575652174224,11.5
"[12, 13)",0.10841633333333664,12.5
"[13, 14)",0.10040857142857439,13.5
"[14, 15)",0.14295022727273352,14.5
"[15, 16)",0.10072666666667172,15.5
"[16, 17)",0.2584946376810784,16.5
"[17, 18)",0.4538727659573812,17.5
"[18, 19)",0.19983775862064865,18.5
"[20, 21)",0.14219406249995548,20.5
"[21, 22)",0.33603672727265016,21.5
"[22, 23)",0.19496956521734593,22.5
"[23, 24)",0.7337025490196963,23.5
"[24, 25)",0.19635451327427475,24.5
"[26, 27)",0.12476333333331018,26.5
"[27, 28)",0.1884213999999721,27.5
"[28, 29)",1.1614342857142728,28.5
"[30, 31)",0.13605228070171543,30.5
"[31, 32)",0.24957175999992928,31.5
"[32, 33)",0.6354772727272265,32.5
"[35, 36)",0.14063156250015818,35.5
"[36, 37)",0.32233906250038413,36.5
"[38, 39)",0.1849482000001481,38.5
"[39, 40)",0.1782995689657675,39.5
"[40, 41)",0.29180409722252953,40.5
"[41, 42)",0.30683459259296797,41.5
"[42, 43)",1.0294550000007512,42.5
"[43, 44)",0.5723650000001883,43.5
"[44, 45)",0.133905000000096,44.5
"[45, 46)",1.304325000000187,45.5
"[46, 47)",0.48709058823542156,46.5
"[53, 54)",0.13534218181831478,53.5
"[54, 55)",0.40174847826125537,54.5
"[56, 57)",0.10072666666670642,56.5
"[57, 58)",0.26693558823554114,57.5
"[58, 59)",0.14781076923092962,58.5
"[59, 60)",0.39863654545512106,59.5
"[60, 61)",0.28381666666697747,60.5
"[61, 62)",0.304493145161532,61.5
"[62, 63)",0.39215454545481554,62.5
"[63, 64)",0.8248787741943479,63.5
"[64, 65)",1.4130675590561825,64.5
"[65, 66)",0.13264241935479343,65.5
"[66, 67)",0.32541799999980364,66.5
"[67, 68)",8.351027619050328,67.5
"[68, 69)",4.436532474228082,68.5
"[72, 73)",0.14339957446792387,72.5
"[73, 74)",0.33274146666653714,73.5
"[74, 75)",0.13267189781017025,74.5
"[76, 77)",0.14527510204073002,76.5
"[77, 78)",0.33619999999994266,77.5
"[78, 79)",0.1390446874998874,78.5
"[79, 80)",0.49315035714265826,79.5
"[80, 81)",0.3523224137929553,80.5
"[81, 82)",0.29272624999997454,81.5
"[82, 83)",14.726784999997715,82.5
"[83, 84)",0.10072666666662826,83.5
"[84, 85)",0.18041240740725065,84.5
"[85, 86)",0.5930373333329897,85.5
"[87, 88)",1.2208253124995019,87.5
"[88, 89)",0.2889067164177141,88.5
"[89, 90)",0.2510522068964615,89.5
"[90, 91)",0.8058449999999979,90.5
"[92, 93)",4.705683333332412,92.5
"[93, 94)",0.13606491228060036,93.5
"[94, 95)",0.2608023076921477,94.5
"[97, 98)",0.43967903846102346,97.5
"[98, 99)",0.28028777777762276,98.5
"[99, 100)",0.5712249999999003,99.5
"[101, 102)",19.768162157892167,101.5
"[102, 103)",3.259159456521225,102.5
"[103, 104)",0.40772361702123305,103.5
"[104, 105)",0.12207128205126047,104.5
"[105, 106)",0.10072666666662826,105.5
"[107, 108)",0.38613824074071174,107.5
"[108, 109)",0.368567959183517,108.5
"[109, 110)",0.14927816901400578,109.5
"[110, 111)",0.2229308620689031,110.5
"[111, 112)",1.3025300000000044,111.5
"[113, 114)",0.14430548672556667,113.5
"[114, 115)",0.38248298245593343,114.5
"[115, 116)",0.17331927927915788,115.5
"[116, 117)",0.4999695833331514,116.5
"[118, 119)",0.10072666666662826,118.5
"[119, 120)",0.26832637681143773,119.5
"[120, 121)",0.10833923076919497,120.5
"[121, 122)",0.10129948717947056,121.5
"[122, 123)",0.29153919540214257,122.5
"[123, 124)",0.16073833333324497,123.5
"[124, 125)",0.2869417647057835,124.5
"[125, 126)",0.29894632653048187,125.5
"[126, 127)",0.3968741666665419,126.5
"[128, 129)",0.10072666666677037,128.5
"[129, 130)",0.24668652777858094,129.5
"[130, 131)",0.3793500000010233,130.5
"[134, 135)",0.10072666666677037,134.5
"[135, 136)",0.2674741791052527,135.5
"[136, 137)",0.23610263681647126,136.5
"[137, 138)",0.3152642790705592,137.5
"[138, 139)",0.2343264367821619,138.5
"[139, 140)",0.561563333333816,139.5
"[142, 143)",0.14737409523843162,142.5
"[143, 144)",0.28667202020262045,143.5
"[144, 145)",0.11874294117659273,144.5
"[145, 146)",0.24349421568701626,145.5
"[146, 147)",0.23729000000028577,146.5
"[152, 153)",0.16066445544621272,152.5
"[153, 154)",0.17974127819605815,153.5
"[154, 155)",0.34804160000079465,154.5
"[155, 156)",0.15377689922511664,155.5
"[156, 157)",0.512230196079187,156.5
"[159, 160)",0.14063156250040976,159.5
"[160, 161)",0.31335729166743853,160.5
"[161, 162)",0.14993666666697408,161.5
"[162, 163)",0.46554613636485376,162.5
"[163, 164)",0.10965818181826266,163.5
"[164, 165)",0.25780543478329043,164.5
"[165, 166)",0.358781818182135,165.5
"[171, 172)",0.22989413793117391,171.5
"[172, 173)",0.2394010389616864,172.5
"[173, 174)",0.2880704651170143,173.5
"[174, 175)",0.1336086274512597,174.5
"[175, 176)",0.8054650000003392,175.5
"[176, 177)",0.7801627777739911,176.5
"[177, 178)",0.3053931707325532,177.5
"[178, 179)",0.5771681456970347,178.5
"[179, 180)",1.0480350000028706,179.5
"[180, 181)",0.37092203703770216,180.5
"[184, 185)",0.11665071428604636,184.5
"[185, 186)",0.4012575000008578,185.5
"[186, 187)",1.341625909083968,186.5
"[187, 188)",0.20859288659842098,187.5
"[188, 189)",0.19078511111148458,188.5
"[189, 190)",0.3651780000003896,189.5
"[190, 191)",0.13109662790740223,190.5
"[191, 192)",0.25811129310404196,191.5
"[192, 193)",0.10977500000019433,192.5
"[193, 194)",0.14225763636387165,193.5
"[194, 195)",0.653090000000148,194.5
"[199, 200)",0.12879421052666148,199.5
