time_bin,throughput,time_bin_mid
"[2, 3)",103.5,2.5
"[3, 4)",48.5,3.5
"[6, 7)",103.5,6.5
"[7, 8)",150.0,7.5
"[8, 9)",20.5,8.5
"[15, 16)",99.0,15.5
"[16, 17)",70.0,16.5
"[18, 19)",103.5,18.5
"[19, 20)",150.0,19.5
"[20, 21)",18.75,20.5
"[23, 24)",0.0,23.5
"[25, 26)",103.5,25.5
"[26, 27)",150.0,26.5
"[27, 28)",28.5,27.5
"[29, 30)",51.0,29.5
"[30, 31)",74.25,30.5
"[31, 32)",72.75,31.5
"[32, 33)",31.0,32.5
"[33, 34)",0.0,33.5
"[34, 35)",0.0,34.5
"[37, 38)",0.0,37.5
"[38, 39)",0.0,38.5
"[52, 53)",93.0,52.5
"[53, 54)",57.0,53.5
"[54, 55)",100.5,54.5
"[55, 56)",4.5,55.5
"[57, 58)",0.0,57.5
"[63, 64)",88.5,63.5
"[64, 65)",112.5,64.5
"[67, 68)",0.0,67.5
"[70, 71)",43.5,70.5
"[71, 72)",89.5,71.5
"[77, 78)",103.5,77.5
"[78, 79)",150.0,78.5
"[79, 80)",52.5,79.5
"[82, 83)",103.5,82.5
"[83, 84)",86.5,83.5
"[86, 87)",0.0,86.5
"[90, 91)",103.5,90.5
"[91, 92)",126.75,91.5
"[92, 93)",100.25,92.5
"[93, 94)",95.5,93.5
"[94, 95)",103.5,94.5
"[95, 96)",74.25,95.5
"[96, 97)",68.0,96.5
"[97, 98)",103.5,97.5
"[98, 99)",57.5,98.5
"[99, 100)",0.0,99.5
"[100, 101)",0.0,100.5
"[102, 103)",28.5,102.5
"[103, 104)",150.0,103.5
"[104, 105)",40.5,104.5
"[106, 107)",0.0,106.5
"[124, 125)",103.5,124.5
"[125, 126)",150.0,125.5
"[126, 127)",70.5,126.5
"[134, 135)",88.5,134.5
"[135, 136)",75.0,135.5
"[136, 137)",54.5,136.5
"[149, 150)",0.0,149.5
"[151, 152)",0.0,151.5
"[152, 153)",28.5,152.5
"[153, 154)",130.5,153.5
"[170, 171)",0.0,170.5
"[173, 174)",0.0,173.5
"[174, 175)",0.0,174.5
"[175, 176)",0.0,175.5
"[177, 178)",88.5,177.5
"[178, 179)",54.5,178.5
"[179, 180)",88.5,179.5
"[180, 181)",57.5,180.5
"[181, 182)",41.5,181.5
"[186, 187)",0.0,186.5
"[188, 189)",0.0,188.5
"[190, 191)",0.0,190.5
"[198, 199)",103.5,198.5
"[199, 200)",108.5,199.5
