time_bin,goodput,time_bin_mid
"[2, 3)",0.0,2.5
"[7, 8)",0.0,7.5
"[8, 9)",102.0,8.5
"[9, 10)",150.0,9.5
"[10, 11)",62.0,10.5
"[12, 13)",72.0,12.5
"[18, 19)",0.0,18.5
"[22, 23)",96.0,22.5
"[23, 24)",82.0,23.5
"[24, 25)",75.66666666666667,24.5
"[25, 26)",57.5,25.5
"[26, 27)",13.0,26.5
"[27, 28)",24.0,27.5
"[28, 29)",144.0,28.5
"[29, 30)",73.5,29.5
"[30, 31)",103.5,30.5
"[31, 32)",74.25,31.5
"[32, 33)",83.66666666666667,32.5
"[33, 34)",48.5,33.5
"[35, 36)",90.0,35.5
"[36, 37)",0.0,36.5
"[38, 39)",0.0,38.5
"[41, 42)",0.0,41.5
"[43, 44)",1.5,43.5
"[44, 45)",123.0,44.5
"[45, 46)",150.0,45.5
"[46, 47)",50.666666666666664,46.5
"[47, 48)",150.0,47.5
"[48, 49)",96.5,48.5
"[50, 51)",103.5,50.5
"[51, 52)",115.5,51.5
"[52, 53)",103.5,52.5
"[53, 54)",149.5,53.5
"[54, 55)",34.5,54.5
"[55, 56)",149.5,55.5
"[56, 57)",0.0,56.5
"[58, 59)",103.5,58.5
"[59, 60)",8.75,59.5
"[60, 61)",34.5,60.5
"[61, 62)",148.5,61.5
"[62, 63)",144.0,62.5
"[64, 65)",0.0,64.5
"[65, 66)",1.5,65.5
"[66, 67)",31.5,66.5
"[67, 68)",108.0,67.5
"[68, 69)",9.25,68.5
"[69, 70)",0.0,69.5
"[72, 73)",0.0,72.5
"[74, 75)",0.0,74.5
"[80, 81)",0.0,80.5
"[91, 92)",0.0,91.5
"[102, 103)",103.5,102.5
"[103, 104)",10.5,103.5
"[104, 105)",0.0,104.5
"[106, 107)",2.25,106.5
"[107, 108)",39.0,107.5
"[108, 109)",90.0,108.5
"[109, 110)",33.0,109.5
"[110, 111)",31.5,110.5
"[111, 112)",0.0,111.5
"[112, 113)",0.0,112.5
"[118, 119)",43.5,118.5
"[119, 120)",61.5,119.5
"[121, 122)",0.0,121.5
"[126, 127)",78.5,126.5
"[127, 128)",63.0,127.5
"[129, 130)",0.0,129.5
"[133, 134)",0.0,133.5
"[134, 135)",103.5,134.5
"[135, 136)",150.0,135.5
"[136, 137)",87.5,136.5
"[137, 138)",103.5,137.5
"[138, 139)",18.75,138.5
"[144, 145)",0.0,144.5
"[146, 147)",0.0,146.5
"[147, 148)",103.5,147.5
"[148, 149)",86.75,148.5
"[149, 150)",75.0,149.5
"[150, 151)",118.0,150.5
"[167, 168)",51.75,167.5
"[168, 169)",148.5,168.5
"[169, 170)",19.833333333333332,169.5
"[170, 171)",69.5,170.5
"[171, 172)",0.0,171.5
"[182, 183)",73.5,182.5
"[183, 184)",23.5,183.5
"[184, 185)",88.5,184.5
"[185, 186)",75.0,185.5
"[186, 187)",36.5,186.5
"[188, 189)",0.0,188.5
"[189, 190)",0.0,189.5
"[191, 192)",0.0,191.5
"[194, 195)",0.0,194.5
"[196, 197)",73.5,196.5
"[197, 198)",142.5,197.5
"[198, 199)",0.0,198.5
