time_bin,cwnd,time_bin_mid
"[1, 2)",5.5,1.5
"[2, 3)",48.331383754094006,2.5
"[5, 6)",25.0,5.5
"[6, 7)",63.35410107266433,6.5
"[7, 8)",65.58200455304399,7.5
"[14, 15)",7.0,14.5
"[15, 16)",50.348073379801434,15.5
"[16, 17)",65.09962981716872,16.5
"[17, 18)",32.5,17.5
"[18, 19)",64.76737760444928,18.5
"[19, 20)",51.66571038920483,19.5
"[20, 21)",50.250800783051474,20.5
"[21, 22)",65.19160590693593,21.5
"[35, 36)",32.0,35.5
"[36, 37)",64.74208960597302,36.5
"[37, 38)",61.33166599320675,37.5
"[38, 39)",35.5,38.5
"[40, 41)",3.2857142857142856,40.5
"[41, 42)",46.453614512569445,41.5
"[42, 43)",65.20797484241612,42.5
"[43, 44)",66.11367153066307,43.5
"[47, 48)",8.5,47.5
"[48, 49)",50.7744326464186,48.5
"[62, 63)",25.5,62.5
"[63, 64)",63.49909199259023,63.5
"[64, 65)",65.9234691055562,64.5
"[68, 69)",10.5,68.5
"[69, 70)",54.23337385064092,69.5
"[70, 71)",65.34476512608946,70.5
"[71, 72)",16.516666666666666,71.5
"[72, 73)",56.884111978132914,72.5
"[73, 74)",65.01499206135134,73.5
"[74, 75)",40.41322582492673,74.5
"[75, 76)",64.42803163311498,75.5
"[81, 82)",4.5,81.5
"[82, 83)",48.02083485419473,82.5
"[83, 84)",64.75344672068114,83.5
"[96, 97)",22.5,96.5
"[97, 98)",55.253905614488616,97.5
"[103, 104)",4.5,103.5
"[104, 105)",48.18731115769384,104.5
"[105, 106)",65.32900923510894,105.5
"[106, 107)",37.84607077426083,106.5
"[107, 108)",21.5,107.5
"[108, 109)",50.006959830163794,108.5
"[109, 110)",59.20325612715442,109.5
"[110, 111)",65.19856274199289,110.5
"[111, 112)",65.9092512415133,111.5
"[120, 121)",2.0,120.5
"[121, 122)",33.0,121.5
"[122, 123)",64.36582446887863,122.5
"[127, 128)",5.5,127.5
"[128, 129)",41.92885250289676,128.5
"[129, 130)",65.00774399739693,129.5
"[130, 131)",44.75834473500877,130.5
"[131, 132)",12.5,131.5
"[132, 133)",35.5,132.5
"[133, 134)",64.04568534583652,133.5
"[134, 135)",65.42941958691965,134.5
"[141, 142)",30.0,141.5
"[142, 143)",64.37126200882543,142.5
"[143, 144)",29.0,143.5
"[144, 145)",46.17415133179235,144.5
"[145, 146)",58.31651794934475,145.5
"[146, 147)",65.68007964560624,146.5
"[148, 149)",3.5,148.5
"[149, 150)",45.07479092689742,149.5
"[150, 151)",65.07613229505817,150.5
"[152, 153)",27.5,152.5
"[153, 154)",54.0,153.5
"[177, 178)",30.0,177.5
"[178, 179)",64.44900119184925,178.5
"[179, 180)",58.85005829009549,179.5
"[180, 181)",46.84618308504675,180.5
"[181, 182)",65.3974517585816,181.5
"[182, 183)",66.39291043870152,182.5
"[187, 188)",3.0,187.5
"[188, 189)",41.04399378544989,188.5
"[189, 190)",63.161115073495054,189.5
"[190, 191)",41.211798953481235,190.5
"[191, 192)",54.863097974659276,191.5
"[192, 193)",50.18201150544419,192.5
"[194, 195)",27.0,194.5
"[197, 198)",3.0,197.5
"[198, 199)",45.67059166592745,198.5
"[199, 200)",65.25994914575976,199.5
