time_bin,cwnd,time_bin_mid
"[0, 1)",27.5,0.5
"[1, 2)",36.50556632425051,1.5
"[2, 3)",2.008503628784039,2.5
"[8, 9)",28.73134328358209,8.5
"[9, 10)",37.82223946357224,9.5
"[10, 11)",6.5705890617647995,10.5
"[11, 12)",14.080980261850918,11.5
"[12, 13)",23.677729451950807,12.5
"[13, 14)",5.0,13.5
"[14, 15)",30.5,14.5
"[15, 16)",7.0,15.5
"[16, 17)",30.653986121618146,16.5
"[17, 18)",17.84625263486687,17.5
"[18, 19)",34.26027397260274,18.5
"[20, 21)",31.79390065038875,20.5
"[21, 22)",32.30244197581865,21.5
"[22, 23)",1.0,22.5
"[23, 24)",1.0,23.5
"[24, 25)",22.44871794871795,24.5
"[25, 26)",25.19738171429272,25.5
"[26, 27)",9.487932662816931,26.5
"[27, 28)",4.140358835424054,27.5
"[28, 29)",33.95417376301932,28.5
"[29, 30)",32.693608921293645,29.5
"[31, 32)",1.0,31.5
"[32, 33)",24.83132530120482,32.5
"[33, 34)",35.117729462871104,33.5
"[34, 35)",56.621376015204376,34.5
"[35, 36)",9.245755476858754,35.5
"[36, 37)",13.772642224903096,36.5
"[37, 38)",30.816988877860123,37.5
"[38, 39)",8.20984315929644,38.5
"[39, 40)",6.276867816091954,39.5
"[40, 41)",37.156418587290936,40.5
"[41, 42)",41.77433882661278,41.5
"[43, 44)",1.0,43.5
"[44, 45)",1.0,44.5
"[45, 46)",1.0,45.5
"[46, 47)",3.8,46.5
"[47, 48)",34.09550211244427,47.5
"[48, 49)",24.99923873469204,48.5
"[49, 50)",1.0,49.5
"[50, 51)",1.0,50.5
"[51, 52)",20.418232527489188,51.5
"[52, 53)",16.601959959642542,52.5
"[53, 54)",13.830376487794682,53.5
"[54, 55)",18.370967741935484,54.5
"[55, 56)",25.22584543496812,55.5
"[56, 57)",19.29077676368041,56.5
"[57, 58)",27.986133800151574,57.5
"[58, 59)",10.211716830933229,58.5
"[59, 60)",38.518891375347046,59.5
"[60, 61)",1.8461538461538463,60.5
"[63, 64)",2.0179852687896225,63.5
"[64, 65)",9.509596077940031,64.5
"[65, 66)",10.574568980119178,65.5
"[66, 67)",17.113466600001544,66.5
"[67, 68)",22.117468775901184,67.5
"[68, 69)",30.77127054068054,68.5
"[69, 70)",25.018021520282907,69.5
"[70, 71)",17.958118011600014,70.5
"[71, 72)",12.285275963049688,71.5
"[72, 73)",7.400297096512109,72.5
"[73, 74)",11.510128814186205,73.5
"[74, 75)",21.22756207955038,74.5
"[75, 76)",17.187820069806392,75.5
"[76, 77)",16.174619525491206,76.5
"[77, 78)",9.89875153713833,77.5
"[78, 79)",16.6946671541205,78.5
"[79, 80)",17.606441201293787,79.5
"[81, 82)",6.4110077716726455,81.5
"[82, 83)",18.72684877426154,82.5
"[83, 84)",17.78619204762695,83.5
"[84, 85)",7.336921029179368,84.5
"[85, 86)",14.742196329769573,85.5
"[86, 87)",35.12136961068516,86.5
"[87, 88)",8.304927101211787,87.5
"[88, 89)",44.12418823992484,88.5
"[89, 90)",13.114340966350149,89.5
"[90, 91)",31.53037621987412,90.5
"[91, 92)",22.931371046251552,91.5
"[92, 93)",34.234775627951976,92.5
"[93, 94)",2.75,93.5
"[95, 96)",32.13174210575731,95.5
"[96, 97)",39.61042103408497,96.5
"[98, 99)",2.8947368421052633,98.5
"[99, 100)",23.5,99.5
"[100, 101)",7.368421052631579,100.5
"[101, 102)",37.04352918780525,101.5
"[102, 103)",32.97466704793783,102.5
"[103, 104)",32.51736123146928,103.5
"[104, 105)",34.14538057524162,104.5
"[105, 106)",1.0,105.5
"[106, 107)",18.002024305904634,106.5
"[107, 108)",37.489018178771424,107.5
"[108, 109)",1.4285714285714286,108.5
"[109, 110)",29.46179033735278,109.5
"[110, 111)",33.6203308282767,110.5
"[111, 112)",27.96973407867707,111.5
"[112, 113)",6.10377358490566,112.5
"[113, 114)",39.72348896036349,113.5
"[114, 115)",26.667028425639035,114.5
"[115, 116)",6.494541223469124,115.5
"[116, 117)",9.0,116.5
"[117, 118)",27.82828709692233,117.5
"[118, 119)",15.259453113041317,118.5
"[119, 120)",18.385777584406977,119.5
"[120, 121)",19.4195280897843,120.5
"[121, 122)",9.0,121.5
"[122, 123)",36.15478195601927,122.5
"[123, 124)",39.249202896902304,123.5
"[124, 125)",9.199153736391889,124.5
"[125, 126)",15.467541870361114,125.5
"[126, 127)",19.473684210526315,126.5
"[127, 128)",33.165129318140714,127.5
"[128, 129)",36.57370950540127,128.5
"[130, 131)",30.106578739836223,130.5
"[131, 132)",47.97985979109752,131.5
"[132, 133)",2.6824197983423166,132.5
"[133, 134)",1.5,133.5
"[134, 135)",1.0,134.5
"[135, 136)",1.9857142857142858,135.5
"[136, 137)",27.655303393477727,136.5
"[137, 138)",9.520389376220315,137.5
"[138, 139)",16.446803330173303,138.5
"[139, 140)",12.559215093776553,139.5
"[140, 141)",8.774926922053659,140.5
"[141, 142)",8.119585461916968,141.5
"[142, 143)",24.042565982423525,142.5
"[143, 144)",35.867553907062856,143.5
"[144, 145)",30.7663242156718,144.5
"[145, 146)",11.448942162100934,145.5
"[146, 147)",14.763613856012167,146.5
"[147, 148)",18.646055263438477,147.5
"[148, 149)",17.0,148.5
"[149, 150)",37.02814125508899,149.5
"[150, 151)",21.15705212593401,150.5
"[151, 152)",26.98669018392344,151.5
"[152, 153)",18.166832613846555,152.5
"[153, 154)",9.133963484037867,153.5
"[156, 157)",9.0,156.5
"[157, 158)",30.402404374349032,157.5
"[158, 159)",21.871190550299442,158.5
"[159, 160)",12.528553307105868,159.5
"[164, 165)",25.0,164.5
"[165, 166)",39.25105473038307,165.5
"[166, 167)",7.0,166.5
"[167, 168)",26.5,167.5
"[169, 170)",29.481586442190093,169.5
"[170, 171)",33.60167064896984,170.5
"[171, 172)",30.051703162877033,171.5
"[172, 173)",37.740970654424984,172.5
"[173, 174)",24.877921719304105,173.5
"[174, 175)",22.530230565138183,174.5
"[178, 179)",27.33661852166525,178.5
"[179, 180)",26.377548924619976,179.5
"[180, 181)",31.888271286643516,180.5
"[181, 182)",45.56978779251818,181.5
"[182, 183)",25.4548649296297,182.5
"[183, 184)",14.02,183.5
"[184, 185)",17.976036682615632,184.5
"[185, 186)",11.178752227072868,185.5
"[186, 187)",8.03288075455152,186.5
"[187, 188)",35.67936050272075,187.5
"[188, 189)",9.996176866619212,188.5
"[189, 190)",10.609882917541988,189.5
"[190, 191)",19.205624459296725,190.5
"[191, 192)",35.214135726225734,191.5
"[192, 193)",33.07010505836015,192.5
"[193, 194)",11.565620817051215,193.5
"[194, 195)",37.02159515753555,194.5
"[195, 196)",1.0,195.5
"[196, 197)",4.620689655172414,196.5
"[197, 198)",20.67760534098274,197.5
"[198, 199)",24.73116525769906,198.5
"[199, 200)",17.61991497541276,199.5
