time_bin,rtt,time_bin_mid
"[1, 2)",0.11269499999999993,1.5
"[2, 3)",0.28085638297872295,2.5
"[5, 6)",0.13822680851062918,5.5
"[6, 7)",0.483711499999975,6.5
"[7, 8)",0.6505649999999821,7.5
"[14, 15)",0.09660363636364057,14.5
"[15, 16)",0.3147469791666933,15.5
"[16, 17)",0.6637075471698618,16.5
"[17, 18)",0.1722953225806323,17.5
"[18, 19)",0.5396117000000155,18.5
"[19, 20)",0.519716428571491,19.5
"[20, 21)",0.3040679797979687,20.5
"[21, 22)",0.6345265573771135,21.5
"[35, 36)",0.17000639344267154,35.5
"[36, 37)",0.5363893000000539,36.5
"[37, 38)",0.6331093589743167,37.5
"[38, 39)",0.1951892857142952,38.5
"[40, 41)",0.11441428571429466,40.5
"[41, 42)",0.27381756345183855,41.5
"[42, 43)",0.6755865686274415,42.5
"[43, 44)",0.6780749999999092,43.5
"[47, 48)",0.09028500000001571,47.5
"[48, 49)",0.30715085227274075,48.5
"[62, 63)",0.1403783333333727,62.5
"[63, 64)",0.486293131313192,63.5
"[64, 65)",0.6555120987655905,64.5
"[68, 69)",0.1670116666666317,68.5
"[69, 70)",0.3573227272726414,69.5
"[70, 71)",0.6454415384617245,70.5
"[71, 72)",0.17114399999993804,71.5
"[72, 73)",0.48782848484844904,72.5
"[73, 74)",0.6705256122449965,73.5
"[74, 75)",0.29142999999998903,74.5
"[75, 76)",0.5175597619049077,75.5
"[81, 82)",0.12016499999997876,81.5
"[82, 83)",0.2845963636363514,82.5
"[83, 84)",0.5602050000002734,83.5
"[96, 97)",0.1487288095237646,96.5
"[97, 98)",0.3753750000000764,97.5
"[103, 104)",0.12016499999997876,103.5
"[104, 105)",0.2874840999999138,104.5
"[105, 106)",0.7295384117647845,105.5
"[106, 107)",0.45766594594610027,106.5
"[107, 108)",0.6413079411764073,107.5
"[108, 109)",0.8879291176469611,108.5
"[109, 110)",0.7689564948454521,109.5
"[110, 111)",0.6180477173914286,110.5
"[111, 112)",0.7500400000003395,111.5
"[120, 121)",0.21008999999997968,120.5
"[121, 122)",0.2159065573769748,121.5
"[122, 123)",0.4357350000001077,122.5
"[127, 128)",0.11269499999997734,127.5
"[128, 129)",0.2560042483661615,128.5
"[129, 130)",0.7065605376342997,129.5
"[130, 131)",0.5349204999996686,130.5
"[131, 132)",0.705205000000106,131.5
"[132, 133)",0.6734528947370625,132.5
"[133, 134)",0.5756040449439093,133.5
"[134, 135)",0.7503949999995285,134.5
"[141, 142)",0.1607545614036691,141.5
"[142, 143)",0.5419270731706609,142.5
"[143, 144)",0.15616309090924316,143.5
"[144, 145)",0.309515714285654,144.5
"[145, 146)",0.3943143434345543,145.5
"[146, 147)",0.6537366292132911,146.5
"[148, 149)",0.11513500000002352,148.5
"[149, 150)",0.2691677777779906,149.5
"[150, 151)",0.6792823684208511,150.5
"[152, 153)",0.1931471153846337,152.5
"[153, 154)",0.37003999999976145,153.5
"[177, 178)",0.1607545614036691,177.5
"[178, 179)",0.5333487777778854,178.5
"[179, 180)",0.6818118918915037,179.5
"[180, 181)",0.27699919191940214,180.5
"[181, 182)",0.6359100999999978,181.5
"[182, 183)",0.6927280645156761,182.5
"[187, 188)",0.21345333333334793,187.5
"[188, 189)",0.2568290909092949,188.5
"[189, 190)",0.6032374999999343,189.5
"[190, 191)",0.2898063636364784,190.5
"[191, 192)",0.4875472941175277,191.5
"[192, 193)",0.3030667901234668,192.5
"[194, 195)",0.19612117647060123,194.5
"[197, 198)",0.11345333333335361,197.5
"[198, 199)",0.2655747916668769,198.5
"[199, 200)",0.6543588888888208,199.5
