time_bin,rtt,time_bin_mid
"[0, 1)",0.1387342307692299,0.5
"[1, 2)",0.4007931249999981,1.5
"[2, 3)",1.3083914285714286,2.5
"[8, 9)",0.10605115384616859,8.5
"[9, 10)",0.4068892063492455,9.5
"[10, 11)",0.12350955555556051,10.5
"[11, 12)",0.12162901960785001,11.5
"[12, 13)",0.11320126984127372,12.5
"[13, 14)",0.10040857142857439,13.5
"[14, 15)",0.14295022727273352,14.5
"[15, 16)",0.10072666666667172,15.5
"[16, 17)",0.2053949315067781,16.5
"[17, 18)",0.42947324999996184,17.5
"[18, 19)",0.19983775862064865,18.5
"[20, 21)",0.14219406249995548,20.5
"[21, 22)",0.3404042592591808,21.5
"[24, 25)",0.11758961538458151,24.5
"[25, 26)",0.3971394607843078,25.5
"[26, 27)",0.2884299999999473,26.5
"[27, 28)",2.0010581818184265,27.5
"[28, 29)",0.18071597701143244,28.5
"[29, 30)",0.25408952380945254,29.5
"[32, 33)",0.10336656716427738,32.5
"[33, 34)",0.3823777227726173,33.5
"[34, 35)",0.5866882456144895,34.5
"[35, 36)",0.15573897435910533,35.5
"[36, 37)",0.18053767441867408,36.5
"[37, 38)",0.20197376068394057,37.5
"[38, 39)",0.4165718181819904,38.5
"[39, 40)",0.3757242105264062,39.5
"[40, 41)",0.2687726086959696,40.5
"[41, 42)",0.5198200000005195,41.5
"[46, 47)",0.10040857142859494,46.5
"[47, 48)",0.22819418918944276,47.5
"[48, 49)",0.5682528571433474,48.5
"[51, 52)",0.30597909638567894,51.5
"[52, 53)",0.5241753125003956,52.5
"[53, 54)",0.14836416666681973,53.5
"[54, 55)",0.11445562500010113,54.5
"[55, 56)",0.23642354838737822,55.5
"[56, 57)",0.41956778125019467,56.5
"[57, 58)",0.3981407936512308,57.5
"[58, 59)",0.1098641044776877,58.5
"[59, 60)",0.2219924242426012,59.5
"[60, 61)",1.2042800000001819,60.5
"[63, 64)",2.5011983333341803,63.5
"[64, 65)",0.10124494117644393,64.5
"[65, 66)",0.22237351515150794,65.5
"[66, 67)",0.11528758620684097,66.5
"[67, 68)",0.24329387640445296,67.5
"[68, 69)",0.3659659322031836,68.5
"[69, 70)",0.5741726315788952,69.5
"[70, 71)",0.4269667741934821,70.5
"[71, 72)",0.1637874074073507,71.5
"[72, 73)",0.4269333333333143,72.5
"[73, 74)",0.2299285106382581,73.5
"[74, 75)",0.13654578680190976,74.5
"[75, 76)",0.2415754010693775,75.5
"[76, 77)",0.19320780104702157,76.5
"[77, 78)",0.29312964285711934,77.5
"[78, 79)",0.13358045454539955,78.5
"[79, 80)",0.17116046511623378,79.5
"[81, 82)",0.45108433333322895,81.5
"[82, 83)",0.12428405594401502,82.5
"[83, 84)",0.10852854166664032,83.5
"[84, 85)",0.37107163636355833,84.5
"[85, 86)",0.10922085365846651,85.5
"[86, 87)",0.22302934306551261,86.5
"[87, 88)",0.2691918604650696,87.5
"[88, 89)",0.20967403225795228,88.5
"[89, 90)",2.9544847826111935,89.5
"[90, 91)",0.1495280952379766,90.5
"[91, 92)",0.3338939393937978,91.5
"[92, 93)",0.20576678571416723,92.5
"[95, 96)",0.14063156249988706,95.5
"[96, 97)",0.5027945762709574,96.5
"[99, 100)",0.1242770454545188,99.5
"[100, 101)",0.10072666666662826,100.5
"[101, 102)",0.20673118644053448,101.5
"[102, 103)",0.1906163855420573,102.5
"[103, 104)",0.2603386956520694,103.5
"[104, 105)",0.39056636363620806,104.5
"[106, 107)",0.5135306111111458,106.5
"[107, 108)",0.3848140540538457,107.5
"[109, 110)",0.12630772727262574,109.5
"[110, 111)",0.31676924369732073,110.5
"[111, 112)",0.24522983606553828,111.5
"[112, 113)",0.170236874999941,112.5
"[113, 114)",0.2111529530198513,113.5
"[114, 115)",0.24886976190463425,114.5
"[115, 116)",0.12624941176466442,115.5
"[116, 117)",0.10072666666662826,116.5
"[117, 118)",0.22785016666654936,117.5
"[118, 119)",0.2157462962962292,118.5
"[119, 120)",0.1415382716048055,119.5
"[120, 121)",0.6381152941175318,120.5
"[121, 122)",0.10072666666662826,121.5
"[122, 123)",0.20741815068478991,122.5
"[123, 124)",0.3717092592590416,123.5
"[124, 125)",0.10118283783781065,124.5
"[125, 126)",0.17658576642332063,125.5
"[126, 127)",0.1402222222222057,126.5
"[127, 128)",0.16688632352929222,127.5
"[128, 129)",0.3141361538461135,128.5
"[130, 131)",0.14352796296333017,130.5
"[131, 132)",0.31121550000068937,131.5
"[132, 133)",1.3039350000001662,132.5
"[133, 134)",2.5047050000000297,133.5
"[135, 136)",0.5842818181818127,135.5
"[136, 137)",0.12767345454599746,136.5
"[137, 138)",0.3833934285724248,137.5
"[138, 139)",0.16487108433775674,138.5
"[139, 140)",0.16656777777816262,139.5
"[140, 141)",0.11244151515177474,140.5
"[141, 142)",0.13175372340443614,141.5
"[142, 143)",0.11763511904789038,142.5
"[143, 144)",0.36508911764768803,143.5
"[144, 145)",0.2635183673473945,144.5
"[145, 146)",0.1763194927539469,145.5
"[146, 147)",0.102543491124523,146.5
"[147, 148)",0.10355073170753622,147.5
"[148, 149)",0.10136580645180604,148.5
"[149, 150)",0.2890337878794714,149.5
"[150, 151)",0.18139029126248002,150.5
"[151, 152)",0.3326456746033514,151.5
"[152, 153)",0.13901165605123325,152.5
"[153, 154)",0.10117642857152223,153.5
"[156, 157)",0.10072666666677037,156.5
"[157, 158)",0.1502425806456371,157.5
"[158, 159)",0.40103464788817966,158.5
"[159, 160)",0.30617062500059156,159.5
"[164, 165)",0.1020055319151762,164.5
"[165, 166)",0.29984038461626245,165.5
"[166, 167)",0.10965818181826266,166.5
"[167, 168)",0.11239607142872947,167.5
"[169, 170)",0.15215887323981092,169.5
"[170, 171)",0.23375057554010759,170.5
"[171, 172)",0.16012723076963636,171.5
"[172, 173)",0.5203820833347663,172.5
"[173, 174)",0.2231755555560093,173.5
"[174, 175)",0.3111834146348154,174.5
"[178, 179)",0.12994546666693624,178.5
"[179, 180)",0.27065532710338136,179.5
"[180, 181)",0.19287295454589437,180.5
"[181, 182)",0.277853968254675,181.5
"[182, 183)",0.2302059420294542,182.5
"[183, 184)",0.11874909090917124,183.5
"[184, 185)",0.14470842105295914,184.5
"[185, 186)",1.1778416216174643,185.5
"[186, 187)",0.1426303846156238,186.5
"[187, 188)",0.24345767123366524,187.5
"[188, 189)",0.45923769230817757,188.5
"[189, 190)",0.13818193181835914,189.5
"[190, 191)",0.10191355555577167,190.5
"[191, 192)",0.23431192982508464,191.5
"[192, 193)",0.2669225274732746,192.5
"[193, 194)",0.14312382352958633,193.5
"[194, 195)",0.20337967213176864,194.5
"[196, 197)",0.10068500000009806,196.5
"[197, 198)",0.38781074999971077,197.5
"[198, 199)",0.2452058730164775,198.5
"[199, 200)",0.44204200000084864,199.5
